                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4036002 |    4018182 |    3913583 |    3941799 |    3517421 |    3588321 |    3565351 |    3773299 |    4491663 |    4172420 |    4181459 |    4172033 |    3747013 |    3739923 |    3782276 |    3780640
  Cycles                             |    9816000 |    9816000 |    9816000 |    9816000 |    2454000 |    2454000 |    2454000 |    2454000 |    9816000 |    9816000 |    9816000 |    9816000 |    2454000 |    2454000 |    2454000 |    2454000
  IPC                                |       0.41 |       0.41 |       0.40 |       0.40 |       1.43 |       1.46 |       1.45 |       1.54 |       0.46 |       0.43 |       0.43 |       0.43 |       1.53 |       1.52 |       1.54 |       1.54
  Time (ns)                          |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000 |    2454000
  Idle time (ns)                     |        243 |     459495 |     460265 |     460825 |     461221 |     461617 |     462013 |     462474 |     462935 |     463331 |     463727 |     464156 |     464552 |     464948 |     465344 |     465740
  Idle time (%)                      |       0.0% |      18.7% |      18.8% |      18.8% |      18.8% |      18.8% |      18.8% |      18.8% |      18.9% |      18.9% |      18.9% |      18.9% |      18.9% |      18.9% |      19.0% |      19.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     465136 |     716741 |     689707 |     700297 |     567905 |     594422 |     587648 |     656971 |     916021 |     819158 |     823124 |     819774 |     677540 |     674769 |     690442 |     688955
  num incorrect                      |       8287 |       1859 |       1933 |       1938 |       1765 |       1727 |       1734 |       1704 |       1487 |       1406 |       1387 |       1424 |       1443 |       1429 |       1363 |       1391
  misprediction rate                 |      1.75% |      0.26% |      0.28% |      0.28% |      0.31% |      0.29% |      0.29% |      0.26% |      0.16% |      0.17% |      0.17% |      0.17% |      0.21% |      0.21% |      0.20% |      0.20%
  mpki                               |       2.05 |       0.46 |       0.49 |       0.49 |       0.50 |       0.48 |       0.49 |       0.45 |       0.33 |       0.34 |       0.33 |       0.34 |       0.39 |       0.38 |       0.36 |       0.37
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     409345 |     251469 |     246300 |     245991 |     242866 |     241993 |     241526 |     241475 |     235155 |     231723 |     231114 |     231223 |     231488 |     231698 |     230914 |     231280
    num misses                       |        199 |         27 |         34 |         34 |         34 |         34 |         34 |         34 |         27 |         34 |         34 |         34 |         34 |         34 |         27 |         30
    miss rate                        |      0.05% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1924978 |    1488548 |    1462820 |    1466773 |    1383291 |    1392709 |    1387589 |    1422449 |    1516159 |    1450871 |    1451379 |    1450151 |    1380749 |    1380781 |    1384068 |    1385880
    num misses                       |       1578 |        207 |        267 |        299 |        322 |        266 |        284 |        250 |        233 |        249 |        229 |        188 |        195 |        196 |        209 |        142
    miss rate                        |      0.08% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01%
    mpki                             |       0.39 |       0.05 |       0.07 |       0.08 |       0.09 |       0.07 |       0.08 |       0.07 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1777 |        234 |        301 |        333 |        356 |        300 |        318 |        284 |        260 |        283 |        263 |        222 |        229 |        230 |        236 |        172
    num misses                       |        552 |        151 |        155 |        164 |        160 |        159 |        158 |        154 |        146 |        151 |        149 |        145 |        148 |        144 |        136 |        131
    miss rate                        |     31.06% |     64.53% |     51.50% |     49.25% |     44.94% |     53.00% |     49.69% |     54.23% |     56.15% |     53.36% |     56.65% |     65.32% |     64.63% |     62.61% |     57.63% |     76.16%
    mpki                             |       0.14 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.03 |       0.04 |       0.04 |       0.03 |       0.04 |       0.04 |       0.04 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
