metric,value
timestamp,2026-06-30T15:09:12
workload,CC
strategy,Scatter
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/CC_S_Scatter_2TH_20260630_134918
cpu_map,"[0, 8]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,2.7145
total_instructions,16461375
avg_ipc,0.758
avg_ipc_p,0.758
avg_ipc_e,0.0
total_power_W,4.0803
dynamic_W,3.0322
leakage_W,1.0
dram_W,0.0482
energy_J,0.011076
node0_reads,10233
node1_reads,10192
node0_pct,50.1004
dram_local,5166
dram_remote,5154
dram_remote_pct,49.9419
l1d_miss_pct,2.1456
l2_miss_pct,69.8021
l3_miss_pct,23.6112
l1d_mpki,3.8039
l2_mpki,2.6552
l3_mpki,0.6269
l3_miss_count,10320
cpi_base_frac,0.5012
cpi_branch_frac,0.249
cpi_l2_frac,0.0001
cpi_l3_frac,0.1692
cpi_dram_local_frac,0.0386
cpi_dram_remote_frac,0.042
L1-D.access-mru-0.c0,2660451
L1-D.access-mru-0.c1,984284
L1-D.access-mru-0.node0,2660451
L1-D.access-mru-0.node1,984284
L1-D.access-mru-0.total,3644735
L1-D.access-mru-1.c0,150796
L1-D.access-mru-1.c1,29007
L1-D.access-mru-1.node0,150796
L1-D.access-mru-1.node1,29007
L1-D.access-mru-1.total,179803
L1-D.access-mru-2.c0,49411
L1-D.access-mru-2.c1,5169
L1-D.access-mru-2.node0,49411
L1-D.access-mru-2.node1,5169
L1-D.access-mru-2.total,54580
L1-D.access-mru-3.c0,14926
L1-D.access-mru-3.c1,2071
L1-D.access-mru-3.node0,14926
L1-D.access-mru-3.node1,2071
L1-D.access-mru-3.total,16997
L1-D.access-mru-4.c0,5559
L1-D.access-mru-4.c1,1449
L1-D.access-mru-4.node0,5559
L1-D.access-mru-4.node1,1449
L1-D.access-mru-4.total,7008
L1-D.access-mru-5.c0,3163
L1-D.access-mru-5.c1,933
L1-D.access-mru-5.node0,3163
L1-D.access-mru-5.node1,933
L1-D.access-mru-5.total,4096
L1-D.access-mru-6.c0,2093
L1-D.access-mru-6.c1,696
L1-D.access-mru-6.node0,2093
L1-D.access-mru-6.node1,696
L1-D.access-mru-6.total,2789
L1-D.access-mru-7.c0,1501
L1-D.access-mru-7.c1,518
L1-D.access-mru-7.node0,1501
L1-D.access-mru-7.node1,518
L1-D.access-mru-7.total,2019
L1-D.coherency-downgrades.c0,456
