                                     | Core 0     | Core 1    
  Instructions                       |   17626399 |   17332247
  Cycles                             |    9449100 |    9449100
  IPC                                |       1.87 |       1.83
  Time (ns)                          |    9449100 |    9449100
  Idle time (ns)                     |        237 |     513003
  Idle time (%)                      |       0.0% |       5.4%
Branch predictor stats               |            |           
  num correct                        |    1083479 |    1190152
  num incorrect                      |       9723 |       4524
  misprediction rate                 |      0.89% |      0.38%
  mpki                               |       0.55 |       0.26
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1963658 |    1827312
    num misses                       |        204 |         28
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    9271618 |    8910003
    num misses                       |       4443 |       2762
    miss rate                        |      0.05% |      0.03%
    mpki                             |       0.25 |       0.16
  L2 TLB                             |            |           
    num accesses                     |       4647 |       2790
    num misses                       |        844 |        316
    miss rate                        |     18.16% |     11.33%
    mpki                             |       0.05 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1963658 |    1827312
    num cache misses                 |      12465 |       3241
    miss rate                        |      0.63% |      0.18%
    mpki                             |       0.71 |       0.19
  Cache L1-D                         |            |           
    num cache accesses               |    9271618 |    8910003
    num cache misses                 |     312709 |     292499
    miss rate                        |      3.37% |      3.28%
    mpki                             |      17.74 |      16.88
  Cache L2                           |            |           
    num cache accesses               |     328694 |     296501
    num cache misses                 |     167028 |     147848
    miss rate                        |     50.82% |     49.86%
    mpki                             |       9.48 |       8.53
  Cache L3                           |            |           
    num cache accesses               |     171115 |     148644
    num cache misses                 |      18795 |       8562
    miss rate                        |     10.98% |      5.76%
    mpki                             |       1.07 |       0.49
DRAM summary                         |            |           
  num dram accesses                  |      27346 |          0
  average dram access latency (ns)   |      61.69 |        inf
  average dram queueing delay        |       0.43 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       8692 |       1674
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
