metric,value
timestamp,2026-06-30T15:09:13
workload,lavaMD
strategy,Packed
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/lavaMD_S_Packed_2TH_20260630_134918
cpu_map,"[0, 1]"
p_core_count,2
e_core_count,0
node0_threads,2
node1_threads,0
sim_time_ms,0.1754
total_instructions,332747
avg_ipc,0.4741
avg_ipc_p,0.4741
avg_ipc_e,0.0
total_power_W,1.7586
dynamic_W,0.9482
leakage_W,0.5
dram_W,0.3105
energy_J,0.000308
node0_reads,8509
node1_reads,0
node0_pct,100.0
dram_local,6024
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,7.7323
l2_miss_pct,79.5523
l3_miss_pct,99.7021
l1d_mpki,22.8251
l2_mpki,18.1579
l3_mpki,18.1038
l3_miss_count,6024
cpi_base_frac,0.2634
cpi_branch_frac,0.1995
cpi_l2_frac,0.0
cpi_l3_frac,0.0006
cpi_dram_local_frac,0.5364
cpi_dram_remote_frac,0.0
L1-D.access-mru-0,104371
L1-D.access-mru-1,19915
L1-D.access-mru-2,3380
L1-D.access-mru-3,1781
L1-D.access-mru-4,1001
L1-D.access-mru-5,587
L1-D.access-mru-6,355
L1-D.access-mru-7,292
L1-D.evict-E,5045
L1-D.evict-M,3782
L1-D.load-misses,7595
L1-D.load-misses-I,7595
L1-D.loads,98224
L1-D.loads-E,47351
L1-D.loads-I,7595
L1-D.loads-M,43278
L1-D.loads-where-L1,90629
L1-D.loads-where-L2,1553
L1-D.loads-where-L3,18
L1-D.loads-where-dram-local,6024
L1-D.store-misses,3237
L1-D.store-misses-E,1749
L1-D.store-misses-I,1488
L1-D.stores,44290
L1-D.stores-E,1749
L1-D.stores-I,1488
L1-D.stores-M,41053
L1-D.stores-where-L1,41053
L1-D.stores-where-L2,111
L1-D.stores-where-L3,3126
L1-D.total-latency,515810255500
L1-I.access-mru-0,37139
L1-I.access-mru-1,1174
L1-I.access-mru-2,235
L1-I.access-mru-3,56
L1-I.backinval-E,137
L1-I.coherency-downgrades,1
L1-I.evict-E,551
L1-I.load-misses,1166
L1-I.load-misses-I,1166
L1-I.loads,39770
L1-I.loads-E,38603
L1-I.loads-I,1166
L1-I.loads-S,1
L1-I.loads-where-L1I,38604
L1-I.loads-where-L2,29
L1-I.loads-where-L3,20
L1-I.loads-where-dram-local,1117
L1-I.total-latency,77736175040
L2.access-mru-0,705
L2.access-mru-1,466
L2.access-mru-2,176
L2.access-mru-3,55
L2.access-mru-4,151
L2.access-mru-5,77
L2.access-mru-6,44
L2.access-mru-7,19
L2.evict-E,686
L2.evict-M,172
L2.load-misses,7179
L2.load-misses-I,7179
L2.loads,8761
L2.loads-E,823
L2.loads-I,7179
L2.loads-M,759
L2.store-misses,3126
L2.store-misses-E,1755
L2.store-misses-I,1371
L2.stores,3237
L2.stores-E,1755
L2.stores-I,1371
L2.stores-M,111
L3.access-mru-1,14
L3.access-mru-2,18
L3.access-mru-3,9
L3.load-misses,7140
L3.load-misses-I,7140
L3.loads,7179
L3.loads-E,31
L3.loads-I,7140
L3.loads-M,8
L3.store-misses,3124
L3.store-misses-E,1755
L3.store-misses-I,1369
L3.store-overlapping-misses,28
L3.stores,3126
L3.stores-E,1755
L3.stores-I,1369
L3.stores-M,2
L3.uncore-requests,8509
L3.uncore-time-dram-bus,10646630980
L3.uncore-time-dram-device,510540000000
L3.uncore-time-dram-queue,11005549560
L3.uncore-time-td-access,21272500000
L3.uncore-totaltime,553464680540
barrier.global_time,175400000000
branch_predictor.num-correct,50441
branch_predictor.num-incorrect,3400
core.bbv-0,12195880173
core.bbv-1,11532905564
core.bbv-10,11068609622
core.bbv-11,10844307165
core.bbv-12,9758749571
core.bbv-13,9997474046
core.bbv-14,12394757753
core.bbv-15,10162381812
core.bbv-2,11039669195
core.bbv-3,10115140410
core.bbv-4,11309107152
core.bbv-5,9984955411
core.bbv-6,10380075094
core.bbv-7,10856852633
core.bbv-8,10901962568
core.bbv-9,11097221583
core.instructions,332747
directory.entries-allocated,121072
dram-queue.num-requests,8509
dram-queue.total-queue-delay,11005549560
dram-queue.total-time-used,10646630980
dram.reads,8509
dram.total-access-latency,532192180540
dram.total-queueing-delay,11005549560
dtlb.access,142514
dtlb.miss,427
dtlb_cache.access-mru-0,136375
dtlb_cache.access-mru-1,4274
dtlb_cache.access-mru-2,835
dtlb_cache.access-mru-3,603
futex.futex_wait_bitset_count,1
futex.futex_wake_count,1
interval_timer.cpContr_branch,24198083981
interval_timer.cpContr_generic,34992765763
interval_timer.cpContr_load_l1,22301614338
interval_timer.cpContr_load_l2,4535877965
interval_timer.cpContr_load_other,4089132
interval_timer.cpContr_port015,11445059079
interval_timer.cpContr_port1,23515145
interval_timer.cpContr_port2,27927047467
interval_timer.cpContr_port34,4235012357
interval_timer.cpContr_port5,2079435521
interval_timer.cpContr_store,7353343320
interval_timer.cpiBase,34797750000
interval_timer.cpiBranchPredictor,26356500000
interval_timer.cpiDataCacheL3,85000000
interval_timer.cpiDataCachedram-local,70848000000
interval_timer.cpiInstructionCacheL2,50250000
interval_timer.cpiInstructionCacheL3,42500000
interval_timer.cpiInstructionCachedram-local,42948250000
interval_timer.cpiSerialization,38250000
interval_timer.detailed-cpiBase-DispatchRate,119077
interval_timer.detailed-cpiBase-DispatchWidth,95
interval_timer.detailed-cpiBase-DispatchWidth+DispatchRate,20019
interval_timer.loadstore_contention.num-requests,49102
interval_timer.loadstore_contention.requests-out-of-order,22823
interval_timer.loadstore_contention.requests-simultaneous,11440
interval_timer.loadstore_contention.total-delay,243000000
interval_timer.numBPredOverlapped,20640
interval_timer.numDCacheOverlapped,45768
interval_timer.numHiddenLongerDCacheLatency,3781
interval_timer.numICacheOverlapped,233803
interval_timer.numLongLatencyLoads,1055
interval_timer.numSerializationInsns,15
interval_timer.numTotalLongLatencyLoadLatency,283732
interval_timer.outstandingLongLatencyCycles,331401
interval_timer.outstandingLongLatencyInsns,1661029
interval_timer.totalHiddenDCacheLatency,1542873
interval_timer.totalHiddenLongerDCacheLatency,25302
interval_timer.totalSerializationLatency,153
interval_timer.uop_branch,63275
interval_timer.uop_generic,166814
interval_timer.uop_load,94892
interval_timer.uop_store,44282
interval_timer.uops_total,369263
itlb.access,39770
itlb.miss,94
itlb_cache.access-mru-0,39588
itlb_cache.access-mru-1,66
itlb_cache.access-mru-2,20
itlb_cache.access-mru-3,2
performance_model.cpiSyncSyscall,303000000
performance_model.elapsed_time,175469500000
performance_model.idle_elapsed_time,303000000
performance_model.instruction_count,332544
stlb.access,521
stlb.miss,281
stlb_cache.access-mru-0,91
stlb_cache.access-mru-1,106
stlb_cache.access-mru-2,17
stlb_cache.access-mru-3,26
thread.bottle_contrib_time,175166500000
thread.bottle_runtime_time,175166500000
thread.elapsed_time,175400000000
thread.instruction_count,332426
thread.instructions_by_core[0],332426
thread.nonidle_elapsed_time,175097250000
thread.time_by_core[0],175097250000
thread.unscheduled_time,303000000
thread.waiting_cost,533000000
time.walltime,1782795348351728
