metric,value
timestamp,2026-06-30T21:54:25
workload,BC
strategy,HPO
bench_class,S
num_threads,4
output_dir,Outputs/sizeS/4TH/BC_S_HPO_4TH_20260630_214958
cpu_map,"[0, 1, 2, 3]"
p_core_count,4
e_core_count,0
node0_threads,4
node1_threads,0
sim_time_ms,2.4567
total_instructions,22086918
avg_ipc,0.562
avg_ipc_p,0.562
avg_ipc_e,0.0
total_power_W,6.5501
dynamic_W,4.4956
leakage_W,2.0
dram_W,0.0545
energy_J,0.016092
node0_reads,20769
node1_reads,0
node0_pct,100.0
dram_local,12361
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.9925
l2_miss_pct,78.6846
l3_miss_pct,19.014
l1d_mpki,3.7407
l2_mpki,2.9434
l3_mpki,0.5597
l3_miss_count,12361
cpi_base_frac,0.5022
cpi_branch_frac,0.1889
cpi_l2_frac,0.0
cpi_l3_frac,0.237
cpi_dram_local_frac,0.0719
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,2658465
L1-D.access-mru-0.c1,766957
L1-D.access-mru-0.c2,720044
L1-D.access-mru-0.c3,774297
L1-D.access-mru-0.node0,4919763
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,4919763
L1-D.access-mru-1.c0,117342
L1-D.access-mru-1.c1,11919
L1-D.access-mru-1.c2,13046
L1-D.access-mru-1.c3,11665
L1-D.access-mru-1.node0,153972
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,153972
L1-D.access-mru-2.c0,44074
L1-D.access-mru-2.c1,1723
L1-D.access-mru-2.c2,1844
L1-D.access-mru-2.c3,1731
L1-D.access-mru-2.node0,49372
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,49372
L1-D.access-mru-3.c0,12281
L1-D.access-mru-3.c1,498
L1-D.access-mru-3.c2,691
L1-D.access-mru-3.c3,533
L1-D.access-mru-3.node0,14003
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,14003
L1-D.access-mru-4.c0,3850
L1-D.access-mru-4.c1,269
L1-D.access-mru-4.c2,411
L1-D.access-mru-4.c3,286
L1-D.access-mru-4.node0,4816
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,4816
L1-D.access-mru-5.c0,2220
L1-D.access-mru-5.c1,211
L1-D.access-mru-5.c2,175
L1-D.access-mru-5.c3,199
L1-D.access-mru-5.node0,2805
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,2805
L1-D.access-mru-6.c0,1467
L1-D.access-mru-6.c1,138
L1-D.access-mru-6.c2,137
L1-D.access-mru-6.c3,117
L1-D.access-mru-6.node0,1859
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,1859
L1-D.access-mru-7.c0,1008
L1-D.access-mru-7.c1,112
L1-D.access-mru-7.c2,73
L1-D.access-mru-7.c3,119
L1-D.access-mru-7.node0,1312
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,1312
L1-D.coherency-downgrades.c0,940
L1-D.coherency-downgrades.c1,483
L1-D.coherency-downgrades.c2,349
L1-D.coherency-downgrades.c3,314
L1-D.coherency-downgrades.node0,2086
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,2086
L1-D.coherency-invalidates.c0,31
L1-D.coherency-invalidates.c1,66
L1-D.coherency-invalidates.c2,57
L1-D.coherency-invalidates.c3,59
L1-D.coherency-invalidates.node0,213
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,213
L1-D.coherency-writebacks.c0,17568
L1-D.coherency-writebacks.c1,17527
L1-D.coherency-writebacks.c2,17519
L1-D.coherency-writebacks.c3,17517
L1-D.coherency-writebacks.node0,70131
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,70131
L1-D.evict-E.c0,13576
L1-D.evict-E.c1,21
L1-D.evict-E.c2,19
L1-D.evict-E.c3,45
L1-D.evict-E.node0,13661
L1-D.evict-E.node1,0
L1-D.evict-E.total,13661
L1-D.evict-M.c0,14563
L1-D.evict-M.c1,4817
L1-D.evict-M.c2,5156
L1-D.evict-M.c3,4845
L1-D.evict-M.node0,29381
L1-D.evict-M.node1,0
L1-D.evict-M.total,29381
L1-D.evict-S.c0,632
L1-D.evict-S.c1,311
L1-D.evict-S.c2,318
L1-D.evict-S.c3,168
L1-D.evict-S.node0,1429
L1-D.evict-S.node1,0
L1-D.evict-S.total,1429
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,34188
L1-D.load-misses-I.c1,16105
L1-D.load-misses-I.c2,16343
L1-D.load-misses-I.c3,15974
L1-D.load-misses-I.node0,82610
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,82610
L1-D.load-misses-S.c0,7
L1-D.load-misses-S.c1,1
L1-D.load-misses-S.c3,1
L1-D.load-misses-S.node0,9
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,9
L1-D.load-misses.c0,34197
L1-D.load-misses.c1,16106
L1-D.load-misses.c2,16343
L1-D.load-misses.c3,15975
L1-D.load-misses.node0,82621
L1-D.load-misses.node1,0
L1-D.load-misses.total,82621
L1-D.loads-E.c0,167432
L1-D.loads-E.c1,371
L1-D.loads-E.c2,293
L1-D.loads-E.c3,412
L1-D.loads-E.node0,168508
L1-D.loads-E.node1,0
L1-D.loads-E.total,168508
L1-D.loads-I.c0,34188
L1-D.loads-I.c1,16105
L1-D.loads-I.c2,16343
L1-D.loads-I.c3,15974
L1-D.loads-I.node0,82610
L1-D.loads-I.node1,0
L1-D.loads-I.total,82610
L1-D.loads-M.c0,1453694
L1-D.loads-M.c1,266393
L1-D.loads-M.c2,283034
L1-D.loads-M.c3,499180
L1-D.loads-M.node0,2502301
L1-D.loads-M.node1,0
L1-D.loads-M.total,2502301
L1-D.loads-S.c0,422366
L1-D.loads-S.c1,423693
L1-D.loads-S.c2,344834
L1-D.loads-S.c3,202252
L1-D.loads-S.node0,1393145
L1-D.loads-S.node1,0
L1-D.loads-S.total,1393145
L1-D.loads-where-L1.c0,2043483
L1-D.loads-where-L1.c1,690456
L1-D.loads-where-L1.c2,628161
L1-D.loads-where-L1.c3,701843
L1-D.loads-where-L1.node0,4063943
L1-D.loads-where-L1.node1,0
L1-D.loads-where-L1.total,4063943
L1-D.loads-where-L2.c0,10505
L1-D.loads-where-L2.c1,2341
L1-D.loads-where-L2.c2,2455
L1-D.loads-where-L2.c3,2310
L1-D.loads-where-L2.node0,17611
L1-D.loads-where-L2.node1,0
L1-D.loads-where-L2.total,17611
L1-D.loads-where-L3.c0,485
L1-D.loads-where-L3.c1,80
L1-D.loads-where-L3.c2,103
L1-D.loads-where-L3.c3,83
L1-D.loads-where-L3.node0,751
L1-D.loads-where-L3.node1,0
L1-D.loads-where-L3.total,751
L1-D.loads-where-L3_S.c0,12455
L1-D.loads-where-L3_S.c1,13161
L1-D.loads-where-L3_S.c2,13276
L1-D.loads-where-L3_S.c3,13006
L1-D.loads-where-L3_S.node0,51898
L1-D.loads-where-L3_S.node1,0
L1-D.loads-where-L3_S.total,51898
L1-D.loads-where-dram-local.c0,10752
L1-D.loads-where-dram-local.c1,524
L1-D.loads-where-dram-local.c2,509
L1-D.loads-where-dram-local.c3,576
L1-D.loads-where-dram-local.node0,12361
L1-D.loads-where-dram-local.node1,0
L1-D.loads-where-dram-local.total,12361
L1-D.loads.c0,2077680
L1-D.loads.c1,706562
L1-D.loads.c2,644504
L1-D.loads.c3,717818
L1-D.loads.node0,4146564
L1-D.loads.node1,0
L1-D.loads.total,4146564
L1-D.store-misses-E,2066
L1-D.store-misses-I.c0,12437
L1-D.store-misses-I.c1,6887
L1-D.store-misses-I.c2,6980
L1-D.store-misses-I.c3,6910
L1-D.store-misses-I.node0,33214
L1-D.store-misses-I.node1,0
L1-D.store-misses-I.total,33214
L1-D.store-misses-S.c0,108
L1-D.store-misses-S.c1,5
L1-D.store-misses-S.c2,4
L1-D.store-misses-S.c3,3
L1-D.store-misses-S.node0,120
L1-D.store-misses-S.node1,0
L1-D.store-misses-S.total,120
L1-D.store-misses.c0,14611
L1-D.store-misses.c1,6892
L1-D.store-misses.c2,6984
L1-D.store-misses.c3,6913
L1-D.store-misses.node0,35400
L1-D.store-misses.node1,0
L1-D.store-misses.total,35400
L1-D.stores-E,2066
L1-D.stores-I.c0,12437
L1-D.stores-I.c1,6887
L1-D.stores-I.c2,6980
L1-D.stores-I.c3,6910
L1-D.stores-I.node0,33214
L1-D.stores-I.node1,0
L1-D.stores-I.total,33214
L1-D.stores-M.c0,797224
L1-D.stores-M.c1,91371
L1-D.stores-M.c2,108260
L1-D.stores-M.c3,87104
L1-D.stores-M.node0,1083959
L1-D.stores-M.node1,0
L1-D.stores-M.total,1083959
L1-D.stores-S.c0,108
L1-D.stores-S.c1,5
L1-D.stores-S.c2,4
L1-D.stores-S.c3,3
L1-D.stores-S.node0,120
L1-D.stores-S.node1,0
L1-D.stores-S.total,120
L1-D.stores-where-L1.c0,797224
L1-D.stores-where-L1.c1,91371
L1-D.stores-where-L1.c2,108260
L1-D.stores-where-L1.c3,87104
L1-D.stores-where-L1.node0,1083959
L1-D.stores-where-L1.node1,0
L1-D.stores-where-L1.total,1083959
