metric,value
timestamp,2026-06-30T21:56:14
workload,CG
strategy,EPO
bench_class,S
num_threads,4
output_dir,Outputs/sizeS/4TH/CG_S_EPO_4TH_20260630_214958
cpu_map,"[4, 5, 6, 7]"
p_core_count,0
e_core_count,4
node0_threads,4
node1_threads,0
sim_time_ms,36.3966
total_instructions,324226529
avg_ipc,2.227
avg_ipc_p,0.0
avg_ipc_e,2.227
total_power_W,4.1486
dynamic_W,3.3406
leakage_W,0.8
dram_W,0.008
energy_J,0.150993
node0_reads,45476
node1_reads,0
node0_pct,100.0
dram_local,17876
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,7.7751
l2_miss_pct,24.2872
l3_miss_pct,0.8157
l1d_mpki,27.8293
l2_mpki,6.759
l3_mpki,0.0551
l3_miss_count,17876
cpi_base_frac,0.9276
cpi_branch_frac,0.0391
cpi_l2_frac,0.0
cpi_l3_frac,0.0325
cpi_dram_local_frac,0.0009
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,20554435
L1-D.access-mru-0.c1,20176879
L1-D.access-mru-0.c2,20229188
L1-D.access-mru-0.c3,20277635
L1-D.access-mru-0.node0,81238137
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,81238137
L1-D.access-mru-1.c0,2098726
L1-D.access-mru-1.c1,2014059
L1-D.access-mru-1.c2,2019468
L1-D.access-mru-1.c3,1992355
L1-D.access-mru-1.node0,8124608
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,8124608
L1-D.access-mru-2.c0,1276252
L1-D.access-mru-2.c1,1231058
L1-D.access-mru-2.c2,1262499
L1-D.access-mru-2.c3,1249935
L1-D.access-mru-2.node0,5019744
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,5019744
L1-D.access-mru-3.c0,1240149
L1-D.access-mru-3.c1,1207547
L1-D.access-mru-3.c2,1235521
L1-D.access-mru-3.c3,1240032
L1-D.access-mru-3.node0,4923249
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,4923249
L1-D.access-mru-4.c0,1100714
L1-D.access-mru-4.c1,1104034
L1-D.access-mru-4.c2,1105061
L1-D.access-mru-4.c3,1072557
L1-D.access-mru-4.node0,4382366
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,4382366
L1-D.access-mru-5.c0,965596
L1-D.access-mru-5.c1,893800
L1-D.access-mru-5.c2,904508
L1-D.access-mru-5.c3,945413
L1-D.access-mru-5.node0,3709317
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,3709317
L1-D.access-mru-6.c0,767444
L1-D.access-mru-6.c1,720986
L1-D.access-mru-6.c2,719148
L1-D.access-mru-6.c3,751420
L1-D.access-mru-6.node0,2958998
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,2958998
L1-D.access-mru-7.c0,557956
L1-D.access-mru-7.c1,534703
L1-D.access-mru-7.c2,514987
L1-D.access-mru-7.c3,543004
L1-D.access-mru-7.node0,2150650
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,2150650
L1-D.backinval-E,1
L1-D.backinval-M.c0,20
L1-D.backinval-M.c1,117
L1-D.backinval-M.c2,412
L1-D.backinval-M.c3,25
L1-D.backinval-M.node0,574
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,574
L1-D.backinval-S.c0,856
L1-D.backinval-S.c1,784
L1-D.backinval-S.c2,441
L1-D.backinval-S.c3,99
L1-D.backinval-S.node0,2180
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,2180
L1-D.coherency-downgrades.c0,110814
L1-D.coherency-downgrades.c1,119389
L1-D.coherency-downgrades.c2,118321
L1-D.coherency-downgrades.c3,115851
L1-D.coherency-downgrades.node0,464375
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,464375
L1-D.coherency-invalidates.c0,12367
L1-D.coherency-invalidates.c1,14312
L1-D.coherency-invalidates.c2,14965
L1-D.coherency-invalidates.c3,11645
L1-D.coherency-invalidates.node0,53289
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,53289
L1-D.coherency-writebacks.c0,9885
L1-D.coherency-writebacks.c1,11025
L1-D.coherency-writebacks.c2,10885
L1-D.coherency-writebacks.c3,11272
L1-D.coherency-writebacks.node0,43067
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,43067
L1-D.evict-E.c0,7247
L1-D.evict-E.c1,3
L1-D.evict-E.c2,73
L1-D.evict-E.c3,122
L1-D.evict-E.node0,7445
L1-D.evict-E.node1,0
L1-D.evict-E.total,7445
L1-D.evict-M.c0,1868329
L1-D.evict-M.c1,1759811
L1-D.evict-M.c2,1799187
L1-D.evict-M.c3,1801643
L1-D.evict-M.node0,7228970
L1-D.evict-M.node1,0
L1-D.evict-M.total,7228970
L1-D.evict-S.c0,439431
L1-D.evict-S.c1,475327
L1-D.evict-S.c2,434418
L1-D.evict-S.c3,468322
L1-D.evict-S.node0,1817498
L1-D.evict-S.node1,0
L1-D.evict-S.total,1817498
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,2301340
L1-D.load-misses-I.c1,2230540
L1-D.load-misses-I.c2,2228577
L1-D.load-misses-I.c3,2261664
L1-D.load-misses-I.node0,9022121
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,9022121
L1-D.load-misses-S.c0,9
L1-D.load-misses-S.c1,72
L1-D.load-misses-S.c2,555
L1-D.load-misses-S.c3,235
L1-D.load-misses-S.node0,871
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,871
L1-D.load-misses.c0,2301352
L1-D.load-misses.c1,2230612
L1-D.load-misses.c2,2229132
L1-D.load-misses.c3,2261899
L1-D.load-misses.node0,9022995
L1-D.load-misses.node1,0
L1-D.load-misses.total,9022995
L1-D.loads-E.c0,67794
L1-D.loads-E.c1,411
L1-D.loads-E.c2,1611
L1-D.loads-E.c3,30930
L1-D.loads-E.node0,100746
L1-D.loads-E.node1,0
L1-D.loads-E.total,100746
L1-D.loads-I.c0,2301340
L1-D.loads-I.c1,2230540
L1-D.loads-I.c2,2228577
L1-D.loads-I.c3,2261664
L1-D.loads-I.node0,9022121
L1-D.loads-I.node1,0
L1-D.loads-I.total,9022121
L1-D.loads-M.c0,20934684
L1-D.loads-M.c1,19694894
L1-D.loads-M.c2,19811759
L1-D.loads-M.c3,19715191
L1-D.loads-M.node0,80156528
L1-D.loads-M.node1,0
L1-D.loads-M.total,80156528
L1-D.loads-S.c0,6105347
L1-D.loads-S.c1,6883557
L1-D.loads-S.c2,6843043
L1-D.loads-S.c3,6938954
L1-D.loads-S.node0,26770901
L1-D.loads-S.node1,0
L1-D.loads-S.total,26770901
L1-D.loads-where-L1.c0,27107813
L1-D.loads-where-L1.c1,26578790
L1-D.loads-where-L1.c2,26655858
L1-D.loads-where-L1.c3,26684840
L1-D.loads-where-L1.node0,107027301
L1-D.loads-where-L1.node1,0
L1-D.loads-where-L1.total,107027301
L1-D.loads-where-L2.c0,1627622
L1-D.loads-where-L2.c1,1873281
L1-D.loads-where-L2.c2,1625437
L1-D.loads-where-L2.c3,1705218
L1-D.loads-where-L2.node0,6831558
L1-D.loads-where-L2.node1,0
L1-D.loads-where-L2.total,6831558
L1-D.loads-where-L3.c0,601591
L1-D.loads-where-L3.c1,288687
L1-D.loads-where-L3.c2,537878
L1-D.loads-where-L3.c3,489776
L1-D.loads-where-L3.node0,1917932
L1-D.loads-where-L3.node1,0
L1-D.loads-where-L3.total,1917932
L1-D.loads-where-L3_S.c0,62662
L1-D.loads-where-L3_S.c1,65882
L1-D.loads-where-L3_S.c2,63136
L1-D.loads-where-L3_S.c3,63949
L1-D.loads-where-L3_S.node0,255629
L1-D.loads-where-L3_S.node1,0
L1-D.loads-where-L3_S.total,255629
L1-D.loads-where-dram-local.c0,9477
L1-D.loads-where-dram-local.c1,2762
L1-D.loads-where-dram-local.c2,2681
L1-D.loads-where-dram-local.c3,2956
L1-D.loads-where-dram-local.node0,17876
L1-D.loads-where-dram-local.node1,0
L1-D.loads-where-dram-local.total,17876
L1-D.loads.c0,29409165
L1-D.loads.c1,28809402
L1-D.loads.c2,28884990
L1-D.loads.c3,28946739
L1-D.loads.node0,116050296
L1-D.loads.node1,0
L1-D.loads.total,116050296
L1-D.store-misses-E,1935
L1-D.store-misses-I.c0,37052
L1-D.store-misses-I.c1,31084
L1-D.store-misses-I.c2,32049
L1-D.store-misses-I.c3,31710
L1-D.store-misses-I.node0,131895
L1-D.store-misses-I.node1,0
L1-D.store-misses-I.total,131895
L1-D.store-misses-S.c0,20187
L1-D.store-misses-S.c1,18356
L1-D.store-misses-S.c2,19122
L1-D.store-misses-S.c3,18276
L1-D.store-misses-S.node0,75941
L1-D.store-misses-S.node1,0
L1-D.store-misses-S.total,75941
L1-D.store-misses.c0,59174
L1-D.store-misses.c1,49440
L1-D.store-misses.c2,51171
L1-D.store-misses.c3,49986
L1-D.store-misses.node0,209771
L1-D.store-misses.node1,0
L1-D.store-misses.total,209771
L1-D.stores-E,1935
L1-D.stores-I.c0,37052
L1-D.stores-I.c1,31084
L1-D.stores-I.c2,32049
L1-D.stores-I.c3,31710
L1-D.stores-I.node0,131895
L1-D.stores-I.node1,0
L1-D.stores-I.total,131895
L1-D.stores-M.c0,1453459
L1-D.stores-M.c1,1304276
L1-D.stores-M.c2,1334522
L1-D.stores-M.c3,1387511
L1-D.stores-M.node0,5479768
L1-D.stores-M.node1,0
L1-D.stores-M.total,5479768
L1-D.stores-S.c0,20187
L1-D.stores-S.c1,18356
L1-D.stores-S.c2,19122
L1-D.stores-S.c3,18276
L1-D.stores-S.node0,75941
L1-D.stores-S.node1,0
L1-D.stores-S.total,75941
L1-D.stores-where-L1.c0,1453459
L1-D.stores-where-L1.c1,1304276
L1-D.stores-where-L1.c2,1334522
L1-D.stores-where-L1.c3,1387511
L1-D.stores-where-L1.node0,5479768
L1-D.stores-where-L1.node1,0
L1-D.stores-where-L1.total,5479768
L1-D.stores-where-L2.c0,20664
L1-D.stores-where-L2.c1,18497
L1-D.stores-where-L2.c2,19298
L1-D.stores-where-L2.c3,19182
L1-D.stores-where-L2.node0,77641
L1-D.stores-where-L2.node1,0
L1-D.stores-where-L2.total,77641
L1-D.stores-where-L3.c0,17563
L1-D.stores-where-L3.c1,12019
L1-D.stores-where-L3.c2,12601
L1-D.stores-where-L3.c3,12398
L1-D.stores-where-L3.node0,54581
L1-D.stores-where-L3.node1,0
L1-D.stores-where-L3.total,54581
L1-D.stores-where-L3_S.c0,20928
L1-D.stores-where-L3_S.c1,18908
L1-D.stores-where-L3_S.c2,19259
L1-D.stores-where-L3_S.c3,18399
L1-D.stores-where-L3_S.node0,77494
L1-D.stores-where-L3_S.node1,0
L1-D.stores-where-L3_S.total,77494
L1-D.stores-where-dram-local.c0,19
L1-D.stores-where-dram-local.c1,16
L1-D.stores-where-dram-local.c2,13
L1-D.stores-where-dram-local.c3,7
L1-D.stores-where-dram-local.node0,55
L1-D.stores-where-dram-local.node1,0
L1-D.stores-where-dram-local.total,55
L1-D.stores.c0,1512633
L1-D.stores.c1,1353716
L1-D.stores.c2,1385693
L1-D.stores.c3,1437497
L1-D.stores.node0,5689539
L1-D.stores.node1,0
L1-D.stores.total,5689539
L1-D.total-latency.c0,28228244577560
L1-D.total-latency.c1,26263317086400
L1-D.total-latency.c2,26766385613040
L1-D.total-latency.c3,26931943618720
L1-D.total-latency.node0,108189890895720
L1-D.total-latency.node1,0
L1-D.total-latency.total,108189890895720
L1-I.access-mru-0.c0,2880745
L1-I.access-mru-0.c1,2699691
L1-I.access-mru-0.c2,2735984
L1-I.access-mru-0.c3,2843478
L1-I.access-mru-0.node0,11159898
L1-I.access-mru-0.node1,0
L1-I.access-mru-0.total,11159898
L1-I.access-mru-1.c0,8936
L1-I.access-mru-1.c1,69
L1-I.access-mru-1.c2,66
L1-I.access-mru-1.c3,58
L1-I.access-mru-1.node0,9129
L1-I.access-mru-1.node1,0
L1-I.access-mru-1.total,9129
L1-I.access-mru-2.c0,4649
L1-I.access-mru-2.c1,4
L1-I.access-mru-2.c2,3
L1-I.access-mru-2.c3,4
L1-I.access-mru-2.node0,4660
L1-I.access-mru-2.node1,0
L1-I.access-mru-2.total,4660
L1-I.access-mru-3,3144
L1-I.backinval-E.c0,13465
L1-I.backinval-E.c1,681
L1-I.backinval-E.c2,489
L1-I.backinval-E.c3,2442
L1-I.backinval-E.node0,17077
L1-I.backinval-E.node1,0
L1-I.backinval-E.total,17077
L1-I.backinval-S.c0,1689
L1-I.backinval-S.c1,899
L1-I.backinval-S.c2,8081
L1-I.backinval-S.c3,7158
L1-I.backinval-S.node0,17827
L1-I.backinval-S.node1,0
L1-I.backinval-S.total,17827
L1-I.coherency-downgrades.c0,6916
L1-I.coherency-downgrades.c1,24504
L1-I.coherency-downgrades.c2,15270
L1-I.coherency-downgrades.c3,12798
L1-I.coherency-downgrades.node0,59488
L1-I.coherency-downgrades.node1,0
L1-I.coherency-downgrades.total,59488
L1-I.evict-E,7596
L1-I.evict-S,32
L1-I.load-misses-I.c0,23291
L1-I.load-misses-I.c1,1681
L1-I.load-misses-I.c2,8631
L1-I.load-misses-I.c3,9648
L1-I.load-misses-I.node0,43251
L1-I.load-misses-I.node1,0
L1-I.load-misses-I.total,43251
L1-I.load-misses.c0,23291
L1-I.load-misses.c1,1681
L1-I.load-misses.c2,8631
L1-I.load-misses.c3,9648
L1-I.load-misses.node0,43251
L1-I.load-misses.node1,0
L1-I.load-misses.total,43251
L1-I.loads-E.c0,732713
L1-I.loads-E.c1,154372
L1-I.loads-E.c2,1678644
L1-I.loads-E.c3,385780
L1-I.loads-E.node0,2951509
L1-I.loads-E.node1,0
L1-I.loads-E.total,2951509
L1-I.loads-I.c0,23291
L1-I.loads-I.c1,1681
L1-I.loads-I.c2,8631
L1-I.loads-I.c3,9648
L1-I.loads-I.node0,43251
L1-I.loads-I.node1,0
L1-I.loads-I.total,43251
L1-I.loads-S.c0,2164761
L1-I.loads-S.c1,2545392
L1-I.loads-S.c2,1057409
L1-I.loads-S.c3,2457760
L1-I.loads-S.node0,8225322
L1-I.loads-S.node1,0
L1-I.loads-S.total,8225322
L1-I.loads-where-L1I.c0,2897474
L1-I.loads-where-L1I.c1,2699764
L1-I.loads-where-L1I.c2,2736053
L1-I.loads-where-L1I.c3,2843540
L1-I.loads-where-L1I.node0,11176831
L1-I.loads-where-L1I.node1,0
L1-I.loads-where-L1I.total,11176831
L1-I.loads-where-L2,3617
L1-I.loads-where-L3.c0,17434
L1-I.loads-where-L3.c1,1523
L1-I.loads-where-L3.c2,8542
L1-I.loads-where-L3.c3,9532
L1-I.loads-where-L3.node0,37031
L1-I.loads-where-L3.node1,0
L1-I.loads-where-L3.total,37031
L1-I.loads-where-dram-local.c0,2240
L1-I.loads-where-dram-local.c1,158
L1-I.loads-where-dram-local.c2,89
L1-I.loads-where-dram-local.c3,116
L1-I.loads-where-dram-local.node0,2603
L1-I.loads-where-dram-local.node1,0
L1-I.loads-where-dram-local.total,2603
L1-I.loads.c0,2920765
L1-I.loads.c1,2701445
L1-I.loads.c2,2744684
L1-I.loads.c3,2853188
L1-I.loads.node0,11220082
L1-I.loads.node1,0
L1-I.loads.total,11220082
L1-I.total-latency.c0,386660650140
L1-I.total-latency.c1,26821029380
L1-I.total-latency.c2,103039356140
L1-I.total-latency.c3,115783890300
L1-I.total-latency.node0,632304925960
L1-I.total-latency.node1,0
L1-I.total-latency.total,632304925960
L2.access-mru-0.c0,249818
L2.access-mru-0.c1,277462
L2.access-mru-0.c2,221722
L2.access-mru-0.c3,249819
L2.access-mru-0.node0,998821
L2.access-mru-0.node1,0
L2.access-mru-0.total,998821
L2.access-mru-1.c0,249142
L2.access-mru-1.c1,217890
L2.access-mru-1.c2,253372
L2.access-mru-1.c3,247829
L2.access-mru-1.node0,968233
L2.access-mru-1.node1,0
L2.access-mru-1.total,968233
L2.access-mru-2.c0,80069
L2.access-mru-2.c1,61840
L2.access-mru-2.c2,69430
L2.access-mru-2.c3,66236
L2.access-mru-2.node0,277575
L2.access-mru-2.node1,0
L2.access-mru-2.total,277575
L2.access-mru-3.c0,25347
L2.access-mru-3.c1,32520
L2.access-mru-3.c2,31657
L2.access-mru-3.c3,30875
L2.access-mru-3.node0,120399
L2.access-mru-3.node1,0
L2.access-mru-3.total,120399
L2.access-mru-4.c0,15348
L2.access-mru-4.c1,12944
L2.access-mru-4.c2,17643
L2.access-mru-4.c3,16832
L2.access-mru-4.node0,62767
L2.access-mru-4.node1,0
L2.access-mru-4.total,62767
L2.access-mru-5.c0,14475
L2.access-mru-5.c1,12517
L2.access-mru-5.c2,110273
L2.access-mru-5.c3,71129
L2.access-mru-5.node0,208394
L2.access-mru-5.node1,0
L2.access-mru-5.total,208394
L2.access-mru-6.c0,537876
L2.access-mru-6.c1,633106
L2.access-mru-6.c2,589110
L2.access-mru-6.c3,443127
L2.access-mru-6.node0,2203219
L2.access-mru-6.node1,0
L2.access-mru-6.total,2203219
L2.access-mru-7.c0,479828
L2.access-mru-7.c1,643499
L2.access-mru-7.c2,351528
L2.access-mru-7.c3,598553
L2.access-mru-7.node0,2073408
L2.access-mru-7.node1,0
L2.access-mru-7.total,2073408
L2.coherency-downgrades.c0,128632
L2.coherency-downgrades.c1,151228
L2.coherency-downgrades.c2,142677
L2.coherency-downgrades.c3,140042
L2.coherency-downgrades.node0,562579
L2.coherency-downgrades.node1,0
L2.coherency-downgrades.total,562579
L2.coherency-invalidates.c0,34586
L2.coherency-invalidates.c1,39429
L2.coherency-invalidates.c2,36846
L2.coherency-invalidates.c3,39528
L2.coherency-invalidates.node0,150389
L2.coherency-invalidates.node1,0
L2.coherency-invalidates.total,150389
L2.coherency-writebacks.c0,22963
L2.coherency-writebacks.c1,20435
L2.coherency-writebacks.c2,22560
L2.coherency-writebacks.c3,20626
L2.coherency-writebacks.node0,86584
L2.coherency-writebacks.node1,0
L2.coherency-writebacks.total,86584
L2.evict-E.c0,22774
L2.evict-E.c1,683
L2.evict-E.c2,558
L2.evict-E.c3,2536
L2.evict-E.node0,26551
L2.evict-E.node1,0
L2.evict-E.total,26551
L2.evict-M.c0,619649
L2.evict-M.c1,301640
L2.evict-M.c2,545810
L2.evict-M.c3,500564
L2.evict-M.node0,1967663
L2.evict-M.node1,0
L2.evict-M.total,1967663
L2.evict-S.c0,5283
L2.evict-S.c1,5353
L2.evict-S.c2,14303
L2.evict-S.c3,10915
L2.evict-S.node0,35854
L2.evict-S.node1,0
L2.evict-S.total,35854
L2.load-misses-E,3
L2.load-misses-I.c0,693392
L2.load-misses-I.c1,358940
L2.load-misses-I.c2,611771
L2.load-misses-I.c3,566095
L2.load-misses-I.node0,2230198
L2.load-misses-I.node1,0
L2.load-misses-I.total,2230198
L2.load-misses-S.c0,9
L2.load-misses-S.c1,72
L2.load-misses-S.c2,555
L2.load-misses-S.c3,234
L2.load-misses-S.node0,870
L2.load-misses-S.node1,0
L2.load-misses-S.total,870
L2.load-misses.c0,693404
L2.load-misses.c1,359012
L2.load-misses.c2,612326
L2.load-misses.c3,566329
L2.load-misses.node0,2231071
L2.load-misses.node1,0
L2.load-misses.total,2231071
L2.load-overlapping-misses.c0,40
L2.load-overlapping-misses.c1,275
L2.load-overlapping-misses.c2,269
L2.load-overlapping-misses.c3,334
L2.load-overlapping-misses.node0,918
L2.load-overlapping-misses.node1,0
L2.load-overlapping-misses.total,918
L2.loads-E.c0,4863
L2.loads-E.c1,2
L2.loads-E.c2,1
L2.loads-E.c3,28
L2.loads-E.node0,4894
L2.loads-E.node1,0
L2.loads-E.total,4894
L2.loads-I.c0,693392
L2.loads-I.c1,358940
L2.loads-I.c2,611771
L2.loads-I.c3,566095
L2.loads-I.node0,2230198
L2.loads-I.node1,0
L2.loads-I.total,2230198
L2.loads-M.c0,1210485
L2.loads-M.c1,1424603
L2.loads-M.c2,1216006
L2.loads-M.c3,1266440
L2.loads-M.node0,5117534
L2.loads-M.node1,0
L2.loads-M.total,5117534
L2.loads-S.c0,415903
L2.loads-S.c1,448748
L2.loads-S.c2,409985
L2.loads-S.c3,438984
L2.loads-S.node0,1713620
L2.loads-S.node1,0
L2.loads-S.total,1713620
L2.loads.c0,2324643
L2.loads.c1,2232293
L2.loads.c2,2237763
L2.loads.c3,2271547
L2.loads.node0,9066246
L2.loads.node1,0
L2.loads.total,9066246
L2.store-misses-E,1946
L2.store-misses-I.c0,15957
L2.store-misses-I.c1,12560
L2.store-misses-I.c2,12349
L2.store-misses-I.c3,12108
L2.store-misses-I.node0,52974
L2.store-misses-I.node1,0
L2.store-misses-I.total,52974
L2.store-misses-S.c0,20607
L2.store-misses-S.c1,18383
L2.store-misses-S.c2,19524
L2.store-misses-S.c3,18696
L2.store-misses-S.node0,77210
L2.store-misses-S.node1,0
L2.store-misses-S.total,77210
L2.store-misses.c0,38510
L2.store-misses.c1,30943
L2.store-misses.c2,31873
L2.store-misses.c3,30804
L2.store-misses.node0,132130
L2.store-misses.node1,0
L2.store-misses.total,132130
L2.store-overlapping-misses.c0,182
L2.store-overlapping-misses.c1,26
L2.store-overlapping-misses.c2,29
L2.store-overlapping-misses.c3,26
L2.store-overlapping-misses.node0,263
