metric,value
timestamp,2026-06-30T21:56:46
workload,SSSP
strategy,EPO
bench_class,S
num_threads,4
output_dir,Outputs/sizeS/4TH/SSSP_S_EPO_4TH_20260630_214958
cpu_map,"[4, 5, 6, 7]"
p_core_count,0
e_core_count,4
node0_threads,4
node1_threads,0
sim_time_ms,9.0455
total_instructions,28845490
avg_ipc,0.7972
avg_ipc_p,0.0
avg_ipc_e,0.7972
total_power_W,2.0139
dynamic_W,1.1959
leakage_W,0.8
dram_W,0.018
energy_J,0.018217
node0_reads,25186
node1_reads,0
node0_pct,100.0
dram_local,14136
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.7017
l2_miss_pct,78.5751
l3_miss_pct,20.2258
l1d_mpki,3.0836
l2_mpki,2.4229
l3_mpki,0.4901
l3_miss_count,14136
cpi_base_frac,0.6248
cpi_branch_frac,0.1731
cpi_l2_frac,0.0
cpi_l3_frac,0.1713
cpi_dram_local_frac,0.0307
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,3004073
L1-D.access-mru-0.c1,1064413
L1-D.access-mru-0.c2,1014710
L1-D.access-mru-0.c3,1068971
L1-D.access-mru-0.node0,6152167
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,6152167
L1-D.access-mru-1.c0,129170
L1-D.access-mru-1.c1,12532
L1-D.access-mru-1.c2,14605
L1-D.access-mru-1.c3,12387
L1-D.access-mru-1.node0,168694
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,168694
L1-D.access-mru-2.c0,47377
L1-D.access-mru-2.c1,2267
L1-D.access-mru-2.c2,2630
L1-D.access-mru-2.c3,2161
L1-D.access-mru-2.node0,54435
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,54435
L1-D.access-mru-3.c0,15629
L1-D.access-mru-3.c1,622
L1-D.access-mru-3.c2,722
L1-D.access-mru-3.c3,567
L1-D.access-mru-3.node0,17540
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,17540
L1-D.access-mru-4.c0,5915
L1-D.access-mru-4.c1,324
L1-D.access-mru-4.c2,400
L1-D.access-mru-4.c3,292
L1-D.access-mru-4.node0,6931
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,6931
L1-D.access-mru-5.c0,3074
L1-D.access-mru-5.c1,170
L1-D.access-mru-5.c2,296
L1-D.access-mru-5.c3,172
L1-D.access-mru-5.node0,3712
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,3712
L1-D.access-mru-6.c0,1708
L1-D.access-mru-6.c1,116
L1-D.access-mru-6.c2,207
L1-D.access-mru-6.c3,123
L1-D.access-mru-6.node0,2154
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,2154
L1-D.access-mru-7.c0,965
L1-D.access-mru-7.c1,85
L1-D.access-mru-7.c2,357
L1-D.access-mru-7.c3,92
L1-D.access-mru-7.node0,1499
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,1499
L1-D.backinval-E,1
L1-D.backinval-M.c0,49
L1-D.backinval-M.c1,1
L1-D.backinval-M.node0,50
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,50
L1-D.coherency-downgrades.c0,810
L1-D.coherency-downgrades.c1,583
L1-D.coherency-downgrades.c2,518
L1-D.coherency-downgrades.c3,367
L1-D.coherency-downgrades.node0,2278
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,2278
L1-D.coherency-invalidates.c0,28
L1-D.coherency-invalidates.c1,62
L1-D.coherency-invalidates.c2,64
L1-D.coherency-invalidates.c3,52
L1-D.coherency-invalidates.node0,206
