                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11237289 |    3151009 |    3440640 |    2901895 |    3157507 |    3451490
  Cycles                             |    9255200 |    9255200 |    9255200 |    9255200 |    9255200 |    9255200
  IPC                                |       1.21 |       0.34 |       0.37 |       0.31 |       0.34 |       0.37
  Time (ns)                          |    2313800 |    2313800 |    2313800 |    2313800 |    2313800 |    2313800
  Idle time (ns)                     |       1442 |    1786329 |    1786863 |    1787000 |    1787056 |    1787142
  Idle time (%)                      |       0.1% |      77.2% |      77.2% |      77.2% |      77.2% |      77.2%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1368079 |     944111 |    1065644 |     840352 |     946168 |    1069207
  num incorrect                      |      78739 |      11462 |       7207 |      14533 |      11320 |       7126
  misprediction rate                 |      5.44% |      1.20% |      0.67% |      1.70% |      1.18% |      0.66%
  mpki                               |       7.01 |       3.64 |       2.09 |       5.01 |       3.59 |       2.06
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1670887 |      87269 |      63128 |     108902 |      88312 |      64344
    num misses                       |        178 |         28 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.03% |      0.04% |      0.02% |      0.03% |      0.04%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2769394 |     670077 |     696795 |     644305 |     670052 |     699295
    num misses                       |       1344 |        129 |        141 |        157 |        150 |        157
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.12 |       0.04 |       0.04 |       0.05 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       1522 |        157 |        167 |        183 |        176 |        183
    num misses                       |        569 |        133 |        138 |        142 |        145 |        145
    miss rate                        |     37.39% |     84.71% |     82.63% |     77.60% |     82.39% |     79.23%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.05 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1670887 |      87269 |      63128 |     108902 |      88312 |      64344
    num cache misses                 |       2734 |        181 |        173 |        174 |        174 |        172
    miss rate                        |      0.16% |      0.21% |      0.27% |      0.16% |      0.20% |      0.27%
    mpki                             |       0.24 |       0.06 |       0.05 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2769394 |     670077 |     696795 |     644305 |     670052 |     699295
    num cache misses                 |      40813 |      16824 |      16728 |      17119 |      16917 |      16780
    miss rate                        |      1.47% |      2.51% |      2.40% |      2.66% |      2.52% |      2.40%
    mpki                             |       3.63 |       5.34 |       4.86 |       5.90 |       5.36 |       4.86
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45939 |      17204 |      17036 |      17879 |      17635 |      17433
    num cache misses                 |      32101 |      15366 |      15375 |      15562 |      15397 |      15320
    miss rate                        |     69.88% |     89.32% |     90.25% |     87.04% |     87.31% |     87.88%
    mpki                             |       2.86 |       4.88 |       4.47 |       5.36 |       4.88 |       4.44
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34731 |      15576 |      15514 |      16150 |      15941 |      15804
    num cache misses                 |      25792 |       9101 |       9020 |       9929 |       9756 |       9685
    miss rate                        |     74.26% |     58.43% |     58.14% |     61.48% |     61.20% |     61.28%
    mpki                             |       2.30 |       2.89 |       2.62 |       3.42 |       3.09 |       2.81
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10545 |          0 |          0 |      10489 |          0 |          0
  average dram access latency (ns)   |      61.47 |        inf |        inf |      61.46 |        inf |        inf
  average dram queueing delay        |       0.22 |       0.00 |       0.00 |       0.21 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10430 |        188 |        165 |        133 |        134 |        115
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2507 |       2351 |       2377 |       3101 |       2987 |       2916
