                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5517166 |    5375687 |    5374422 |    5327195 |    5289876 |    5255814 |    5256950 |    5185119
  Cycles                             |    6052400 |    6052400 |    6052400 |    6052400 |    6052400 |    6052400 |    6052400 |    6052400
  IPC                                |       0.91 |       0.89 |       0.89 |       0.88 |       0.87 |       0.87 |       0.87 |       0.86
  Time (ns)                          |    1513100 |    1513100 |    1513100 |    1513100 |    1513100 |    1513100 |    1513100 |    1513100
  Idle time (ns)                     |        258 |     186523 |     186902 |     187133 |     187297 |     187453 |     187640 |     187816
  Idle time (%)                      |       0.0% |      12.3% |      12.4% |      12.4% |      12.4% |      12.4% |      12.4% |      12.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     512311 |     543254 |     543726 |     534814 |     528880 |     520506 |     523459 |     504814
  num incorrect                      |       4496 |        525 |        428 |       1202 |       1128 |       1257 |       1270 |       1586
  misprediction rate                 |      0.87% |      0.10% |      0.08% |      0.22% |      0.21% |      0.24% |      0.24% |      0.31%
  mpki                               |       0.81 |       0.10 |       0.08 |       0.23 |       0.21 |       0.24 |       0.24 |       0.31
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     440155 |     377380 |     366540 |     356056 |     345058 |     334996 |     324675 |     305719
    num misses                       |        118 |         24 |         22 |         24 |         24 |         22 |         22 |         24
    miss rate                        |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2101531 |    1957554 |    1956444 |    1932799 |    1909048 |    1897599 |    1891577 |    1876546
    num misses                       |       7916 |       6393 |       7268 |       6970 |       6477 |       6995 |       6244 |       6700
    miss rate                        |      0.38% |      0.33% |      0.37% |      0.36% |      0.34% |      0.37% |      0.33% |      0.36%
    mpki                             |       1.43 |       1.19 |       1.35 |       1.31 |       1.22 |       1.33 |       1.19 |       1.29
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       8034 |       6417 |       7290 |       6994 |       6501 |       7017 |       6266 |       6724
    num misses                       |        564 |        267 |        229 |        279 |        226 |        280 |        237 |        271
    miss rate                        |      7.02% |      4.16% |      3.14% |      3.99% |      3.48% |      3.99% |      3.78% |      4.03%
    mpki                             |       0.10 |       0.05 |       0.04 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     440155 |     377380 |     366540 |     356056 |     345058 |     334996 |     324675 |     305719
    num cache misses                 |       1882 |        141 |        135 |        141 |        141 |        135 |        135 |        149
    miss rate                        |      0.43% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05%
    mpki                             |       0.34 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2101531 |    1957554 |    1956444 |    1932799 |    1909048 |    1897599 |    1891577 |    1876546
    num cache misses                 |      81586 |      71204 |      70633 |      69150 |      68795 |      68922 |      69363 |      68794
    miss rate                        |      3.88% |      3.64% |      3.61% |      3.58% |      3.60% |      3.63% |      3.67% |      3.67%
    mpki                             |      14.79 |      13.25 |      13.14 |      12.98 |      13.01 |      13.11 |      13.19 |      13.27
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      90997 |      76870 |      76302 |      74442 |      74212 |      74598 |      74972 |      74581
    num cache misses                 |      37135 |      28281 |      28209 |      28921 |      28448 |      28471 |      28602 |      28540
    miss rate                        |     40.81% |     36.79% |     36.97% |     38.85% |     38.33% |     38.17% |     38.15% |     38.27%
    mpki                             |       6.73 |       5.26 |       5.25 |       5.43 |       5.38 |       5.42 |       5.44 |       5.50
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      48348 |      36456 |      36447 |      36443 |      36819 |      36722 |      36780 |      36563
    num cache misses                 |      22301 |      10859 |      10905 |      15212 |      13818 |      11080 |      10912 |      15541
    miss rate                        |     46.13% |     29.79% |     29.92% |     41.74% |     37.53% |     30.17% |     29.67% |     42.50%
    mpki                             |       4.04 |       2.02 |       2.03 |       2.86 |       2.61 |       2.11 |       2.08 |       3.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       9216 |          0 |          0 |          0 |       9161 |          0 |          0 |          0
  average dram access latency (ns)   |     268.24 |        inf |        inf |        inf |     269.81 |        inf |        inf |        inf
  average dram queueing delay        |     206.99 |       0.00 |       0.00 |       0.00 |     208.56 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6255 |         23 |         18 |          8 |         20 |         25 |         21 |         13
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7143 |       7302 |       7344 |       7370 |       7457 |       7455 |       7425 |       7428
