                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   47035431 |   48247973 |   55192713 |   55047038 |   49367435 |   49297997 |   51797963 |   52146801
  Cycles                             |   94357600 |   94357600 |   94357600 |   94357600 |   23589400 |   23589400 |   23589400 |   23589400
  IPC                                |       0.50 |       0.51 |       0.58 |       0.58 |       2.09 |       2.09 |       2.20 |       2.21
  Time (ns)                          |   23589400 |   23589400 |   23589400 |   23589400 |   23589400 |   23589400 |   23589400 |   23589400
  Idle time (ns)                     |        354 |     498543 |     502193 |     505536 |     508673 |     511764 |     515000 |     518175
  Idle time (%)                      |       0.0% |       2.1% |       2.1% |       2.1% |       2.2% |       2.2% |       2.2% |       2.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1474860 |    2340324 |   10978496 |   10929939 |    9357433 |    9334107 |   10557434 |   10673702
  num incorrect                      |      20949 |      12461 |       8864 |       8935 |       9022 |       9200 |       7887 |       7892
  misprediction rate                 |      1.40% |      0.53% |      0.08% |      0.08% |      0.10% |      0.10% |      0.07% |      0.07%
  mpki                               |       0.45 |       0.26 |       0.16 |       0.16 |       0.18 |       0.19 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    4372749 |    4079991 |    2224005 |    2224005 |    2108421 |    2108421 |    2001831 |    2001832
    num misses                       |        203 |         33 |         33 |         33 |         33 |         33 |         33 |         33
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   20450348 |   19839828 |   15602718 |   15578312 |   14343054 |   14331486 |   14374750 |   14432899
    num misses                       |       9175 |       3865 |       2931 |       2536 |       3328 |       2628 |        505 |       2477
    miss rate                        |      0.04% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.00% |      0.02%
    mpki                             |       0.20 |       0.08 |       0.05 |       0.05 |       0.07 |       0.05 |       0.01 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       9378 |       3898 |       2964 |       2569 |       3361 |       2661 |        538 |       2510
    num misses                       |        577 |        154 |        132 |        132 |        133 |        131 |        129 |        128
    miss rate                        |      6.15% |      3.95% |      4.45% |      5.14% |      3.96% |      4.92% |     23.98% |      5.10%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    4372749 |    4079991 |    2224005 |    2224005 |    2108421 |    2108421 |    2001831 |    2001832
    num cache misses                 |      69366 |      48592 |      48035 |      47999 |      47992 |      48142 |      39923 |      40126
    miss rate                        |      1.59% |      1.19% |      2.16% |      2.16% |      2.28% |      2.28% |      1.99% |      2.00%
    mpki                             |       1.47 |       1.01 |       0.87 |       0.87 |       0.97 |       0.98 |       0.77 |       0.77
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20450348 |   19839828 |   15602718 |   15578312 |   14343054 |   14331486 |   14374750 |   14432899
    num cache misses                 |    1062767 |     961793 |     521787 |     512040 |     474121 |     480889 |     429508 |     431620
    miss rate                        |      5.20% |      4.85% |      3.34% |      3.29% |      3.31% |      3.36% |      2.99% |      2.99%
    mpki                             |      22.60 |      19.93 |       9.45 |       9.30 |       9.60 |       9.75 |       8.29 |       8.28
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1168878 |    1046149 |     584138 |     577579 |     535813 |     543445 |     489759 |     490607
    num cache misses                 |     116583 |     103481 |      74793 |      76039 |     100412 |     100380 |      85213 |      74712
    miss rate                        |      9.97% |      9.89% |     12.80% |     13.17% |     18.74% |     18.47% |     17.40% |     15.23%
    mpki                             |       2.48 |       2.14 |       1.36 |       1.38 |       2.03 |       2.04 |       1.65 |       1.43
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     183878 |     170237 |     119565 |     120203 |     132232 |     132456 |     123661 |     104590
    num cache misses                 |      14367 |       1132 |       1173 |       1182 |        581 |        539 |        592 |        579
    miss rate                        |      7.81% |      0.66% |      0.98% |      0.98% |      0.44% |      0.41% |      0.48% |      0.55%
    mpki                             |       0.31 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19791 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      67.68 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       6.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6715 |         51 |         52 |         56 |         59 |         52 |         53 |         48
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
