                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   21473842 |    3756249 |    4037733 |    4017910 |    3661240 |    3951429 |    4076822 |    3829951 |    3778696 |    3707135 |    3140356 |    3743898
  Cycles                             |   58340000 |   58340000 |   58340000 |   58340000 |   14585000 |   14585000 |   58340000 |   58340000 |   58340000 |   58340000 |   14585000 |   14585000
  IPC                                |       0.37 |       0.06 |       0.07 |       0.07 |       0.25 |       0.27 |       0.07 |       0.07 |       0.06 |       0.06 |       0.22 |       0.26
  Time (ns)                          |   14585000 |   14585000 |   14585000 |   14585000 |   14585000 |   14585000 |   14585000 |   14585000 |   14585000 |   14585000 |   14585000 |   14585000
  Idle time (ns)                     |       1374 |   12663567 |   12664262 |   12664855 |   12634354 |   12634812 |   12665029 |   12665131 |   12665532 |   12665817 |   12636132 |   12636389
  Idle time (%)                      |       0.0% |      86.8% |      86.8% |      86.8% |      86.6% |      86.6% |      86.8% |      86.8% |      86.8% |      86.8% |      86.6% |      86.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2425715 |    1137871 |    1260868 |    1252735 |    1108994 |    1233174 |    1275218 |    1169549 |    1148668 |    1116517 |     881833 |    1138055
  num incorrect                      |     160637 |      10986 |       7021 |       7520 |      11325 |       6934 |       7059 |      10115 |      10635 |      12035 |      19112 |      10363
  misprediction rate                 |      6.21% |      0.96% |      0.55% |      0.60% |      1.01% |      0.56% |      0.55% |      0.86% |      0.92% |      1.07% |      2.12% |      0.90%
  mpki                               |       7.48 |       2.92 |       1.74 |       1.87 |       3.09 |       1.75 |       1.73 |       2.64 |       2.81 |       3.25 |       6.09 |       2.77
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2504063 |      70967 |      50064 |      51849 |      70206 |      49854 |      49433 |      66320 |      70093 |      74345 |     112212 |      69213
    num misses                       |        174 |         46 |         31 |         29 |         29 |         29 |         29 |         46 |         46 |         46 |         48 |         46
    miss rate                        |      0.01% |      0.06% |      0.06% |      0.06% |      0.04% |      0.06% |      0.06% |      0.07% |      0.07% |      0.06% |      0.04% |      0.07%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5013127 |     771867 |     799470 |     797019 |     757526 |     783012 |     804702 |     780273 |     777017 |     769674 |     716674 |     767861
    num misses                       |       1980 |        688 |        641 |        710 |        667 |        686 |        685 |        722 |        688 |        676 |        673 |        674
    miss rate                        |      0.04% |      0.09% |      0.08% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09%
    mpki                             |       0.09 |       0.18 |       0.16 |       0.18 |       0.18 |       0.17 |       0.17 |       0.19 |       0.18 |       0.18 |       0.21 |       0.18
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2154 |        734 |        672 |        739 |        696 |        715 |        714 |        768 |        734 |        722 |        721 |        720
    num misses                       |        687 |        206 |        185 |        190 |        183 |        184 |        178 |        198 |        203 |        202 |        200 |        201
    miss rate                        |     31.89% |     28.07% |     27.53% |     25.71% |     26.29% |     25.73% |     24.93% |     25.78% |     27.66% |     27.98% |     27.74% |     27.92%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2504063 |      70967 |      50064 |      51849 |      70206 |      49854 |      49433 |      66320 |      70093 |      74345 |     112212 |      69213
    num cache misses                 |       2780 |        359 |        185 |        177 |        177 |        177 |        178 |        359 |        357 |        357 |        388 |        358
    miss rate                        |      0.11% |      0.51% |      0.37% |      0.34% |      0.25% |      0.36% |      0.36% |      0.54% |      0.51% |      0.48% |      0.35% |      0.52%
    mpki                             |       0.13 |       0.10 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.09 |       0.09 |       0.10 |       0.12 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5013127 |     771867 |     799470 |     797019 |     757526 |     783012 |     804702 |     780273 |     777017 |     769674 |     716674 |     767861
    num cache misses                 |      45836 |      18449 |      18227 |      18159 |      18361 |      18029 |      18110 |      18421 |      18537 |      18497 |      19699 |      18432
    miss rate                        |      0.91% |      2.39% |      2.28% |      2.28% |      2.42% |      2.30% |      2.25% |      2.36% |      2.39% |      2.40% |      2.75% |      2.40%
    mpki                             |       2.13 |       4.91 |       4.51 |       4.52 |       5.01 |       4.56 |       4.44 |       4.81 |       4.91 |       4.99 |       6.27 |       4.92
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      51036 |      19001 |      18554 |      18481 |      18725 |      18349 |      18780 |      19290 |      19444 |      19407 |      20635 |      19318
