metric,value
timestamp,2026-07-01T16:42:23
workload,BFS
strategy,Scatter
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/BFS_W_Scatter_16TH_20260630_224009
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11, 4, 12, 5, 13, 6, 14, 7, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,14.2315
total_instructions,70311671
avg_ipc,0.1624
avg_ipc_p,0.0976
avg_ipc_e,0.2273
total_power_W,7.8558
dynamic_W,2.243
leakage_W,5.6
dram_W,0.0128
energy_J,0.1118
node0_reads,14264
node1_reads,14169
node0_pct,50.1671
dram_local,6215
dram_remote,6147
dram_remote_pct,49.725
l1d_miss_pct,1.1183
l2_miss_pct,80.7565
l3_miss_pct,10.9953
l1d_mpki,1.9801
l2_mpki,1.599
l3_mpki,0.1758
l3_miss_count,12362
cpi_base_frac,0.7497
cpi_branch_frac,0.1888
cpi_l2_frac,0.0001
cpi_l3_frac,0.0502
cpi_dram_local_frac,0.0055
cpi_dram_remote_frac,0.0058
L1-D.access-mru-0.c0,4555002
L1-D.access-mru-0.c1,660211
L1-D.access-mru-0.c10,655902
L1-D.access-mru-0.c11,632679
L1-D.access-mru-0.c12,624532
L1-D.access-mru-0.c13,587154
L1-D.access-mru-0.c14,587076
L1-D.access-mru-0.c15,635265
L1-D.access-mru-0.c2,618953
L1-D.access-mru-0.c3,651980
L1-D.access-mru-0.c4,634126
L1-D.access-mru-0.c5,620692
L1-D.access-mru-0.c6,632610
L1-D.access-mru-0.c7,641621
L1-D.access-mru-0.c8,655791
L1-D.access-mru-0.c9,627326
L1-D.access-mru-0.node0,8963992
L1-D.access-mru-0.node1,5056928
L1-D.access-mru-0.total,14020920
L1-D.access-mru-1.c0,183889
L1-D.access-mru-1.c1,5336
L1-D.access-mru-1.c10,5508
L1-D.access-mru-1.c11,5980
L1-D.access-mru-1.c12,5495
L1-D.access-mru-1.c13,6537
L1-D.access-mru-1.c14,6481
L1-D.access-mru-1.c15,5464
L1-D.access-mru-1.c2,6123
L1-D.access-mru-1.c3,5450
L1-D.access-mru-1.c4,5174
L1-D.access-mru-1.c5,5764
L1-D.access-mru-1.c6,5564
L1-D.access-mru-1.c7,5564
L1-D.access-mru-1.c8,5111
L1-D.access-mru-1.c9,5731
L1-D.access-mru-1.node0,223345
L1-D.access-mru-1.node1,45826
L1-D.access-mru-1.total,269171
L1-D.access-mru-2.c0,77336
L1-D.access-mru-2.c1,1131
L1-D.access-mru-2.c10,1109
L1-D.access-mru-2.c11,1169
L1-D.access-mru-2.c12,1142
L1-D.access-mru-2.c13,1345
L1-D.access-mru-2.c14,1224
L1-D.access-mru-2.c15,1103
L1-D.access-mru-2.c2,1205
L1-D.access-mru-2.c3,1106
L1-D.access-mru-2.c4,1045
L1-D.access-mru-2.c5,1141
L1-D.access-mru-2.c6,1027
L1-D.access-mru-2.c7,1169
L1-D.access-mru-2.c8,1063
L1-D.access-mru-2.c9,1225
L1-D.access-mru-2.node0,85151
L1-D.access-mru-2.node1,9389
L1-D.access-mru-2.total,94540
L1-D.access-mru-3.c0,17314
L1-D.access-mru-3.c1,540
L1-D.access-mru-3.c10,570
L1-D.access-mru-3.c11,494
L1-D.access-mru-3.c12,532
L1-D.access-mru-3.c13,683
L1-D.access-mru-3.c14,534
L1-D.access-mru-3.c15,531
L1-D.access-mru-3.c2,518
L1-D.access-mru-3.c3,523
L1-D.access-mru-3.c4,519
L1-D.access-mru-3.c5,528
L1-D.access-mru-3.c6,546
L1-D.access-mru-3.c7,519
L1-D.access-mru-3.c8,515
L1-D.access-mru-3.c9,551
L1-D.access-mru-3.node0,21048
L1-D.access-mru-3.node1,4369
L1-D.access-mru-3.total,25417
L1-D.access-mru-4.c0,4696
L1-D.access-mru-4.c1,189
L1-D.access-mru-4.c10,206
L1-D.access-mru-4.c11,177
L1-D.access-mru-4.c12,191
L1-D.access-mru-4.c13,307
L1-D.access-mru-4.c14,201
L1-D.access-mru-4.c15,204
L1-D.access-mru-4.c2,214
L1-D.access-mru-4.c3,199
L1-D.access-mru-4.c4,222
L1-D.access-mru-4.c5,218
L1-D.access-mru-4.c6,195
L1-D.access-mru-4.c7,193
L1-D.access-mru-4.c8,206
L1-D.access-mru-4.c9,212
L1-D.access-mru-4.node0,6131
L1-D.access-mru-4.node1,1699
L1-D.access-mru-4.total,7830
L1-D.access-mru-5.c0,2374
L1-D.access-mru-5.c1,70
L1-D.access-mru-5.c10,49
L1-D.access-mru-5.c11,54
L1-D.access-mru-5.c12,50
L1-D.access-mru-5.c13,303
L1-D.access-mru-5.c14,45
L1-D.access-mru-5.c15,62
L1-D.access-mru-5.c2,51
L1-D.access-mru-5.c3,55
L1-D.access-mru-5.c4,52
L1-D.access-mru-5.c5,59
L1-D.access-mru-5.c6,57
L1-D.access-mru-5.c7,65
L1-D.access-mru-5.c8,37
L1-D.access-mru-5.c9,43
L1-D.access-mru-5.node0,2715
L1-D.access-mru-5.node1,711
L1-D.access-mru-5.total,3426
L1-D.access-mru-6.c0,1382
L1-D.access-mru-6.c1,43
L1-D.access-mru-6.c10,37
