metric,value
timestamp,2026-07-01T13:34:12
workload,BT
strategy,Packed
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/BT_W_Packed_16TH_20260630_224009
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,617.7983
total_instructions,28050998845
avg_ipc,1.7455
avg_ipc_p,0.7282
avg_ipc_e,2.7628
total_power_W,25.5401
dynamic_W,19.9395
leakage_W,5.6
dram_W,0.0006
energy_J,15.778658
node0_reads,28763
node1_reads,28730
node0_pct,50.0287
dram_local,4925
dram_remote,4927
dram_remote_pct,50.0102
l1d_miss_pct,2.4117
l2_miss_pct,7.9176
l3_miss_pct,0.0748
l1d_mpki,5.9293
l2_mpki,0.4695
l3_mpki,0.0004
l3_miss_count,9852
cpi_base_frac,0.9725
cpi_branch_frac,0.0007
cpi_l2_frac,0.0003
cpi_l3_frac,0.0264
cpi_dram_local_frac,0.0
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,703052853
L1-D.access-mru-0.c1,704820781
L1-D.access-mru-0.c10,503661370
L1-D.access-mru-0.c11,503253532
L1-D.access-mru-0.c12,487292611
L1-D.access-mru-0.c13,487559622
L1-D.access-mru-0.c14,487356552
L1-D.access-mru-0.c15,489320354
L1-D.access-mru-0.c2,704169277
L1-D.access-mru-0.c3,705782208
L1-D.access-mru-0.c4,688440207
L1-D.access-mru-0.c5,687303446
L1-D.access-mru-0.c6,493651724
L1-D.access-mru-0.c7,492857185
L1-D.access-mru-0.c8,510137570
L1-D.access-mru-0.c9,506896652
L1-D.access-mru-0.node0,5180077681
L1-D.access-mru-0.node1,3975478263
L1-D.access-mru-0.total,9155555944
L1-D.access-mru-1.c0,51057951
L1-D.access-mru-1.c1,49480735
L1-D.access-mru-1.c10,24740721
L1-D.access-mru-1.c11,24709817
L1-D.access-mru-1.c12,24788729
L1-D.access-mru-1.c13,24744431
L1-D.access-mru-1.c14,24760127
L1-D.access-mru-1.c15,24708472
L1-D.access-mru-1.c2,49205774
L1-D.access-mru-1.c3,49290347
L1-D.access-mru-1.c4,49338412
L1-D.access-mru-1.c5,49285532
L1-D.access-mru-1.c6,24945959
L1-D.access-mru-1.c7,25052084
L1-D.access-mru-1.c8,24735827
L1-D.access-mru-1.c9,24721373
L1-D.access-mru-1.node0,347656794
L1-D.access-mru-1.node1,197909497
L1-D.access-mru-1.total,545566291
L1-D.access-mru-2.c0,4190202
L1-D.access-mru-2.c1,3719453
L1-D.access-mru-2.c10,1896570
L1-D.access-mru-2.c11,1823440
L1-D.access-mru-2.c12,1891225
L1-D.access-mru-2.c13,1858233
L1-D.access-mru-2.c14,1901637
L1-D.access-mru-2.c15,1913019
L1-D.access-mru-2.c2,3783531
L1-D.access-mru-2.c3,3776990
L1-D.access-mru-2.c4,3729058
L1-D.access-mru-2.c5,3766922
L1-D.access-mru-2.c6,1850252
L1-D.access-mru-2.c7,1884192
L1-D.access-mru-2.c8,1889705
L1-D.access-mru-2.c9,1906326
L1-D.access-mru-2.node0,26700600
L1-D.access-mru-2.node1,15080155
L1-D.access-mru-2.total,41780755
L1-D.access-mru-3.c0,945045
L1-D.access-mru-3.c1,854961
L1-D.access-mru-3.c10,429475
L1-D.access-mru-3.c11,423859
L1-D.access-mru-3.c12,427919
L1-D.access-mru-3.c13,415972
L1-D.access-mru-3.c14,427001
L1-D.access-mru-3.c15,421842
L1-D.access-mru-3.c2,848041
L1-D.access-mru-3.c3,850776
L1-D.access-mru-3.c4,860590
L1-D.access-mru-3.c5,850318
L1-D.access-mru-3.c6,422881
L1-D.access-mru-3.c7,426785
L1-D.access-mru-3.c8,417365
L1-D.access-mru-3.c9,421263
L1-D.access-mru-3.node0,6059397
L1-D.access-mru-3.node1,3384696
L1-D.access-mru-3.total,9444093
L1-D.access-mru-4.c0,617216
L1-D.access-mru-4.c1,671139
L1-D.access-mru-4.c10,321713
L1-D.access-mru-4.c11,329285
L1-D.access-mru-4.c12,320075
L1-D.access-mru-4.c13,331105
L1-D.access-mru-4.c14,315981
L1-D.access-mru-4.c15,331524
L1-D.access-mru-4.c2,667023
L1-D.access-mru-4.c3,662594
L1-D.access-mru-4.c4,668428
L1-D.access-mru-4.c5,659605
L1-D.access-mru-4.c6,324269
L1-D.access-mru-4.c7,330135
L1-D.access-mru-4.c8,327390
L1-D.access-mru-4.c9,323694
L1-D.access-mru-4.node0,4600409
L1-D.access-mru-4.node1,2600767
L1-D.access-mru-4.total,7201176
L1-D.access-mru-5.c0,686768
L1-D.access-mru-5.c1,668173
L1-D.access-mru-5.c10,341799
L1-D.access-mru-5.c11,323265
L1-D.access-mru-5.c12,338373
L1-D.access-mru-5.c13,337561
L1-D.access-mru-5.c14,338864
L1-D.access-mru-5.c15,344403
L1-D.access-mru-5.c2,676120
L1-D.access-mru-5.c3,675944
L1-D.access-mru-5.c4,670374
L1-D.access-mru-5.c5,675606
L1-D.access-mru-5.c6,331840
L1-D.access-mru-5.c7,328513
L1-D.access-mru-5.c8,339396
L1-D.access-mru-5.c9,331109
L1-D.access-mru-5.node0,4713338
L1-D.access-mru-5.node1,2694770
L1-D.access-mru-5.total,7408108
L1-D.access-mru-6.c0,872303
L1-D.access-mru-6.c1,1020118
L1-D.access-mru-6.c10,516853
L1-D.access-mru-6.c11,506194
L1-D.access-mru-6.c12,509519
L1-D.access-mru-6.c13,505209
L1-D.access-mru-6.c14,503890
L1-D.access-mru-6.c15,518865
L1-D.access-mru-6.c2,1022530
L1-D.access-mru-6.c3,1018290
L1-D.access-mru-6.c4,1009573
L1-D.access-mru-6.c5,1024642
L1-D.access-mru-6.c6,524909
L1-D.access-mru-6.c7,499584
L1-D.access-mru-6.c8,512224
L1-D.access-mru-6.c9,505184
L1-D.access-mru-6.node0,6991949
L1-D.access-mru-6.node1,4077938
L1-D.access-mru-6.total,11069887
L1-D.access-mru-7.c0,1459737
L1-D.access-mru-7.c1,1533502
L1-D.access-mru-7.c10,748783
L1-D.access-mru-7.c11,762357
L1-D.access-mru-7.c12,748801
L1-D.access-mru-7.c13,766115
L1-D.access-mru-7.c14,765265
L1-D.access-mru-7.c15,751901
L1-D.access-mru-7.c2,1508264
L1-D.access-mru-7.c3,1511104
L1-D.access-mru-7.c4,1506192
L1-D.access-mru-7.c5,1511078
L1-D.access-mru-7.c6,759845
L1-D.access-mru-7.c7,750991
L1-D.access-mru-7.c8,746185
L1-D.access-mru-7.c9,752795
L1-D.access-mru-7.node0,10540713
L1-D.access-mru-7.node1,6042202
L1-D.access-mru-7.total,16582915
L1-D.backinval-M.c1,404
L1-D.backinval-M.c12,606
L1-D.backinval-M.c13,202
L1-D.backinval-M.c14,202
L1-D.backinval-M.c4,1010
L1-D.backinval-M.c5,1010
L1-D.backinval-M.c6,606
L1-D.backinval-M.c7,404
L1-D.backinval-M.node0,3434
L1-D.backinval-M.node1,1010
L1-D.backinval-M.total,4444
L1-D.backinval-S.c13,201
L1-D.backinval-S.c5,201
L1-D.backinval-S.node0,201
L1-D.backinval-S.node1,201
L1-D.backinval-S.total,402
L1-D.coherency-downgrades.c0,71153
L1-D.coherency-downgrades.c1,295758
L1-D.coherency-downgrades.c10,421716
L1-D.coherency-downgrades.c11,494506
L1-D.coherency-downgrades.c12,282276
L1-D.coherency-downgrades.c13,591935
L1-D.coherency-downgrades.c14,316265
L1-D.coherency-downgrades.c15,91004
L1-D.coherency-downgrades.c2,439034
L1-D.coherency-downgrades.c3,441254
L1-D.coherency-downgrades.c4,282507
L1-D.coherency-downgrades.c5,23016
L1-D.coherency-downgrades.c6,179001
L1-D.coherency-downgrades.c7,130263
L1-D.coherency-downgrades.c8,47543
L1-D.coherency-downgrades.c9,123854
L1-D.coherency-downgrades.node0,1861986
L1-D.coherency-downgrades.node1,2369099
L1-D.coherency-downgrades.total,4231085
L1-D.coherency-invalidates.c0,14628
L1-D.coherency-invalidates.c1,11989
L1-D.coherency-invalidates.c10,6880
L1-D.coherency-invalidates.c11,6881
L1-D.coherency-invalidates.c12,6881
L1-D.coherency-invalidates.c13,6892
