metric,value
timestamp,2026-07-01T13:36:13
workload,SSSP
strategy,Packed
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/SSSP_W_Packed_16TH_20260630_224009
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,15.2042
total_instructions,109479536
avg_ipc,0.2511
avg_ipc_p,0.1327
avg_ipc_e,0.3694
total_power_W,8.8468
dynamic_W,3.231
leakage_W,5.6
dram_W,0.0158
energy_J,0.134509
node0_reads,18718
node1_reads,18649
node0_pct,50.0923
dram_local,7073
dram_remote,7085
dram_remote_pct,50.0424
l1d_miss_pct,0.7912
l2_miss_pct,79.0926
l3_miss_pct,11.9945
l1d_mpki,1.3632
l2_mpki,1.0782
l3_mpki,0.1293
l3_miss_count,14158
cpi_base_frac,0.8097
cpi_branch_frac,0.1399
cpi_l2_frac,0.0002
cpi_l3_frac,0.04
cpi_dram_local_frac,0.005
cpi_dram_remote_frac,0.0053
L1-D.access-mru-0.c0,5081775
L1-D.access-mru-0.c1,1076786
L1-D.access-mru-0.c10,1084307
L1-D.access-mru-0.c11,1056701
L1-D.access-mru-0.c12,1040028
L1-D.access-mru-0.c13,984857
L1-D.access-mru-0.c14,1002167
L1-D.access-mru-0.c15,1051241
L1-D.access-mru-0.c2,1030153
L1-D.access-mru-0.c3,1068929
L1-D.access-mru-0.c4,1043033
L1-D.access-mru-0.c5,1029163
L1-D.access-mru-0.c6,1043572
L1-D.access-mru-0.c7,1053004
L1-D.access-mru-0.c8,1079966
L1-D.access-mru-0.c9,1044555
L1-D.access-mru-0.node0,12426415
L1-D.access-mru-0.node1,8343822
L1-D.access-mru-0.total,20770237
L1-D.access-mru-1.c0,199327
L1-D.access-mru-1.c1,5087
L1-D.access-mru-1.c10,5029
L1-D.access-mru-1.c11,5750
L1-D.access-mru-1.c12,5877
L1-D.access-mru-1.c13,7158
L1-D.access-mru-1.c14,7369
L1-D.access-mru-1.c15,5872
L1-D.access-mru-1.c2,6354
L1-D.access-mru-1.c3,5277
L1-D.access-mru-1.c4,5363
L1-D.access-mru-1.c5,5851
L1-D.access-mru-1.c6,5301
L1-D.access-mru-1.c7,5220
L1-D.access-mru-1.c8,5205
L1-D.access-mru-1.c9,6152
L1-D.access-mru-1.node0,237780
L1-D.access-mru-1.node1,48412
L1-D.access-mru-1.total,286192
L1-D.access-mru-2.c0,77585
L1-D.access-mru-2.c1,1082
L1-D.access-mru-2.c10,968
L1-D.access-mru-2.c11,1232
L1-D.access-mru-2.c12,1250
L1-D.access-mru-2.c13,1514
L1-D.access-mru-2.c14,1446
L1-D.access-mru-2.c15,1032
L1-D.access-mru-2.c2,1315
L1-D.access-mru-2.c3,1140
L1-D.access-mru-2.c4,1064
L1-D.access-mru-2.c5,1227
L1-D.access-mru-2.c6,1010
L1-D.access-mru-2.c7,1113
L1-D.access-mru-2.c8,1021
L1-D.access-mru-2.c9,1215
L1-D.access-mru-2.node0,85536
L1-D.access-mru-2.node1,9678
L1-D.access-mru-2.total,95214
L1-D.access-mru-3.c0,21386
L1-D.access-mru-3.c1,500
L1-D.access-mru-3.c10,616
L1-D.access-mru-3.c11,724
L1-D.access-mru-3.c12,758
L1-D.access-mru-3.c13,867
L1-D.access-mru-3.c14,1222
L1-D.access-mru-3.c15,499
L1-D.access-mru-3.c2,980
L1-D.access-mru-3.c3,523
L1-D.access-mru-3.c4,478
L1-D.access-mru-3.c5,745
L1-D.access-mru-3.c6,520
L1-D.access-mru-3.c7,569
L1-D.access-mru-3.c8,543
L1-D.access-mru-3.c9,780
L1-D.access-mru-3.node0,25701
L1-D.access-mru-3.node1,6009
L1-D.access-mru-3.total,31710
L1-D.access-mru-4.c0,6866
L1-D.access-mru-4.c1,226
L1-D.access-mru-4.c10,215
L1-D.access-mru-4.c11,260
L1-D.access-mru-4.c12,247
L1-D.access-mru-4.c13,428
L1-D.access-mru-4.c14,329
L1-D.access-mru-4.c15,246
L1-D.access-mru-4.c2,335
L1-D.access-mru-4.c3,233
L1-D.access-mru-4.c4,240
L1-D.access-mru-4.c5,283
L1-D.access-mru-4.c6,240
L1-D.access-mru-4.c7,219
L1-D.access-mru-4.c8,204
