metric,value
timestamp,2026-07-01T18:04:37
workload,TC
strategy,EPO
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/TC_W_EPO_16TH_20260630_224009
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,13.7941
total_instructions,71329191
avg_ipc,0.2338
avg_ipc_p,0.0596
avg_ipc_e,0.4079
total_power_W,7.7913
dynamic_W,2.1777
leakage_W,5.6
dram_W,0.0136
energy_J,0.107474
node0_reads,14666
node1_reads,14552
node0_pct,50.1951
dram_local,6361
dram_remote,6352
dram_remote_pct,49.9646
l1d_miss_pct,1.1131
l2_miss_pct,81.3182
l3_miss_pct,11.1128
l1d_mpki,1.9723
l2_mpki,1.6038
l3_mpki,0.1782
l3_miss_count,12713
cpi_base_frac,0.7627
cpi_branch_frac,0.175
cpi_l2_frac,0.0
cpi_l3_frac,0.0494
cpi_dram_local_frac,0.0058
cpi_dram_remote_frac,0.0069
L1-D.access-mru-0.c0,4551025
L1-D.access-mru-0.c1,659514
L1-D.access-mru-0.c10,656854
L1-D.access-mru-0.c11,637096
L1-D.access-mru-0.c12,643627
L1-D.access-mru-0.c13,609068
L1-D.access-mru-0.c14,612953
L1-D.access-mru-0.c15,659385
L1-D.access-mru-0.c2,624642
L1-D.access-mru-0.c3,654340
L1-D.access-mru-0.c4,660787
L1-D.access-mru-0.c5,645417
L1-D.access-mru-0.c6,658106
L1-D.access-mru-0.c7,672104
L1-D.access-mru-0.c8,658941
L1-D.access-mru-0.c9,629996
L1-D.access-mru-0.node0,9072408
L1-D.access-mru-0.node1,5161447
L1-D.access-mru-0.total,14233855
L1-D.access-mru-1.c0,184133
L1-D.access-mru-1.c1,5524
L1-D.access-mru-1.c10,5704
L1-D.access-mru-1.c11,6262
L1-D.access-mru-1.c12,6292
L1-D.access-mru-1.c13,7018
L1-D.access-mru-1.c14,6983
L1-D.access-mru-1.c15,5673
L1-D.access-mru-1.c2,7299
L1-D.access-mru-1.c3,5525
L1-D.access-mru-1.c4,5579
L1-D.access-mru-1.c5,6108
L1-D.access-mru-1.c6,5867
L1-D.access-mru-1.c7,5560
L1-D.access-mru-1.c8,5650
L1-D.access-mru-1.c9,6175
L1-D.access-mru-1.node0,226272
L1-D.access-mru-1.node1,49080
L1-D.access-mru-1.total,275352
L1-D.access-mru-2.c0,79319
L1-D.access-mru-2.c1,1173
L1-D.access-mru-2.c10,1184
L1-D.access-mru-2.c11,1302
L1-D.access-mru-2.c12,1309
L1-D.access-mru-2.c13,1511
L1-D.access-mru-2.c14,1446
L1-D.access-mru-2.c15,1172
L1-D.access-mru-2.c2,1358
L1-D.access-mru-2.c3,1168
L1-D.access-mru-2.c4,1184
L1-D.access-mru-2.c5,1274
L1-D.access-mru-2.c6,1083
L1-D.access-mru-2.c7,1155
L1-D.access-mru-2.c8,1149
L1-D.access-mru-2.c9,1414
L1-D.access-mru-2.node0,88067
L1-D.access-mru-2.node1,10134
L1-D.access-mru-2.total,98201
L1-D.access-mru-3.c0,18144
L1-D.access-mru-3.c1,508
L1-D.access-mru-3.c10,588
L1-D.access-mru-3.c11,605
L1-D.access-mru-3.c12,633
L1-D.access-mru-3.c13,683
L1-D.access-mru-3.c14,650
L1-D.access-mru-3.c15,541
L1-D.access-mru-3.c2,615
