metric,value
timestamp,2026-06-30T17:59:17
workload,IS
strategy,Scatter
bench_class,W
num_threads,2
output_dir,Outputs/sizeW/2TH/IS_W_Scatter_2TH_20260630_175348
cpu_map,"[0, 8]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,87.2341
total_instructions,571019199
avg_ipc,0.8182
avg_ipc_p,0.8182
avg_ipc_e,0.0
total_power_W,4.3961
dynamic_W,3.2729
leakage_W,1.0
dram_W,0.1232
energy_J,0.383488
node0_reads,693515
node1_reads,692902
node0_pct,50.0221
dram_local,503823
dram_remote,506080
dram_remote_pct,50.1117
l1d_miss_pct,1.5581
l2_miss_pct,81.5117
l3_miss_pct,53.7707
l1d_mpki,4.0352
l2_mpki,3.2891
l3_mpki,1.7686
l3_miss_count,1009903
cpi_base_frac,0.8333
cpi_branch_frac,0.0004
cpi_l2_frac,0.0
cpi_l3_frac,0.0207
cpi_dram_local_frac,0.0857
cpi_dram_remote_frac,0.0599
L1-D.access-mru-0.c0,89332563
L1-D.access-mru-0.c1,90040272
L1-D.access-mru-0.node0,89332563
L1-D.access-mru-0.node1,90040272
L1-D.access-mru-0.total,179372835
L1-D.access-mru-1.c0,6135266
L1-D.access-mru-1.c1,6111273
L1-D.access-mru-1.node0,6135266
L1-D.access-mru-1.node1,6111273
L1-D.access-mru-1.total,12246539
L1-D.access-mru-2.c0,1400344
L1-D.access-mru-2.c1,1392748
L1-D.access-mru-2.node0,1400344
L1-D.access-mru-2.node1,1392748
L1-D.access-mru-2.total,2793092
L1-D.access-mru-3.c0,733998
L1-D.access-mru-3.c1,728855
L1-D.access-mru-3.node0,733998
L1-D.access-mru-3.node1,728855
L1-D.access-mru-3.total,1462853
L1-D.access-mru-4.c0,518880
L1-D.access-mru-4.c1,518222
L1-D.access-mru-4.node0,518880
L1-D.access-mru-4.node1,518222
L1-D.access-mru-4.total,1037102
L1-D.access-mru-5.c0,417385
L1-D.access-mru-5.c1,417152
L1-D.access-mru-5.node0,417385
L1-D.access-mru-5.node1,417152
L1-D.access-mru-5.total,834537
L1-D.access-mru-6.c0,357780
L1-D.access-mru-6.c1,356699
L1-D.access-mru-6.node0,357780
L1-D.access-mru-6.node1,356699
L1-D.access-mru-6.total,714479
L1-D.access-mru-7.c0,321843
L1-D.access-mru-7.c1,320007
L1-D.access-mru-7.node0,321843
L1-D.access-mru-7.node1,320007
L1-D.access-mru-7.total,641850
L1-D.backinval-M.c0,3774
L1-D.backinval-M.c1,3197
L1-D.backinval-M.node0,3774
L1-D.backinval-M.node1,3197
L1-D.backinval-M.total,6971
L1-D.backinval-S.c0,444
L1-D.backinval-S.c1,415
L1-D.backinval-S.node0,444
L1-D.backinval-S.node1,415
L1-D.backinval-S.total,859
L1-D.coherency-downgrades.c0,229359
L1-D.coherency-downgrades.c1,238877
L1-D.coherency-downgrades.node0,229359
L1-D.coherency-downgrades.node1,238877
L1-D.coherency-downgrades.total,468236
L1-D.coherency-invalidates.c0,150843
L1-D.coherency-invalidates.c1,155777
L1-D.coherency-invalidates.node0,150843
L1-D.coherency-invalidates.node1,155777
L1-D.coherency-invalidates.total,306620
L1-D.coherency-writebacks.c0,103173
L1-D.coherency-writebacks.c1,92911
L1-D.coherency-writebacks.node0,103173
L1-D.coherency-writebacks.node1,92911
L1-D.coherency-writebacks.total,196084
L1-D.evict-E.c0,756047
L1-D.evict-E.c1,729927
L1-D.evict-E.node0,756047
L1-D.evict-E.node1,729927
L1-D.evict-E.total,1485974
L1-D.evict-M.c0,4460573
L1-D.evict-M.c1,4468737
L1-D.evict-M.node0,4460573
L1-D.evict-M.node1,4468737
L1-D.evict-M.total,8929310
L1-D.evict-S.c0,182367
L1-D.evict-S.c1,196813
L1-D.evict-S.node0,182367
L1-D.evict-S.node1,196813
L1-D.evict-S.total,379180
L1-D.load-misses-E.c0,31
L1-D.load-misses-E.c1,6
L1-D.load-misses-E.node0,31
L1-D.load-misses-E.node1,6
L1-D.load-misses-E.total,37
L1-D.load-misses-I.c0,1613166
L1-D.load-misses-I.c1,1603675
L1-D.load-misses-I.node0,1613166
L1-D.load-misses-I.node1,1603675
L1-D.load-misses-I.total,3216841
L1-D.load-misses-S.c0,1
L1-D.load-misses-S.c1,5
L1-D.load-misses-S.node0,1
L1-D.load-misses-S.node1,5
L1-D.load-misses-S.total,6
L1-D.load-misses.c0,1613198
L1-D.load-misses.c1,1603686
L1-D.load-misses.node0,1613198
L1-D.load-misses.node1,1603686
L1-D.load-misses.total,3216884
L1-D.loads-E.c0,11791407
L1-D.loads-E.c1,11489043
L1-D.loads-E.node0,11791407
L1-D.loads-E.node1,11489043
L1-D.loads-E.total,23280450
L1-D.loads-I.c0,1613166
L1-D.loads-I.c1,1603675
L1-D.loads-I.node0,1613166
L1-D.loads-I.node1,1603675
L1-D.loads-I.total,3216841
L1-D.loads-M.c0,45438799
L1-D.loads-M.c1,45626675
L1-D.loads-M.node0,45438799
L1-D.loads-M.node1,45626675
L1-D.loads-M.total,91065474
L1-D.loads-S.c0,15237138
L1-D.loads-S.c1,15994613
L1-D.loads-S.node0,15237138
L1-D.loads-S.node1,15994613
L1-D.loads-S.total,31231751
L1-D.loads-where-L1.c0,72467312
L1-D.loads-where-L1.c1,73110320
L1-D.loads-where-L1.node0,72467312
L1-D.loads-where-L1.node1,73110320
L1-D.loads-where-L1.total,145577632
L1-D.loads-where-L2.c0,212147
L1-D.loads-where-L2.c1,213853
L1-D.loads-where-L2.node0,212147
L1-D.loads-where-L2.node1,213853
L1-D.loads-where-L2.total,426000
L1-D.loads-where-L3.c0,428047
L1-D.loads-where-L3.c1,440215
L1-D.loads-where-L3.node0,428047
L1-D.loads-where-L3.node1,440215
L1-D.loads-where-L3.total,868262
L1-D.loads-where-cache-remote.c0,454734
L1-D.loads-where-cache-remote.c1,457985
L1-D.loads-where-cache-remote.node0,454734
L1-D.loads-where-cache-remote.node1,457985
L1-D.loads-where-cache-remote.total,912719
L1-D.loads-where-dram-local.c0,259502
L1-D.loads-where-dram-local.c1,244321
L1-D.loads-where-dram-local.node0,259502
L1-D.loads-where-dram-local.node1,244321
L1-D.loads-where-dram-local.total,503823
L1-D.loads-where-dram-remote.c0,258768
L1-D.loads-where-dram-remote.c1,247312
L1-D.loads-where-dram-remote.node0,258768
L1-D.loads-where-dram-remote.node1,247312
L1-D.loads-where-dram-remote.total,506080
L1-D.loads.c0,74080510
L1-D.loads.c1,74714006
L1-D.loads.node0,74080510
L1-D.loads.node1,74714006
L1-D.loads.total,148794516
L1-D.store-misses-E.c0,2869
L1-D.store-misses-E.c1,637
L1-D.store-misses-E.node0,2869
L1-D.store-misses-E.node1,637
L1-D.store-misses-E.total,3506
L1-D.store-misses-I.c0,4042671
L1-D.store-misses-I.c1,4042410
L1-D.store-misses-I.node0,4042671
L1-D.store-misses-I.node1,4042410
L1-D.store-misses-I.total,8085081
L1-D.store-misses-S.c0,314073
L1-D.store-misses-S.c1,309582
L1-D.store-misses-S.node0,314073
L1-D.store-misses-S.node1,309582
L1-D.store-misses-S.total,623655
L1-D.store-misses.c0,4359613
L1-D.store-misses.c1,4352629
L1-D.store-misses.node0,4359613
L1-D.store-misses.node1,4352629
L1-D.store-misses.total,8712242
L1-D.stores-E.c0,2869
L1-D.stores-E.c1,637
L1-D.stores-E.node0,2869
L1-D.stores-E.node1,637
L1-D.stores-E.total,3506
L1-D.stores-I.c0,4042671
L1-D.stores-I.c1,4042410
L1-D.stores-I.node0,4042671
L1-D.stores-I.node1,4042410
L1-D.stores-I.total,8085081
L1-D.stores-M.c0,26750747
L1-D.stores-M.c1,26774908
L1-D.stores-M.node0,26750747
L1-D.stores-M.node1,26774908
L1-D.stores-M.total,53525655
L1-D.stores-S.c0,314073
L1-D.stores-S.c1,309582
L1-D.stores-S.node0,314073
L1-D.stores-S.node1,309582
L1-D.stores-S.total,623655
L1-D.stores-where-L1.c0,26750747
L1-D.stores-where-L1.c1,26774908
L1-D.stores-where-L1.node0,26750747
L1-D.stores-where-L1.node1,26774908
L1-D.stores-where-L1.total,53525655
L1-D.stores-where-L2.c0,3530957
L1-D.stores-where-L2.c1,3532218
L1-D.stores-where-L2.node0,3530957
L1-D.stores-where-L2.node1,3532218
L1-D.stores-where-L2.total,7063175
L1-D.stores-where-L3.c0,807098
L1-D.stores-where-L3.c1,799010
L1-D.stores-where-L3.node0,807098
L1-D.stores-where-L3.node1,799010
L1-D.stores-where-L3.total,1606108
L1-D.stores-where-cache-remote.c0,4388
L1-D.stores-where-cache-remote.c1,4310
L1-D.stores-where-cache-remote.node0,4388
L1-D.stores-where-cache-remote.node1,4310
L1-D.stores-where-cache-remote.total,8698
L1-D.stores-where-dram-local.c0,8499
L1-D.stores-where-dram-local.c1,8723
L1-D.stores-where-dram-local.node0,8499
L1-D.stores-where-dram-local.node1,8723
L1-D.stores-where-dram-local.total,17222
L1-D.stores-where-dram-remote.c0,8671
L1-D.stores-where-dram-remote.c1,8368
L1-D.stores-where-dram-remote.node0,8671
L1-D.stores-where-dram-remote.node1,8368
L1-D.stores-where-dram-remote.total,17039
L1-D.stores.c0,31110360
L1-D.stores.c1,31127537
L1-D.stores.node0,31110360
L1-D.stores.node1,31127537
L1-D.stores.total,62237897
L1-D.total-latency.c0,222866018390280
L1-D.total-latency.c1,221733576349805
L1-D.total-latency.node0,222866018390280
L1-D.total-latency.node1,221733576349805
L1-D.total-latency.total,444599594740085
L1-I.access-mru-0.c0,41178451
L1-I.access-mru-0.c1,41290336
L1-I.access-mru-0.node0,41178451
L1-I.access-mru-0.node1,41290336
L1-I.access-mru-0.total,82468787
L1-I.access-mru-1.c0,23747
L1-I.access-mru-1.c1,22979
L1-I.access-mru-1.node0,23747
L1-I.access-mru-1.node1,22979
L1-I.access-mru-1.total,46726
L1-I.access-mru-2.c0,415
L1-I.access-mru-2.c1,6
L1-I.access-mru-2.node0,415
L1-I.access-mru-2.node1,6
L1-I.access-mru-2.total,421
L1-I.access-mru-3,77
L1-I.backinval-E.c0,2652
L1-I.backinval-E.c1,226
L1-I.backinval-E.node0,2652
L1-I.backinval-E.node1,226
L1-I.backinval-E.total,2878
L1-I.backinval-S.c0,1956
L1-I.backinval-S.c1,1930
L1-I.backinval-S.node0,1956
L1-I.backinval-S.node1,1930
L1-I.backinval-S.total,3886
L1-I.coherency-downgrades.c0,152
L1-I.coherency-downgrades.c1,278
L1-I.coherency-downgrades.node0,152
L1-I.coherency-downgrades.node1,278
L1-I.coherency-downgrades.total,430
L1-I.evict-E,861
L1-I.evict-S,45
L1-I.load-misses-I.c0,5950
L1-I.load-misses-I.c1,2171
L1-I.load-misses-I.node0,5950
L1-I.load-misses-I.node1,2171
L1-I.load-misses-I.total,8121
L1-I.load-misses.c0,5950
L1-I.load-misses.c1,2171
L1-I.load-misses.node0,5950
L1-I.load-misses.node1,2171
L1-I.load-misses.total,8121
L1-I.loads-E.c0,48474
L1-I.loads-E.c1,4538
L1-I.loads-E.node0,48474
L1-I.loads-E.node1,4538
L1-I.loads-E.total,53012
L1-I.loads-I.c0,5950
L1-I.loads-I.c1,2171
L1-I.loads-I.node0,5950
L1-I.loads-I.node1,2171
L1-I.loads-I.total,8121
L1-I.loads-S.c0,41154216
L1-I.loads-S.c1,41308783
L1-I.loads-S.node0,41154216
L1-I.loads-S.node1,41308783
L1-I.loads-S.total,82462999
L1-I.loads-where-L1I.c0,41202690
L1-I.loads-where-L1I.c1,41313321
L1-I.loads-where-L1I.node0,41202690
L1-I.loads-where-L1I.node1,41313321
L1-I.loads-where-L1I.total,82516011
L1-I.loads-where-L2,65
L1-I.loads-where-L3.c0,1106
L1-I.loads-where-L3.c1,890
L1-I.loads-where-L3.node0,1106
L1-I.loads-where-L3.node1,890
L1-I.loads-where-L3.total,1996
L1-I.loads-where-cache-remote.c0,693
L1-I.loads-where-cache-remote.c1,491
L1-I.loads-where-cache-remote.node0,693
L1-I.loads-where-cache-remote.node1,491
L1-I.loads-where-cache-remote.total,1184
L1-I.loads-where-dram-local.c0,2096
L1-I.loads-where-dram-local.c1,367
L1-I.loads-where-dram-local.node0,2096
L1-I.loads-where-dram-local.node1,367
L1-I.loads-where-dram-local.total,2463
L1-I.loads-where-dram-remote.c0,1990
L1-I.loads-where-dram-remote.c1,423
L1-I.loads-where-dram-remote.node0,1990
L1-I.loads-where-dram-remote.node1,423
L1-I.loads-where-dram-remote.total,2413
L1-I.loads.c0,41208640
L1-I.loads.c1,41315492
L1-I.loads.node0,41208640
L1-I.loads.node1,41315492
L1-I.loads.total,82524132
L1-I.total-latency.c0,343167007280
L1-I.total-latency.c1,99250763495
L1-I.total-latency.node0,343167007280
L1-I.total-latency.node1,99250763495
L1-I.total-latency.total,442417770775
L2.access-mru-0.c0,2253120
L2.access-mru-0.c1,2251091
L2.access-mru-0.node0,2253120
L2.access-mru-0.node1,2251091
L2.access-mru-0.total,4504211
L2.access-mru-1.c0,1076308
L2.access-mru-1.c1,1079973
L2.access-mru-1.node0,1076308
L2.access-mru-1.node1,1079973
L2.access-mru-1.total,2156281
L2.access-mru-2.c0,308161
L2.access-mru-2.c1,307383
L2.access-mru-2.node0,308161
L2.access-mru-2.node1,307383
L2.access-mru-2.total,615544
L2.access-mru-3.c0,74016
L2.access-mru-3.c1,75783
L2.access-mru-3.node0,74016
L2.access-mru-3.node1,75783
L2.access-mru-3.total,149799
L2.access-mru-4.c0,19102
L2.access-mru-4.c1,20023
L2.access-mru-4.node0,19102
L2.access-mru-4.node1,20023
L2.access-mru-4.total,39125
L2.access-mru-5.c0,6687
L2.access-mru-5.c1,6459
L2.access-mru-5.node0,6687
L2.access-mru-5.node1,6459
L2.access-mru-5.total,13146
L2.access-mru-6.c0,3574
L2.access-mru-6.c1,3268
L2.access-mru-6.node0,3574
L2.access-mru-6.node1,3268
L2.access-mru-6.total,6842
L2.access-mru-7.c0,2201
L2.access-mru-7.c1,2091
L2.access-mru-7.node0,2201
L2.access-mru-7.node1,2091
L2.access-mru-7.total,4292
L2.backinval-M.c0,3306
L2.backinval-M.c1,1920
L2.backinval-M.node0,3306
L2.backinval-M.node1,1920
L2.backinval-M.total,5226
L2.backinval-S.c0,2
L2.backinval-S.c1,6
L2.backinval-S.node0,2
L2.backinval-S.node1,6
L2.backinval-S.total,8
L2.coherency-downgrades.c0,233343
L2.coherency-downgrades.c1,242781
L2.coherency-downgrades.node0,233343
L2.coherency-downgrades.node1,242781
L2.coherency-downgrades.total,476124
L2.coherency-invalidates.c0,150844
L2.coherency-invalidates.c1,155784
L2.coherency-invalidates.node0,150844
L2.coherency-invalidates.node1,155784
L2.coherency-invalidates.total,306628
L2.coherency-writebacks.c0,105827
L2.coherency-writebacks.c1,95523
L2.coherency-writebacks.node0,105827
L2.coherency-writebacks.node1,95523
L2.coherency-writebacks.total,201350
L2.evict-E.c0,754643
L2.evict-E.c1,730083
L2.evict-E.node0,754643
L2.evict-E.node1,730083
L2.evict-E.total,1484726
L2.evict-M.c0,713158
L2.evict-M.c1,718175
L2.evict-M.node0,713158
L2.evict-M.node1,718175
L2.evict-M.total,1431333
L2.evict-S.c0,184277
L2.evict-S.c1,194450
L2.evict-S.node0,184277
L2.evict-S.node1,194450
L2.evict-S.total,378727
L2.load-misses-E.c0,31
L2.load-misses-E.c1,6
L2.load-misses-E.node0,31
L2.load-misses-E.node1,6
L2.load-misses-E.total,37
L2.load-misses-I.c0,1406904
L2.load-misses-I.c1,1391993
L2.load-misses-I.node0,1406904
L2.load-misses-I.node1,1391993
L2.load-misses-I.total,2798897
L2.load-misses-S.c0,1
L2.load-misses-S.c1,5
L2.load-misses-S.node0,1
L2.load-misses-S.node1,5
L2.load-misses-S.total,6
L2.load-misses.c0,1406936
L2.load-misses.c1,1392004
L2.load-misses.node0,1406936
L2.load-misses.node1,1392004
L2.load-misses.total,2798940
L2.load-overlapping-misses.c0,7
