metric,value
timestamp,2026-06-30T18:11:29
workload,lavaMD
strategy,MPO
bench_class,W
num_threads,2
output_dir,Outputs/sizeW/2TH/lavaMD_W_MPO_2TH_20260630_175348
cpu_map,"[0, 8]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,0.1787
total_instructions,352958
avg_ipc,0.4937
avg_ipc_p,0.4937
avg_ipc_e,0.0
total_power_W,1.8023
dynamic_W,0.9875
leakage_W,0.5
dram_W,0.3148
energy_J,0.000322
node0_reads,4421
node1_reads,4368
node0_pct,50.3015
dram_local,3082
dram_remote,3068
dram_remote_pct,49.8862
l1d_miss_pct,7.8014
l2_miss_pct,79.0122
l3_miss_pct,99.8539
l1d_mpki,22.0848
l2_mpki,17.4497
l3_mpki,17.4242
l3_miss_count,6150
cpi_base_frac,0.2694
cpi_branch_frac,0.1979
cpi_l2_frac,0.0001
cpi_l3_frac,0.0002
cpi_dram_local_frac,0.2181
cpi_dram_remote_frac,0.3143
L1-D.access-mru-0,111543
L1-D.access-mru-1,17844
L1-D.access-mru-2,3315
L1-D.access-mru-3,1987
L1-D.access-mru-4,977
L1-D.access-mru-5,633
L1-D.access-mru-6,455
L1-D.access-mru-7,296
L1-D.evict-E,5091
L1-D.evict-M,4100
L1-D.load-misses,7795
L1-D.load-misses-I,7795
L1-D.loads,99918
L1-D.loads-E,47718
L1-D.loads-I,7795
L1-D.loads-M,44405
L1-D.loads-where-L1,92123
L1-D.loads-where-L2,1636
L1-D.loads-where-L3,9
L1-D.loads-where-dram-local,3082
L1-D.loads-where-dram-remote,3068
L1-D.store-misses,3528
L1-D.store-misses-E,1876
L1-D.store-misses-I,1652
L1-D.stores,48455
L1-D.stores-E,1876
L1-D.stores-I,1652
L1-D.stores-M,44927
L1-D.stores-where-L1,44927
L1-D.stores-where-L2,123
L1-D.stores-where-L3,3405
L1-D.total-latency,534263911310
L1-I.access-mru-0,39264
L1-I.access-mru-1,1171
L1-I.access-mru-2,235
L1-I.access-mru-3,55
L1-I.backinval-E,132
L1-I.coherency-downgrades,1
L1-I.evict-E,564
L1-I.load-misses,1172
L1-I.load-misses-I,1172
L1-I.loads,41897
L1-I.loads-E,40724
L1-I.loads-I,1172
L1-I.loads-S,1
L1-I.loads-where-L1I,40725
L1-I.loads-where-L2,28
L1-I.loads-where-L3,26
L1-I.loads-where-dram-local,563
L1-I.loads-where-dram-remote,555
L1-I.total-latency,76840514040
L2.access-mru-0,789
L2.access-mru-1,460
L2.access-mru-2,198
L2.access-mru-3,48
L2.access-mru-4,145
L2.access-mru-5,89
L2.access-mru-6,43
L2.access-mru-7,15
L2.evict-E,672
L2.evict-M,190
L2.load-misses,7303
L2.load-misses-I,7303
L2.loads,8967
L2.loads-E,863
L2.loads-I,7303
L2.loads-M,801
L2.store-misses,3405
L2.store-misses-E,1882
L2.store-misses-I,1523
L2.stores,3528
L2.stores-E,1882
L2.stores-I,1523
L2.stores-M,123
L3.access-mru-0,1
L3.access-mru-1,14
L3.access-mru-2,18
L3.access-mru-3,3
L3.access-mru-4,1
L3.load-misses,7267
L3.load-misses-I,7267
L3.loads,7303
L3.loads-E,30
