metric,value
timestamp,2026-06-30T22:40:14
workload,lavaMD
strategy,Packed
bench_class,W
num_threads,4
output_dir,Outputs/sizeW/4TH/lavaMD_W_Packed_4TH_20260630_224009
cpu_map,"[0, 1, 2, 3]"
p_core_count,4
e_core_count,0
node0_threads,4
node1_threads,0
sim_time_ms,0.1777
total_instructions,353317
avg_ipc,0.4968
avg_ipc_p,0.4968
avg_ipc_e,0.0
total_power_W,1.8102
dynamic_W,0.9936
leakage_W,0.5
dram_W,0.3166
energy_J,0.000322
node0_reads,8790
node1_reads,0
node0_pct,100.0
dram_local,6152
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,7.759
l2_miss_pct,79.4819
l3_miss_pct,99.7568
l1d_mpki,21.9604
l2_mpki,17.4546
l3_mpki,17.4121
l3_miss_count,6152
cpi_base_frac,0.2713
cpi_branch_frac,0.1988
cpi_l2_frac,0.0
cpi_l3_frac,0.0008
cpi_dram_local_frac,0.529
cpi_dram_remote_frac,0.0
L1-D.access-mru-0,111423
L1-D.access-mru-1,18401
L1-D.access-mru-2,3046
L1-D.access-mru-3,2059
L1-D.access-mru-4,984
L1-D.access-mru-5,623
L1-D.access-mru-6,398
L1-D.access-mru-7,267
L1-D.evict-E,5095
L1-D.evict-M,4056
L1-D.load-misses,7759
L1-D.load-misses-I,7759
L1-D.loads,100000
L1-D.loads-E,47732
L1-D.loads-I,7759
L1-D.loads-M,44509
L1-D.loads-where-L1,92241
L1-D.loads-where-L2,1592
L1-D.loads-where-L3,15
L1-D.loads-where-dram-local,6152
L1-D.store-misses,3526
L1-D.store-misses-E,1878
L1-D.store-misses-I,1648
L1-D.stores,48486
L1-D.stores-E,1878
L1-D.stores-I,1648
L1-D.stores-M,44960
L1-D.stores-where-L1,44960
L1-D.stores-where-L2,122
L1-D.stores-where-L3,3404
L1-D.total-latency,535017496040
L1-I.access-mru-0,39324
L1-I.access-mru-1,1164
L1-I.access-mru-2,237
L1-I.access-mru-3,54
L1-I.backinval-E,143
L1-I.coherency-downgrades,1
L1-I.evict-E,547
L1-I.load-misses,1170
L1-I.load-misses-I,1170
L1-I.loads,41949
L1-I.loads-E,40778
L1-I.loads-I,1170
L1-I.loads-S,1
L1-I.loads-where-L1I,40779
L1-I.loads-where-L2,27
L1-I.loads-where-L3,25
L1-I.loads-where-dram-local,1118
L1-I.total-latency,77889871460
L2.access-mru-0,740
L2.access-mru-1,474
L2.access-mru-2,172
L2.access-mru-3,60
L2.access-mru-4,140
L2.access-mru-5,87
L2.access-mru-6,43
L2.access-mru-7,25
L2.evict-E,806
L2.evict-M,146
L2.load-misses,7310
L2.load-misses-I,7310
L2.loads,8929
L2.loads-E,855
L2.loads-I,7310
L2.loads-M,764
L2.store-misses,3404
L2.store-misses-E,1883
L2.store-misses-I,1521
L2.stores,3526
L2.stores-E,1883
L2.stores-I,1521
L2.stores-M,122
L3.access-mru-1,17
L3.access-mru-2,21
L3.access-mru-3,3
L3.load-misses,7270
L3.load-misses-I,7270
L3.loads,7310
L3.loads-E,39
L3.loads-I,7270
L3.loads-M,1
L3.store-misses,3403
L3.store-misses-E,1883
L3.store-misses-I,1520
L3.store-overlapping-misses,26
L3.stores,3404
L3.stores-E,1883
L3.stores-I,1520
L3.stores-M,1
L3.uncore-requests,8790
