                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22024140 |    4922395 |    4609695 |    4686375 |    4655966 |    4178155
  Cycles                             |   17230800 |   17230800 |   17230800 |   17230800 |   17230800 |   17230800
  IPC                                |       1.28 |       0.29 |       0.27 |       0.27 |       0.27 |       0.24
  Time (ns)                          |    4307700 |    4307700 |    4307700 |    4307700 |    4307700 |    4307700
  Idle time (ns)                     |       1660 |    3412305 |    3412638 |    3412745 |    3412741 |    3412439
  Idle time (%)                      |       0.0% |      79.2% |      79.2% |      79.2% |      79.2% |      79.2%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2520332 |    1479968 |    1352458 |    1386315 |    1341919 |    1141666
  num incorrect                      |     168316 |      14131 |      17953 |      16752 |      22286 |      29045
  misprediction rate                 |      6.26% |      0.95% |      1.31% |      1.19% |      1.63% |      2.48%
  mpki                               |       7.64 |       2.87 |       3.89 |       3.57 |       4.79 |       6.95
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    3388081 |     125952 |     150708 |     144485 |     177597 |     221114
    num misses                       |        177 |         26 |         26 |         26 |         26 |         28
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5233610 |    1065783 |    1032635 |    1039433 |    1061218 |    1012406
    num misses                       |       2747 |       1166 |       1223 |       1169 |       1211 |       1170
    miss rate                        |      0.05% |      0.11% |      0.12% |      0.11% |      0.11% |      0.12%
    mpki                             |       0.12 |       0.24 |       0.27 |       0.25 |       0.26 |       0.28
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2924 |       1192 |       1249 |       1195 |       1237 |       1198
    num misses                       |        689 |        202 |        210 |        205 |        203 |        188
    miss rate                        |     23.56% |     16.95% |     16.81% |     17.15% |     16.41% |     15.69%
    mpki                             |       0.03 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    3388081 |     125952 |     150708 |     144485 |     177597 |     221114
    num cache misses                 |       2839 |        172 |        173 |        174 |        174 |        180
    miss rate                        |      0.08% |      0.14% |      0.11% |      0.12% |      0.10% |      0.08%
    mpki                             |       0.13 |       0.03 |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5233610 |    1065783 |    1032635 |    1039433 |    1061218 |    1012406
    num cache misses                 |      60204 |      33156 |      33425 |      33440 |      33337 |      33398
    miss rate                        |      1.15% |      3.11% |      3.24% |      3.22% |      3.14% |      3.30%
    mpki                             |       2.73 |       6.74 |       7.25 |       7.14 |       7.16 |       7.99
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65453 |      33448 |      33756 |      33774 |      34755 |      34956
    num cache misses                 |      48965 |      30028 |      30222 |      30225 |      30097 |      30127
    miss rate                        |     74.81% |     89.78% |     89.53% |     89.49% |     86.60% |     86.19%
    mpki                             |       2.22 |       6.10 |       6.56 |       6.45 |       6.46 |       7.21
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51645 |      30172 |      30411 |      30417 |      31344 |      31506
    num cache misses                 |      31252 |      12226 |      12214 |      12078 |      24134 |      24065
    miss rate                        |     60.51% |     40.52% |     40.16% |     39.71% |     77.00% |     76.38%
    mpki                             |       1.42 |       2.48 |       2.65 |       2.58 |       5.18 |       5.76
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13598 |          0 |          0 |          0 |      13540 |          0
  average dram access latency (ns)   |      61.47 |        inf |        inf |        inf |      61.44 |        inf
  average dram queueing delay        |       0.22 |       0.00 |       0.00 |       0.00 |       0.19 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10671 |        450 |        479 |        431 |        151 |        123
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4438 |       4353 |       4389 |       4364 |       4603 |       4703
