                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  310441323 |  312312653 |  314587525 |  313386372 |  316386170 |  318243158
  Cycles                             |  132413200 |  132413200 |  132413200 |  132413200 |  132413200 |  132413200
  IPC                                |       2.34 |       2.36 |       2.38 |       2.37 |       2.39 |       2.40
  Time (ns)                          |   33103300 |   33103300 |   33103300 |   33103300 |   33103300 |   33103300
  Idle time (ns)                     |       7414 |    1021490 |    1527190 |    1642417 |    4066391 |    3969478
  Idle time (%)                      |       0.0% |       3.1% |       4.6% |       5.0% |      12.3% |      12.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   17972547 |   18749605 |   31431745 |   31031707 |   32031555 |   32650551
  num incorrect                      |     113235 |     105754 |      92191 |      92188 |      92252 |      92252
  misprediction rate                 |      0.63% |      0.56% |      0.29% |      0.30% |      0.29% |      0.28%
  mpki                               |       0.36 |       0.34 |       0.29 |       0.29 |       0.29 |       0.29
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   27577179 |   27462456 |   23647337 |   23647078 |   23647104 |   23647104
    num misses                       |        203 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |  103091884 |  103170394 |   96566583 |   96365828 |   96865920 |   97175418
    num misses                       |      64063 |      63965 |      55208 |      54460 |      55422 |      56128
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.21 |       0.20 |       0.18 |       0.17 |       0.18 |       0.18
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      64266 |      63990 |      55233 |      54485 |      55447 |      56153
    num misses                       |      18468 |      17739 |      14995 |      15019 |      15023 |      14898
    miss rate                        |     28.74% |     27.72% |     27.15% |     27.57% |     27.09% |     26.53%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   27577179 |   27462456 |   23647337 |   23647078 |   23647104 |   23647104
    num cache misses                 |      16992 |       6406 |       6147 |       5641 |       5546 |       5798
    miss rate                        |      0.06% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |  103091884 |  103170394 |   96566583 |   96365828 |   96865920 |   97175418
    num cache misses                 |   11608331 |   11586786 |   10003975 |   10004271 |   10005087 |   10003677
    miss rate                        |     11.26% |     11.23% |     10.36% |     10.38% |     10.33% |     10.29%
    mpki                             |      37.39 |      37.10 |      31.80 |      31.92 |      31.62 |      31.43
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |   11775281 |   11741312 |   10133282 |   10132824 |   10133230 |   10132464
    num cache misses                 |    1228705 |    1206696 |    1041371 |    1035232 |     994443 |     993715
    miss rate                        |     10.43% |     10.28% |     10.28% |     10.22% |      9.81% |      9.81%
    mpki                             |       3.96 |       3.86 |       3.31 |       3.30 |       3.14 |       3.12
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |    1891912 |    1875902 |    1614884 |    1605287 |    1343239 |    1326794
    num cache misses                 |    1174564 |    1164382 |    1002732 |     990293 |     678224 |     655481
    miss rate                        |     62.08% |     62.07% |     62.09% |     61.69% |     50.49% |     49.40%
    mpki                             |       3.78 |       3.73 |       3.19 |       3.16 |       2.14 |       2.06
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |    4951704 |          0 |          0 |          0 |    4950404 |          0
  average dram access latency (ns)   |    3186.15 |        inf |        inf |        inf |    3384.52 |        inf
  average dram queueing delay        |    3124.90 |       0.00 |       0.00 |       0.00 |    3323.27 |       0.00
  average dram bandwidth utilization |     18.00% |      0.00% |      0.00% |      0.00% |     18.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |     713568 |     721812 |     623904 |     633453 |     393909 |     387413
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      77256 |      68066 |      54658 |      38012 |      58900 |      41842
