                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   21631848 |    3910856 |    3949498 |    4201655 |    3950369 |    4027362 |    3425516 |    3545847
  Cycles                             |   16635200 |   16635200 |   16635200 |   16635200 |   16635200 |   16635200 |   16635200 |   16635200
  IPC                                |       1.30 |       0.24 |       0.24 |       0.25 |       0.24 |       0.24 |       0.21 |       0.21
  Time (ns)                          |    4158800 |    4158800 |    4158800 |    4158800 |    4158800 |    4158800 |    4158800 |    4158800
  Idle time (ns)                     |       1570 |    3436282 |    3436652 |    3436720 |    3436806 |    3436929 |    3436700 |    3437042
  Idle time (%)                      |       0.0% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2456421 |    1153328 |    1174615 |    1276907 |    1172630 |    1206386 |     955643 |    1006959
  num incorrect                      |     161913 |      14737 |      14240 |      10862 |      14064 |      13243 |      21488 |      19693
  misprediction rate                 |      6.18% |      1.26% |      1.20% |      0.84% |      1.19% |      1.09% |      2.20% |      1.92%
  mpki                               |       7.48 |       3.77 |       3.61 |       2.59 |       3.56 |       3.29 |       6.27 |       5.55
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2551193 |     132710 |     123058 |     104568 |     128722 |     116436 |     169968 |     159644
    num misses                       |        176 |         27 |         27 |         27 |         27 |         27 |         29 |         27
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5085444 |     857964 |     860277 |     887476 |     861624 |     867517 |     806560 |     819216
    num misses                       |       2605 |       1214 |       1233 |       1152 |       1250 |       1210 |       1192 |       1214
    miss rate                        |      0.05% |      0.14% |      0.14% |      0.13% |      0.15% |      0.14% |      0.15% |      0.15%
    mpki                             |       0.12 |       0.31 |       0.31 |       0.27 |       0.32 |       0.30 |       0.35 |       0.34
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2781 |       1241 |       1260 |       1179 |       1277 |       1237 |       1221 |       1241
    num misses                       |        686 |        196 |        192 |        199 |        195 |        196 |        183 |        191
    miss rate                        |     24.67% |     15.79% |     15.24% |     16.88% |     15.27% |     15.84% |     14.99% |     15.39%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2551193 |     132710 |     123058 |     104568 |     128722 |     116436 |     169968 |     159644
    num cache misses                 |       2789 |        172 |        172 |        172 |        173 |        172 |        178 |        170
    miss rate                        |      0.11% |      0.13% |      0.14% |      0.16% |      0.13% |      0.15% |      0.10% |      0.11%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5085444 |     857964 |     860277 |     887476 |     861624 |     867517 |     806560 |     819216
    num cache misses                 |      53023 |      26122 |      26113 |      25954 |      26219 |      26114 |      26372 |      26440
    miss rate                        |      1.04% |      3.04% |      3.04% |      2.92% |      3.04% |      3.01% |      3.27% |      3.23%
    mpki                             |       2.45 |       6.68 |       6.61 |       6.18 |       6.64 |       6.48 |       7.70 |       7.46
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      58139 |      26548 |      26526 |      26329 |      27179 |      27029 |      27429 |      27452
    num cache misses                 |      42911 |      23812 |      23829 |      23748 |      23942 |      23861 |      24117 |      24099
    miss rate                        |     73.81% |     89.69% |     89.83% |     90.20% |     88.09% |     88.28% |     87.93% |     87.79%
    mpki                             |       1.98 |       6.09 |       6.03 |       5.65 |       6.06 |       5.92 |       7.04 |       6.80
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      45594 |      24085 |      24087 |      23971 |      24746 |      24607 |      24998 |      24945
    num cache misses                 |      32605 |      13498 |      13322 |      13448 |      14341 |      14184 |      14459 |      14456
    miss rate                        |     71.51% |     56.04% |     55.31% |     56.10% |     57.95% |     57.64% |     57.84% |     57.95%
    mpki                             |       1.51 |       3.45 |       3.37 |       3.20 |       3.63 |       3.52 |       4.22 |       4.08
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      13749 |          0 |          0 |          0 |      13677 |          0 |          0 |          0
  average dram access latency (ns)   |      61.55 |        inf |        inf |        inf |      61.51 |        inf |        inf |        inf
  average dram queueing delay        |       0.29 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10388 |        278 |        256 |        277 |        187 |        228 |        229 |        170
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3956 |       3754 |       3761 |       3738 |       4655 |       4479 |       4725 |       4590
