                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   74827480 |   78083653 |   82568063 |   81757491 |   82939107 |   77441651 |   78457694 |   81485225
  Cycles                             |   90204000 |   90204000 |   90204000 |   90204000 |   90204000 |   90204000 |   90204000 |   90204000
  IPC                                |       0.83 |       0.87 |       0.92 |       0.91 |       0.92 |       0.86 |       0.87 |       0.90
  Time (ns)                          |   22551000 |   22551000 |   22551000 |   22551000 |   22551000 |   22551000 |   22551000 |   22551000
  Idle time (ns)                     |       1191 |     186518 |     186995 |     187261 |     195122 |     207366 |     207532 |     206234
  Idle time (%)                      |       0.0% |       0.8% |       0.8% |       0.8% |       0.9% |       0.9% |       0.9% |       0.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    6473361 |    7623989 |    9132837 |    8867959 |    9273020 |    7454374 |    7783288 |    8779984
  num incorrect                      |       5682 |        711 |        716 |        631 |        806 |       1944 |       2068 |       2598
  misprediction rate                 |      0.09% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.03% |      0.03%
  mpki                               |       0.08 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10322556 |   10303109 |   10301955 |   10321356 |   10315161 |   10326924 |   10352980 |   10427386
    num misses                       |        126 |         24 |         24 |         24 |         24 |         22 |         24 |         22
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   27317163 |   27761674 |   28482572 |   28348144 |   28512469 |   27569811 |   27756739 |   28297195
    num misses                       |    1292293 |    1283377 |    1285772 |    1285384 |    1283128 |    1283567 |    1286290 |    1282125
    miss rate                        |      4.73% |      4.62% |      4.51% |      4.53% |      4.50% |      4.66% |      4.63% |      4.53%
    mpki                             |      17.27 |      16.44 |      15.57 |      15.72 |      15.47 |      16.57 |      16.39 |      15.73
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1292419 |    1283401 |    1285796 |    1285408 |    1283152 |    1283589 |    1286314 |    1282147
    num misses                       |     525620 |     521862 |     524271 |     528607 |     523322 |     525183 |     526151 |     519166
    miss rate                        |     40.67% |     40.66% |     40.77% |     41.12% |     40.78% |     40.92% |     40.90% |     40.49%
    mpki                             |       7.02 |       6.68 |       6.35 |       6.47 |       6.31 |       6.78 |       6.71 |       6.37
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10322556 |   10303109 |   10301955 |   10321356 |   10315161 |   10326924 |   10352980 |   10427386
    num cache misses                 |       5047 |       1188 |       1220 |       1149 |       1173 |       1110 |       1158 |       1282
    miss rate                        |      0.05% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.07 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   27317163 |   27761674 |   28482572 |   28348144 |   28512469 |   27569811 |   27756739 |   28297195
    num cache misses                 |    1456864 |    1447470 |    1450002 |    1449461 |    1444186 |    1445624 |    1449855 |    1443926
    miss rate                        |      5.33% |      5.21% |      5.09% |      5.11% |      5.07% |      5.24% |      5.22% |      5.10%
    mpki                             |      19.47 |      18.54 |      17.56 |      17.73 |      17.41 |      18.67 |      18.48 |      17.72
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1562126 |    1545573 |    1548986 |    1555145 |    1541936 |    1544834 |    1549090 |    1544376
    num cache misses                 |     530895 |     517295 |     518783 |     518394 |     515695 |     514809 |     512569 |     518541
    miss rate                        |     33.99% |     33.47% |     33.49% |     33.33% |     33.44% |     33.32% |     33.09% |     33.58%
    mpki                             |       7.09 |       6.62 |       6.28 |       6.34 |       6.22 |       6.65 |       6.53 |       6.36
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     630935 |     613620 |     615960 |     622242 |     612004 |     612159 |     609810 |     616786
    num cache misses                 |     293823 |     271829 |     260857 |     278726 |     263911 |     277519 |     272215 |     277999
    miss rate                        |     46.57% |     44.30% |     42.35% |     44.79% |     43.12% |     45.33% |     44.64% |     45.07%
    mpki                             |       3.93 |       3.48 |       3.16 |       3.41 |       3.18 |       3.58 |       3.47 |       3.41
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     888339 |          0 |          0 |          0 |     886252 |          0 |          0 |          0
  average dram access latency (ns)   |     701.69 |        inf |        inf |        inf |     701.57 |        inf |        inf |        inf
  average dram queueing delay        |     640.44 |       0.00 |       0.00 |       0.00 |     640.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     136144 |     122067 |     106972 |     110654 |     105589 |     121420 |     118123 |     108886
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     101271 |      98962 |     102003 |     113305 |     104595 |     104235 |     101515 |     109681
