metric,value
timestamp,2026-07-01T04:47:29
workload,MG
strategy,Packed
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/MG_W_Packed_8TH_20260630_224009
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7]"
p_core_count,4
e_core_count,4
node0_threads,8
node1_threads,0
sim_time_ms,265.4797
total_instructions,2153546991
avg_ipc,0.5948
avg_ipc_p,0.2795
avg_ipc_e,0.9101
total_power_W,7.2168
dynamic_W,3.6009
leakage_W,2.8
dram_W,0.8158
energy_J,1.915903
node0_reads,27236809
node1_reads,0
node0_pct,100.0
dram_local,21262724
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,3.7488
l2_miss_pct,69.446
l3_miss_pct,86.7553
l1d_mpki,16.3878
l2_mpki,11.3807
l3_mpki,9.8734
l3_miss_count,21262724
cpi_base_frac,0.6129
cpi_branch_frac,0.0008
cpi_l2_frac,0.0
cpi_l3_frac,0.0034
cpi_dram_local_frac,0.3829
cpi_dram_remote_frac,0.0
L1-D.access-mru-0.c0,109210817
L1-D.access-mru-0.c1,108874164
L1-D.access-mru-0.c2,108913254
L1-D.access-mru-0.c3,108738685
L1-D.access-mru-0.c4,99616639
L1-D.access-mru-0.c5,99630966
L1-D.access-mru-0.c6,99498894
L1-D.access-mru-0.c7,99322464
L1-D.access-mru-0.node0,833805883
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,833805883
L1-D.access-mru-1.c0,8629578
L1-D.access-mru-1.c1,8506298
L1-D.access-mru-1.c2,8498449
L1-D.access-mru-1.c3,8493380
L1-D.access-mru-1.c4,8495145
L1-D.access-mru-1.c5,8491532
L1-D.access-mru-1.c6,8493771
L1-D.access-mru-1.c7,8497051
L1-D.access-mru-1.node0,68105204
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,68105204
L1-D.access-mru-2.c0,5697260
L1-D.access-mru-2.c1,5690531
L1-D.access-mru-2.c2,5689946
L1-D.access-mru-2.c3,5690760
L1-D.access-mru-2.c4,5688800
L1-D.access-mru-2.c5,5688346
L1-D.access-mru-2.c6,5688632
L1-D.access-mru-2.c7,5687121
L1-D.access-mru-2.node0,45521396
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,45521396
L1-D.access-mru-3.c0,5963566
L1-D.access-mru-3.c1,5990649
L1-D.access-mru-3.c2,5982912
L1-D.access-mru-3.c3,5983035
L1-D.access-mru-3.c4,5986477
L1-D.access-mru-3.c5,5983461
L1-D.access-mru-3.c6,5982422
L1-D.access-mru-3.c7,5983776
L1-D.access-mru-3.node0,47856298
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,47856298
L1-D.access-mru-4.c0,2106801
L1-D.access-mru-4.c1,2091118
L1-D.access-mru-4.c2,2089640
L1-D.access-mru-4.c3,2089322
L1-D.access-mru-4.c4,2089386
L1-D.access-mru-4.c5,2090764
L1-D.access-mru-4.c6,2090662
L1-D.access-mru-4.c7,2090443
L1-D.access-mru-4.node0,16738136
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,16738136
L1-D.access-mru-5.c0,932482
L1-D.access-mru-5.c1,895564
L1-D.access-mru-5.c2,896068
L1-D.access-mru-5.c3,896764
L1-D.access-mru-5.c4,896733
L1-D.access-mru-5.c5,894794
L1-D.access-mru-5.c6,896403
L1-D.access-mru-5.c7,897102
L1-D.access-mru-5.node0,7205910
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,7205910
L1-D.access-mru-6.c0,1281170
L1-D.access-mru-6.c1,1257976
L1-D.access-mru-6.c2,1260041
L1-D.access-mru-6.c3,1257855
L1-D.access-mru-6.c4,1253726
L1-D.access-mru-6.c5,1257093
L1-D.access-mru-6.c6,1257853
L1-D.access-mru-6.c7,1256854
L1-D.access-mru-6.node0,10082568
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,10082568
L1-D.access-mru-7.c0,1027604
L1-D.access-mru-7.c1,1092619
L1-D.access-mru-7.c2,1091207
L1-D.access-mru-7.c3,1090932
L1-D.access-mru-7.c4,1087264
L1-D.access-mru-7.c5,1087787
L1-D.access-mru-7.c6,1087554
L1-D.access-mru-7.c7,1086042
L1-D.access-mru-7.node0,8651009
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,8651009
L1-D.backinval-E.c0,5483
L1-D.backinval-E.c1,6368
L1-D.backinval-E.c2,8414
L1-D.backinval-E.c3,10120
L1-D.backinval-E.c4,137
L1-D.backinval-E.c5,111
L1-D.backinval-E.c6,175
L1-D.backinval-E.c7,147
L1-D.backinval-E.node0,30955
L1-D.backinval-E.node1,0
L1-D.backinval-E.total,30955
L1-D.backinval-M.c0,17615
L1-D.backinval-M.c1,17407
L1-D.backinval-M.c2,17805
L1-D.backinval-M.c3,17699
L1-D.backinval-M.c4,25208
L1-D.backinval-M.c5,26956
L1-D.backinval-M.c6,26121
L1-D.backinval-M.c7,26129
L1-D.backinval-M.node0,174940
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,174940
L1-D.backinval-S.c0,974
L1-D.backinval-S.c1,796
L1-D.backinval-S.c2,826
L1-D.backinval-S.c3,849
L1-D.backinval-S.c4,2065
L1-D.backinval-S.c5,2160
L1-D.backinval-S.c6,2105
L1-D.backinval-S.c7,2091
L1-D.backinval-S.node0,11866
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,11866
L1-D.coherency-downgrades.c0,29426
L1-D.coherency-downgrades.c1,22397
L1-D.coherency-downgrades.c2,22107
L1-D.coherency-downgrades.c3,21879
L1-D.coherency-downgrades.c4,18154
L1-D.coherency-downgrades.c5,17738
L1-D.coherency-downgrades.c6,17084
L1-D.coherency-downgrades.c7,19590
L1-D.coherency-downgrades.node0,168375
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,168375
L1-D.coherency-invalidates.c0,293
L1-D.coherency-invalidates.c1,1204
L1-D.coherency-invalidates.c2,1273
L1-D.coherency-invalidates.c3,1164
L1-D.coherency-invalidates.c4,1045
L1-D.coherency-invalidates.c5,959
L1-D.coherency-invalidates.c6,961
L1-D.coherency-invalidates.c7,1001
L1-D.coherency-invalidates.node0,7900
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,7900
L1-D.coherency-upgrades.c0,62
L1-D.coherency-upgrades.c1,92
L1-D.coherency-upgrades.c2,89
L1-D.coherency-upgrades.c3,91
L1-D.coherency-upgrades.c4,108
L1-D.coherency-upgrades.c5,115
L1-D.coherency-upgrades.c6,133
L1-D.coherency-upgrades.c7,131
L1-D.coherency-upgrades.node0,821
L1-D.coherency-upgrades.node1,0
L1-D.coherency-upgrades.total,821
L1-D.coherency-writebacks.c0,1013
L1-D.coherency-writebacks.c1,1870
L1-D.coherency-writebacks.c2,1733
L1-D.coherency-writebacks.c3,1822
L1-D.coherency-writebacks.c4,1860
L1-D.coherency-writebacks.c5,1870
L1-D.coherency-writebacks.c6,1744
L1-D.coherency-writebacks.c7,1678
L1-D.coherency-writebacks.node0,13590
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,13590
L1-D.evict-E.c0,3639188
L1-D.evict-E.c1,3654928
L1-D.evict-E.c2,3673240
L1-D.evict-E.c3,3674729
L1-D.evict-E.c4,3665133
L1-D.evict-E.c5,3663683
L1-D.evict-E.c6,3669501
L1-D.evict-E.c7,3669956
L1-D.evict-E.node0,29310358
L1-D.evict-E.node1,0
L1-D.evict-E.total,29310358
L1-D.evict-M.c0,1626288
L1-D.evict-M.c1,1575550
L1-D.evict-M.c2,1545895
L1-D.evict-M.c3,1542267
L1-D.evict-M.c4,1570576
L1-D.evict-M.c5,1568612
L1-D.evict-M.c6,1563661
L1-D.evict-M.c7,1564064
L1-D.evict-M.node0,12556913
L1-D.evict-M.node1,0
L1-D.evict-M.total,12556913
L1-D.evict-S.c0,31379
L1-D.evict-S.c1,26827
L1-D.evict-S.c2,19048
L1-D.evict-S.c3,20705
L1-D.evict-S.c4,10241
L1-D.evict-S.c5,12009
L1-D.evict-S.c6,11909
L1-D.evict-S.c7,11026
L1-D.evict-S.node0,143144
L1-D.evict-S.node1,0
L1-D.evict-S.total,143144
L1-D.load-misses-E.c0,68
L1-D.load-misses-E.c3,1
L1-D.load-misses-E.node0,69
L1-D.load-misses-E.node1,0
L1-D.load-misses-E.total,69
L1-D.load-misses-I.c0,4434181
L1-D.load-misses-I.c1,4404599
L1-D.load-misses-I.c2,4405601
L1-D.load-misses-I.c3,4406469
L1-D.load-misses-I.c4,4410375
L1-D.load-misses-I.c5,4409836
L1-D.load-misses-I.c6,4411005
L1-D.load-misses-I.c7,4409596
L1-D.load-misses-I.node0,35291662
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,35291662
L1-D.load-misses-S.c0,34
L1-D.load-misses-S.c1,36
L1-D.load-misses-S.c2,26
L1-D.load-misses-S.c3,29
L1-D.load-misses-S.c4,36
L1-D.load-misses-S.c5,28
L1-D.load-misses-S.c6,26
L1-D.load-misses-S.c7,5
L1-D.load-misses-S.node0,220
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,220
L1-D.load-misses.c0,4434283
L1-D.load-misses.c1,4404635
L1-D.load-misses.c2,4405627
L1-D.load-misses.c3,4406499
L1-D.load-misses.c4,4410411
L1-D.load-misses.c5,4409864
L1-D.load-misses.c6,4411031
L1-D.load-misses.c7,4409601
L1-D.load-misses.node0,35291951
L1-D.load-misses.node1,0
L1-D.load-misses.total,35291951
L1-D.loads-E.c0,52740575
L1-D.loads-E.c1,53835194
L1-D.loads-E.c2,55300887
L1-D.loads-E.c3,51809131
L1-D.loads-E.c4,52088239
L1-D.loads-E.c5,51021483
L1-D.loads-E.c6,51232947
L1-D.loads-E.c7,52041197
L1-D.loads-E.node0,420069653
L1-D.loads-E.node1,0
L1-D.loads-E.total,420069653
L1-D.loads-I.c0,4434181
L1-D.loads-I.c1,4404599
L1-D.loads-I.c2,4405601
L1-D.loads-I.c3,4406469
L1-D.loads-I.c4,4410375
L1-D.loads-I.c5,4409836
L1-D.loads-I.c6,4411005
L1-D.loads-I.c7,4409596
L1-D.loads-I.node0,35291662
L1-D.loads-I.node1,0
L1-D.loads-I.total,35291662
L1-D.loads-M.c0,49375095
L1-D.loads-M.c1,48471400
L1-D.loads-M.c2,48254417
L1-D.loads-M.c3,47859723
L1-D.loads-M.c4,49747416
L1-D.loads-M.c5,49389563
L1-D.loads-M.c6,49154588
L1-D.loads-M.c7,49429875
L1-D.loads-M.node0,391682077
L1-D.loads-M.node1,0
L1-D.loads-M.total,391682077
L1-D.loads-S.c0,15783523
L1-D.loads-S.c1,15632752
L1-D.loads-S.c2,14463662
L1-D.loads-S.c3,18169889
L1-D.loads-S.c4,6866977
L1-D.loads-S.c5,8308393
L1-D.loads-S.c6,8205407
L1-D.loads-S.c7,6948667
L1-D.loads-S.node0,94379270
L1-D.loads-S.node1,0
L1-D.loads-S.total,94379270
L1-D.loads-where-L1.c0,117899091
