15,2352942,49275,9545617,258662
14,2290648,76978,9364428,389742
13,2067296,71731,8408883,354592
12,2139763,54095,8694392,279179
11,1461220,54527,5980721,281700
10,1480212,44068,6048793,232438
9,1465157,57810,5995813,294726
8,1257033,45043,5159080,238865
7,1480066,42961,6049333,228902
6,1377394,49004,5643175,257356
5,1661255,55052,6780882,283915
4,1473046,48015,6023919,251808
3,3212462,67784,13413423,378798
2,3315741,104882,14037923,555710
1,3261046,71642,13779162,408903
0,4842897,1816193,31875703,13758721
