17,1780199,641589,11973779,4547616
16,205306305,109277353,915063230,467250645
15,68364939,34574366,294087818,151758846
14,71772574,37000162,311071847,163732238
13,77649078,40570216,342145098,175169499
12,73441896,36945141,314940843,161548078
11,27842686,9567925,205769860,66096475
10,9768267,3352416,72201743,23157881
9,9520184,3269559,70362045,22585117
8,11325342,3881650,83720147,26812386
7,10010977,3432719,74000619,23710822
6,85949606,30152101,387443919,121039588
5,1699,1227,9743,7360
4,41997445,14717433,189257804,59048487
3,41964929,14714739,189119322,59034990
2,41971138,14718961,189178847,59070721
1,1392151,869919,23922375,11498852
0,2122604,599324,12427768,3524070
