,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,best_strategy
BC,0.7485620198422369,0.5200498884807618,1.0,1.0,0.0,0.0011524361730104573,3.241094215216289e-05,0.000720371052581998,0.9838462275908351,Packed
BFS,0.7467654201538444,0.5190586249955819,1.0,1.0,0.0,0.001143955738573418,3.212101407553725e-05,0.0007251122330008758,0.9827214856650552,Scatter
BT,2.8687453816840103,0.002941274549171889,1.0,1.0,0.0,0.0037285461654186134,7.436445469018198e-07,1.20466841383927e-05,0.9997087265524874,Packed
CC,0.7442587587842516,0.5219833936417845,1.0,1.0,0.0,0.0011450900316047274,3.316728870997013e-05,0.0007262241624850315,0.9824468596710589,Scatter
CG,1.8758634374589291,0.050660081268047386,1.0,1.0,0.0,0.022443706977920815,0.004561508050013778,5.18677097039917e-05,0.9995145845284851,Packed
FT,2.484182887907335,0.005875341960956702,1.0,1.0,0.0,0.015368732873853496,0.0009149752728379854,0.0019776671773259636,0.5394997446819055,Scatter
IS,0.898781939246273,0.007272520497489285,1.0,1.0,0.0,0.0035221730794280106,9.839914913549008e-06,0.00017410125696486575,0.9996025888497786,Packed
MG,1.721769392363261,0.016211620639842102,1.0,1.0,0.0,0.012189972065396468,0.0007503834237603448,0.00021059321231292475,0.9991964057420463,Packed
PR,0.7467129902053348,0.5244341856080607,1.0,1.0,0.0,0.0011464858104736886,3.1198953362956385e-05,0.0007192116006311033,0.9835106892915348,Packed
SP,2.2576191861496007,0.013304796266215734,1.0,1.0,0.0,0.01679948101768901,1.5185859085883523e-06,2.947086212429938e-05,0.9997111162468223,Packed
SSSP,0.8737323113707345,0.43588914863056727,1.0,1.0,0.0,0.0011237360756313206,2.898650619969502e-05,0.0006523418067483203,0.9737861418678352,Packed
TC,0.7531124455048057,0.5195140626420329,1.0,1.0,0.0,0.001157542858028808,3.5916932037921336e-05,0.0007143279166808589,0.982240372287383,Scatter
lavaMD,0.47408096563790286,0.0,1.0,1.0,0.0,0.004667209621724614,5.409515337478625e-05,0.018103844662761798,1.0,Packed
