,Packed,Scatter,HPO,EPO
BC,0.0079537,0.0023099,0.0023094,0.0075755
BFS,0.0079886,0.0023131,0.0023104,0.0076001
BT,0.0413444,0.0106217,0.0106189,0.0427055
CC,0.0080203,0.0023161,0.0023213,0.0076295
CG,0.0205465,0.0052144,0.0052189,0.0195651
FT,0.0361031,0.0096209,0.0096251,0.0323662
IS,0.0055464,0.0015131,0.0015151,0.0053912
MG,0.0034295,0.0009995,0.0009982,0.0034646
PR,0.007977,0.0023123,0.0023105,0.007579
SP,0.0235894,0.006278,0.0062712,0.0243859
SSSP,0.0086274,0.0024773,0.0024737,0.0082625
TC,0.0079896,0.0023168,0.0023174,0.0076019
lavaMD,0.0003254,0.0001772,0.0001776,0.0003751
