metric,value
timestamp,2026-07-11T08:25:39
workload,BT
strategy,EPO
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/BT_S_EPO_12TH_20260711_032936
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3]"
p_core_count,4
e_core_count,8
node0_threads,8
node1_threads,4
sim_time_ms,11.483
total_instructions,749637663
avg_ipc,3.9055
avg_ipc_p,5.1259
avg_ipc_e,3.2953
total_power_W,9.9132
dynamic_W,8.302
leakage_W,1.6
dram_W,0.0112
energy_J,0.113833
node0_reads,18031
node1_reads,2060
node0_pct,89.7467
node0_writes,16
node1_writes,0
dram_local,7299
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,0.4861
l2_miss_pct,44.1217
l3_miss_pct,1.772
l1d_mpki,1.2453
l2_mpki,0.5495
l3_mpki,0.0097
l3_miss_count,7299
cpi_base_frac,0.9648
cpi_branch_frac,0.0029
cpi_l2_frac,0.0
cpi_l3_frac,0.0316
cpi_dram_local_frac,0.0007
cpi_dram_remote_frac,0.0
futex_wake_count,880
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,12.8488
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,26114593
L1-D.access-mru-0.c1,26139617
L1-D.access-mru-0.c12,23904519
L1-D.access-mru-0.c13,24046388
L1-D.access-mru-0.c14,24126002
L1-D.access-mru-0.c15,23945613
L1-D.access-mru-0.c2,12230706
L1-D.access-mru-0.c3,12273485
L1-D.access-mru-0.c4,24450612
L1-D.access-mru-0.c5,23894834
L1-D.access-mru-0.c6,24148073
L1-D.access-mru-0.c7,24055536
L1-D.access-mru-0.node0,173307456
L1-D.access-mru-0.node1,96022522
L1-D.access-mru-0.total,269329978
L1-D.access-mru-1.c0,924255
L1-D.access-mru-1.c1,941075
L1-D.access-mru-1.c12,1285158
L1-D.access-mru-1.c13,1144802
L1-D.access-mru-1.c14,1126164
L1-D.access-mru-1.c15,1243620
L1-D.access-mru-1.c2,3009
L1-D.access-mru-1.c3,2288
L1-D.access-mru-1.c4,1079683
L1-D.access-mru-1.c5,1248907
L1-D.access-mru-1.c6,1126342
L1-D.access-mru-1.c7,1154463
L1-D.access-mru-1.node0,6480022
L1-D.access-mru-1.node1,4799744
L1-D.access-mru-1.total,11279766
L1-D.access-mru-2.c0,288152
L1-D.access-mru-2.c1,269830
L1-D.access-mru-2.c12,314295
L1-D.access-mru-2.c13,296871
L1-D.access-mru-2.c14,303216
L1-D.access-mru-2.c15,307638
L1-D.access-mru-2.c2,1138
L1-D.access-mru-2.c3,1198
L1-D.access-mru-2.c4,280642
L1-D.access-mru-2.c5,318920
L1-D.access-mru-2.c6,294125
L1-D.access-mru-2.c7,298812
L1-D.access-mru-2.node0,1752817
L1-D.access-mru-2.node1,1222020
L1-D.access-mru-2.total,2974837
L1-D.access-mru-3.c0,104113
L1-D.access-mru-3.c1,123006
L1-D.access-mru-3.c12,202981
L1-D.access-mru-3.c13,213218
L1-D.access-mru-3.c14,215085
L1-D.access-mru-3.c15,196303
L1-D.access-mru-3.c2,2976
L1-D.access-mru-3.c3,5682
L1-D.access-mru-3.c4,208677
L1-D.access-mru-3.c5,199299
L1-D.access-mru-3.c6,208832
L1-D.access-mru-3.c7,216277
L1-D.access-mru-3.node0,1068862
L1-D.access-mru-3.node1,827587
L1-D.access-mru-3.total,1896449
L1-D.access-mru-4.c0,29808
L1-D.access-mru-4.c1,32262
L1-D.access-mru-4.c12,111688
L1-D.access-mru-4.c13,128712
L1-D.access-mru-4.c14,133937
L1-D.access-mru-4.c15,118604
L1-D.access-mru-4.c2,3109
L1-D.access-mru-4.c3,6541
L1-D.access-mru-4.c4,129874
L1-D.access-mru-4.c5,116319
L1-D.access-mru-4.c6,133308
L1-D.access-mru-4.c7,130498
L1-D.access-mru-4.node0,581719
L1-D.access-mru-4.node1,492941
L1-D.access-mru-4.total,1074660
L1-D.access-mru-5.c0,11269
L1-D.access-mru-5.c1,13843
L1-D.access-mru-5.c12,61389
L1-D.access-mru-5.c13,56900
L1-D.access-mru-5.c14,57537
L1-D.access-mru-5.c15,63071
L1-D.access-mru-5.c2,1589
L1-D.access-mru-5.c3,3016
L1-D.access-mru-5.c4,71703
L1-D.access-mru-5.c5,63316
L1-D.access-mru-5.c6,55817
L1-D.access-mru-5.c7,60724
L1-D.access-mru-5.node0,281277
L1-D.access-mru-5.node1,238897
L1-D.access-mru-5.total,520174
L1-D.access-mru-6.c0,12490
L1-D.access-mru-6.c1,12055
L1-D.access-mru-6.c12,41347
L1-D.access-mru-6.c13,26971
L1-D.access-mru-6.c14,24551
L1-D.access-mru-6.c15,37320
L1-D.access-mru-6.c2,310
L1-D.access-mru-6.c3,119
L1-D.access-mru-6.c4,38493
L1-D.access-mru-6.c5,36762
L1-D.access-mru-6.c6,26737
L1-D.access-mru-6.c7,25320
L1-D.access-mru-6.node0,152286
L1-D.access-mru-6.node1,130189
L1-D.access-mru-6.total,282475
L1-D.access-mru-7.c0,10352
L1-D.access-mru-7.c1,7912
L1-D.access-mru-7.c12,19264
L1-D.access-mru-7.c13,16074
L1-D.access-mru-7.c14,15230
L1-D.access-mru-7.c15,16858
L1-D.access-mru-7.c2,364
L1-D.access-mru-7.c3,1
L1-D.access-mru-7.c4,23488
L1-D.access-mru-7.c5,20628
L1-D.access-mru-7.c6,15920
L1-D.access-mru-7.c7,16296
L1-D.access-mru-7.node0,94961
L1-D.access-mru-7.node1,67426
L1-D.access-mru-7.total,162387
L1-D.backinval-M,3
L1-D.coherency-downgrades.c0,45944
L1-D.coherency-downgrades.c1,62212
L1-D.coherency-downgrades.c12,29279
L1-D.coherency-downgrades.c13,32057
L1-D.coherency-downgrades.c14,47918
L1-D.coherency-downgrades.c15,35944
L1-D.coherency-downgrades.c2,40711
L1-D.coherency-downgrades.c3,18718
L1-D.coherency-downgrades.c4,32134
L1-D.coherency-downgrades.c5,42903
L1-D.coherency-downgrades.c6,55804
L1-D.coherency-downgrades.c7,37547
L1-D.coherency-downgrades.node0,335973
L1-D.coherency-downgrades.node1,145198
L1-D.coherency-downgrades.total,481171
L1-D.coherency-invalidates.c0,14371
L1-D.coherency-invalidates.c1,13373
L1-D.coherency-invalidates.c12,15339
L1-D.coherency-invalidates.c13,10263
L1-D.coherency-invalidates.c14,9091
L1-D.coherency-invalidates.c15,12751
L1-D.coherency-invalidates.c2,4082
L1-D.coherency-invalidates.c3,1740
L1-D.coherency-invalidates.c4,4808
L1-D.coherency-invalidates.c5,5757
L1-D.coherency-invalidates.c6,9755
L1-D.coherency-invalidates.c7,12026
L1-D.coherency-invalidates.node0,65912
L1-D.coherency-invalidates.node1,47444
L1-D.coherency-invalidates.total,113356
L1-D.coherency-upgrades.c0,8145
L1-D.coherency-upgrades.c1,7261
L1-D.coherency-upgrades.c12,2584
L1-D.coherency-upgrades.c13,3600
L1-D.coherency-upgrades.c14,3403
L1-D.coherency-upgrades.c15,855
L1-D.coherency-upgrades.c2,6062
L1-D.coherency-upgrades.c3,1729
L1-D.coherency-upgrades.c4,1866
L1-D.coherency-upgrades.c5,5379
L1-D.coherency-upgrades.c6,4402
L1-D.coherency-upgrades.c7,2760
L1-D.coherency-upgrades.node0,37604
L1-D.coherency-upgrades.node1,10442
L1-D.coherency-upgrades.total,48046
L1-D.coherency-writebacks.c0,9673
L1-D.coherency-writebacks.c1,9021
L1-D.coherency-writebacks.c12,6594
L1-D.coherency-writebacks.c13,6952
L1-D.coherency-writebacks.c14,2368
L1-D.coherency-writebacks.c15,3007
L1-D.coherency-writebacks.c2,1797
L1-D.coherency-writebacks.c3,2006
L1-D.coherency-writebacks.c4,8357
L1-D.coherency-writebacks.c5,9471
L1-D.coherency-writebacks.c6,5303
L1-D.coherency-writebacks.c7,4755
L1-D.coherency-writebacks.node0,50383
L1-D.coherency-writebacks.node1,18921
L1-D.coherency-writebacks.total,69304
L1-D.evict-E.c4,5955
L1-D.evict-E.c5,18
L1-D.evict-E.node0,5973
L1-D.evict-E.node1,0
L1-D.evict-E.total,5973
L1-D.evict-M.c0,28070
L1-D.evict-M.c1,33932
L1-D.evict-M.c12,53420
L1-D.evict-M.c13,59816
L1-D.evict-M.c14,45539
L1-D.evict-M.c15,37361
L1-D.evict-M.c2,2
L1-D.evict-M.c3,2
L1-D.evict-M.c4,117694
L1-D.evict-M.c5,60130
L1-D.evict-M.c6,53655
L1-D.evict-M.c7,43906
L1-D.evict-M.node0,337391
L1-D.evict-M.node1,196136
L1-D.evict-M.total,533527
L1-D.evict-S.c0,29663
L1-D.evict-S.c1,29770
L1-D.evict-S.c12,77616
L1-D.evict-S.c13,71347
L1-D.evict-S.c14,60128
L1-D.evict-S.c15,75820
L1-D.evict-S.c2,3
L1-D.evict-S.c3,5
L1-D.evict-S.c4,51457
L1-D.evict-S.c5,72729
L1-D.evict-S.c6,78308
L1-D.evict-S.c7,82573
L1-D.evict-S.node0,344508
L1-D.evict-S.node1,284911
L1-D.evict-S.total,629419
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,66476
L1-D.load-misses-I.c1,69355
L1-D.load-misses-I.c12,129027
L1-D.load-misses-I.c13,125195
L1-D.load-misses-I.c14,93834
L1-D.load-misses-I.c15,103034
L1-D.load-misses-I.c2,7966
L1-D.load-misses-I.c3,3849
L1-D.load-misses-I.c4,138068
L1-D.load-misses-I.c5,126693
L1-D.load-misses-I.c6,124688
L1-D.load-misses-I.c7,119434
L1-D.load-misses-I.node0,656529
L1-D.load-misses-I.node1,451090
L1-D.load-misses-I.total,1107619
L1-D.load-misses-S.c1,3
L1-D.load-misses-S.c12,3
L1-D.load-misses-S.c13,2
L1-D.load-misses-S.c14,3
L1-D.load-misses-S.c15,3
L1-D.load-misses-S.c2,1
L1-D.load-misses-S.c3,3
L1-D.load-misses-S.c4,2
L1-D.load-misses-S.c5,5
L1-D.load-misses-S.c6,3
