metric,value
timestamp,2026-07-11T08:26:10
workload,BT
strategy,MPO
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/BT_S_MPO_12TH_20260711_032936
cpu_map,"[5, 2, 0, 8, 12, 4, 11, 10, 9, 1, 13, 3]"
p_core_count,8
e_core_count,4
node0_threads,6
node1_threads,6
sim_time_ms,11.4418
total_instructions,789662373
avg_ipc,2.7277
avg_ipc_p,1.5153
avg_ipc_e,3.94
total_power_W,26.1211
dynamic_W,22.3098
leakage_W,3.8
dram_W,0.0112
energy_J,0.298872
node0_reads,16805
node1_reads,3290
node0_pct,83.6278
node0_writes,11
node1_writes,0
dram_local,7007
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,0.357
l2_miss_pct,50.1137
l3_miss_pct,1.9714
l1d_mpki,0.8982
l2_mpki,0.4501
l3_mpki,0.0089
l3_miss_count,7007
cpi_base_frac,0.9757
cpi_branch_frac,0.0029
cpi_l2_frac,0.0
cpi_l3_frac,0.0207
cpi_dram_local_frac,0.0007
cpi_dram_remote_frac,0.0
futex_wake_count,880
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,12.8955
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,26265450
L1-D.access-mru-0.c1,26162940
L1-D.access-mru-0.c10,26240172
L1-D.access-mru-0.c11,26156491
L1-D.access-mru-0.c12,23971076
L1-D.access-mru-0.c13,10542589
L1-D.access-mru-0.c2,26154607
L1-D.access-mru-0.c3,12228555
L1-D.access-mru-0.c4,24042140
L1-D.access-mru-0.c5,24327188
L1-D.access-mru-0.c8,26283638
L1-D.access-mru-0.c9,26275959
L1-D.access-mru-0.node0,139180880
L1-D.access-mru-0.node1,139469925
L1-D.access-mru-0.total,278650805
L1-D.access-mru-1.c0,915113
L1-D.access-mru-1.c1,917359
L1-D.access-mru-1.c10,913020
L1-D.access-mru-1.c11,939506
L1-D.access-mru-1.c12,1273128
L1-D.access-mru-1.c13,4482
L1-D.access-mru-1.c2,1042504
L1-D.access-mru-1.c3,3099
L1-D.access-mru-1.c4,1134964
L1-D.access-mru-1.c5,1198334
L1-D.access-mru-1.c8,969730
L1-D.access-mru-1.c9,919660
L1-D.access-mru-1.node0,5211373
L1-D.access-mru-1.node1,5019526
L1-D.access-mru-1.total,10230899
L1-D.access-mru-2.c0,288564
L1-D.access-mru-2.c1,277246
L1-D.access-mru-2.c10,270957
L1-D.access-mru-2.c11,286740
L1-D.access-mru-2.c12,316725
L1-D.access-mru-2.c13,486
L1-D.access-mru-2.c2,285011
L1-D.access-mru-2.c3,1079
L1-D.access-mru-2.c4,298252
L1-D.access-mru-2.c5,282892
L1-D.access-mru-2.c8,257079
L1-D.access-mru-2.c9,262879
L1-D.access-mru-2.node0,1433044
L1-D.access-mru-2.node1,1394866
L1-D.access-mru-2.total,2827910
L1-D.access-mru-3.c0,100622
L1-D.access-mru-3.c1,99550
L1-D.access-mru-3.c10,109285
L1-D.access-mru-3.c11,101756
L1-D.access-mru-3.c12,208622
L1-D.access-mru-3.c13,1091
L1-D.access-mru-3.c2,115203
L1-D.access-mru-3.c3,6161
L1-D.access-mru-3.c4,221734
L1-D.access-mru-3.c5,228135
L1-D.access-mru-3.c8,114066
L1-D.access-mru-3.c9,114785
L1-D.access-mru-3.node0,771405
L1-D.access-mru-3.node1,649605
L1-D.access-mru-3.total,1421010
L1-D.access-mru-4.c0,36766
L1-D.access-mru-4.c1,33335
L1-D.access-mru-4.c10,33258
L1-D.access-mru-4.c11,33263
L1-D.access-mru-4.c12,111721
L1-D.access-mru-4.c13,1686
L1-D.access-mru-4.c2,34157
L1-D.access-mru-4.c3,6429
L1-D.access-mru-4.c4,122597
L1-D.access-mru-4.c5,127581
L1-D.access-mru-4.c8,39391
L1-D.access-mru-4.c9,36595
L1-D.access-mru-4.node0,360865
L1-D.access-mru-4.node1,255914
L1-D.access-mru-4.total,616779
L1-D.access-mru-5.c0,15299
L1-D.access-mru-5.c1,13569
L1-D.access-mru-5.c10,13910
L1-D.access-mru-5.c11,14370
L1-D.access-mru-5.c12,60034
L1-D.access-mru-5.c13,1969
L1-D.access-mru-5.c2,15100
L1-D.access-mru-5.c3,2690
L1-D.access-mru-5.c4,53878
L1-D.access-mru-5.c5,57993
L1-D.access-mru-5.c8,16164
L1-D.access-mru-5.c9,13411
L1-D.access-mru-5.node0,158529
L1-D.access-mru-5.node1,119858
L1-D.access-mru-5.total,278387
L1-D.access-mru-6.c0,11390
L1-D.access-mru-6.c1,10631
L1-D.access-mru-6.c10,11240
L1-D.access-mru-6.c11,12591
L1-D.access-mru-6.c12,37168
L1-D.access-mru-6.c13,1096
L1-D.access-mru-6.c2,9424
L1-D.access-mru-6.c3,186
L1-D.access-mru-6.c4,27132
L1-D.access-mru-6.c5,33905
L1-D.access-mru-6.c8,11403
L1-D.access-mru-6.c9,10419
L1-D.access-mru-6.node0,92668
L1-D.access-mru-6.node1,83917
L1-D.access-mru-6.total,176585
L1-D.access-mru-7.c0,10123
L1-D.access-mru-7.c1,9806
L1-D.access-mru-7.c10,8424
L1-D.access-mru-7.c11,8361
L1-D.access-mru-7.c12,17594
L1-D.access-mru-7.c13,1450
L1-D.access-mru-7.c2,9985
L1-D.access-mru-7.c3,3
L1-D.access-mru-7.c4,15281
L1-D.access-mru-7.c5,20841
L1-D.access-mru-7.c8,9801
L1-D.access-mru-7.c9,7825
L1-D.access-mru-7.node0,66039
L1-D.access-mru-7.node1,53455
L1-D.access-mru-7.total,119494
L1-D.coherency-downgrades.c0,50362
L1-D.coherency-downgrades.c1,30829
L1-D.coherency-downgrades.c10,64363
L1-D.coherency-downgrades.c11,50998
L1-D.coherency-downgrades.c12,32586
L1-D.coherency-downgrades.c13,12112
L1-D.coherency-downgrades.c2,54911
L1-D.coherency-downgrades.c3,16409
L1-D.coherency-downgrades.c4,26788
L1-D.coherency-downgrades.c5,30684
L1-D.coherency-downgrades.c8,49571
L1-D.coherency-downgrades.c9,52504
L1-D.coherency-downgrades.node0,209983
L1-D.coherency-downgrades.node1,262134
L1-D.coherency-downgrades.total,472117
L1-D.coherency-invalidates.c0,26048
L1-D.coherency-invalidates.c1,21006
L1-D.coherency-invalidates.c10,20674
L1-D.coherency-invalidates.c11,16396
L1-D.coherency-invalidates.c12,13366
L1-D.coherency-invalidates.c13,11824
L1-D.coherency-invalidates.c2,21053
L1-D.coherency-invalidates.c3,2312
L1-D.coherency-invalidates.c4,19399
L1-D.coherency-invalidates.c5,6935
L1-D.coherency-invalidates.c8,24782
L1-D.coherency-invalidates.c9,21099
L1-D.coherency-invalidates.node0,96753
L1-D.coherency-invalidates.node1,108141
L1-D.coherency-invalidates.total,204894
L1-D.coherency-upgrades.c0,4836
L1-D.coherency-upgrades.c1,3327
L1-D.coherency-upgrades.c10,8256
L1-D.coherency-upgrades.c11,9216
L1-D.coherency-upgrades.c12,2046
L1-D.coherency-upgrades.c13,169
L1-D.coherency-upgrades.c2,10503
L1-D.coherency-upgrades.c3,1595
L1-D.coherency-upgrades.c4,2431
L1-D.coherency-upgrades.c5,1885
L1-D.coherency-upgrades.c8,12894
L1-D.coherency-upgrades.c9,6289
L1-D.coherency-upgrades.node0,24577
L1-D.coherency-upgrades.node1,38870
L1-D.coherency-upgrades.total,63447
L1-D.coherency-writebacks.c0,6580
L1-D.coherency-writebacks.c1,8252
L1-D.coherency-writebacks.c10,5304
L1-D.coherency-writebacks.c11,5563
L1-D.coherency-writebacks.c12,7689
L1-D.coherency-writebacks.c13,1212
L1-D.coherency-writebacks.c2,7379
L1-D.coherency-writebacks.c3,2012
L1-D.coherency-writebacks.c4,4253
L1-D.coherency-writebacks.c5,8112
L1-D.coherency-writebacks.c8,5296
L1-D.coherency-writebacks.c9,4303
L1-D.coherency-writebacks.node0,36588
L1-D.coherency-writebacks.node1,29367
L1-D.coherency-writebacks.total,65955
L1-D.evict-E.c2,18
L1-D.evict-E.c5,5968
L1-D.evict-E.node0,5986
L1-D.evict-E.node1,0
L1-D.evict-E.total,5986
L1-D.evict-M.c0,25641
L1-D.evict-M.c1,22422
L1-D.evict-M.c10,27641
L1-D.evict-M.c11,27007
L1-D.evict-M.c12,38278
L1-D.evict-M.c13,2122
L1-D.evict-M.c2,29424
L1-D.evict-M.c4,33795
L1-D.evict-M.c5,112294
L1-D.evict-M.c8,23847
L1-D.evict-M.c9,23645
L1-D.evict-M.node0,223576
L1-D.evict-M.node1,142540
L1-D.evict-M.total,366116
L1-D.evict-S.c0,52560
L1-D.evict-S.c1,36852
L1-D.evict-S.c10,33368
L1-D.evict-S.c11,30586
L1-D.evict-S.c12,93671
L1-D.evict-S.c13,3919
L1-D.evict-S.c2,47514
L1-D.evict-S.c3,6
L1-D.evict-S.c4,91079
L1-D.evict-S.c5,56334
L1-D.evict-S.c8,48697
L1-D.evict-S.c9,37719
L1-D.evict-S.node0,284345
L1-D.evict-S.node1,247960
L1-D.evict-S.total,532305
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,90625
L1-D.load-misses-I.c1,67989
L1-D.load-misses-I.c10,71522
L1-D.load-misses-I.c11,64541
L1-D.load-misses-I.c12,128538
L1-D.load-misses-I.c13,9937
L1-D.load-misses-I.c2,90833
L1-D.load-misses-I.c3,3873
L1-D.load-misses-I.c4,124204
L1-D.load-misses-I.c5,138226
L1-D.load-misses-I.c8,90058
L1-D.load-misses-I.c9,69978
L1-D.load-misses-I.node0,515750
L1-D.load-misses-I.node1,434574
L1-D.load-misses-I.total,950324
L1-D.load-misses-S.c0,3
L1-D.load-misses-S.c1,5
L1-D.load-misses-S.c10,3
L1-D.load-misses-S.c11,2
L1-D.load-misses-S.c12,3
L1-D.load-misses-S.c13,2
L1-D.load-misses-S.c2,4
L1-D.load-misses-S.c4,3
L1-D.load-misses-S.c5,1
L1-D.load-misses-S.c8,3
L1-D.load-misses-S.c9,4
L1-D.load-misses-S.node0,16
L1-D.load-misses-S.node1,17
L1-D.load-misses-S.total,33
L1-D.load-misses.c0,90628
L1-D.load-misses.c1,67994
L1-D.load-misses.c10,71525
L1-D.load-misses.c11,64543
L1-D.load-misses.c12,128541
L1-D.load-misses.c13,9939
L1-D.load-misses.c2,90837
L1-D.load-misses.c3,3873
L1-D.load-misses.c4,124207
L1-D.load-misses.c5,138230
L1-D.load-misses.c8,90061
L1-D.load-misses.c9,69982
L1-D.load-misses.node0,515769
L1-D.load-misses.node1,434591
L1-D.load-misses.total,950360
L1-D.loads-E.c0,27
L1-D.loads-E.c1,27
L1-D.loads-E.c11,6
L1-D.loads-E.c2,144
L1-D.loads-E.c3,20
L1-D.loads-E.c4,18
L1-D.loads-E.c5,67495
L1-D.loads-E.c8,5
L1-D.loads-E.node0,67731
L1-D.loads-E.node1,11
L1-D.loads-E.total,67742
L1-D.loads-I.c0,90625
L1-D.loads-I.c1,67989
L1-D.loads-I.c10,71522
L1-D.loads-I.c11,64541
L1-D.loads-I.c12,128538
L1-D.loads-I.c13,9937
L1-D.loads-I.c2,90833
L1-D.loads-I.c3,3873
L1-D.loads-I.c4,124204
L1-D.loads-I.c5,138226
L1-D.loads-I.c8,90058
L1-D.loads-I.c9,69978
L1-D.loads-I.node0,515750
L1-D.loads-I.node1,434574
L1-D.loads-I.total,950324
L1-D.loads-M.c0,14178415
L1-D.loads-M.c1,14017399
L1-D.loads-M.c10,14220213
L1-D.loads-M.c11,14207444
L1-D.loads-M.c12,14165307
L1-D.loads-M.c13,43353
L1-D.loads-M.c2,14372578
L1-D.loads-M.c3,123653
