metric,value
timestamp,2026-07-11T09:06:52
workload,FT
strategy,MPO
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/FT_S_MPO_12TH_20260711_032936
cpu_map,"[5, 8, 10, 0, 4, 12, 13, 9, 1, 3, 2, 11]"
p_core_count,8
e_core_count,4
node0_threads,6
node1_threads,6
sim_time_ms,12.9381
total_instructions,1001639520
avg_ipc,2.9818
avg_ipc_p,1.7365
avg_ipc_e,4.7253
total_power_W,32.1508
dynamic_W,27.9569
leakage_W,4.1
dram_W,0.0939
energy_J,0.41597
node0_reads,99885
node1_reads,89917
node0_pct,52.6259
node0_writes,15
node1_writes,25
dram_local,5779
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,6.9635
l2_miss_pct,5.2176
l3_miss_pct,1.02
l1d_mpki,10.8415
l2_mpki,0.5657
l3_mpki,0.0058
l3_miss_count,5779
cpi_base_frac,0.9384
cpi_branch_frac,0.0538
cpi_l2_frac,0.001
cpi_l3_frac,0.0057
cpi_dram_local_frac,0.0011
cpi_dram_remote_frac,0.0
futex_wake_count,84
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.9419
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,21195151
L1-D.access-mru-0.c1,19930785
L1-D.access-mru-0.c10,21181590
L1-D.access-mru-0.c11,19932536
L1-D.access-mru-0.c12,17020275
L1-D.access-mru-0.c13,17020278
L1-D.access-mru-0.c2,19922637
L1-D.access-mru-0.c3,19934294
L1-D.access-mru-0.c4,17023982
L1-D.access-mru-0.c5,18121162
L1-D.access-mru-0.c8,21198838
L1-D.access-mru-0.c9,19873645
L1-D.access-mru-0.node0,116128011
L1-D.access-mru-0.node1,116227162
L1-D.access-mru-0.total,232355173
L1-D.access-mru-1.c0,306014
L1-D.access-mru-1.c1,253818
L1-D.access-mru-1.c10,318316
L1-D.access-mru-1.c11,252936
L1-D.access-mru-1.c12,446893
L1-D.access-mru-1.c13,445130
L1-D.access-mru-1.c2,265610
L1-D.access-mru-1.c3,255767
L1-D.access-mru-1.c4,446042
L1-D.access-mru-1.c5,680119
L1-D.access-mru-1.c8,304545
L1-D.access-mru-1.c9,264444
L1-D.access-mru-1.node0,2207370
L1-D.access-mru-1.node1,2032264
L1-D.access-mru-1.total,4239634
L1-D.access-mru-2.c0,35273
L1-D.access-mru-2.c1,30669
L1-D.access-mru-2.c10,36816
L1-D.access-mru-2.c11,30652
L1-D.access-mru-2.c12,65770
L1-D.access-mru-2.c13,66902
L1-D.access-mru-2.c2,30752
L1-D.access-mru-2.c3,28985
L1-D.access-mru-2.c4,66329
L1-D.access-mru-2.c5,110383
L1-D.access-mru-2.c8,36725
L1-D.access-mru-2.c9,30943
L1-D.access-mru-2.node0,302391
L1-D.access-mru-2.node1,267808
L1-D.access-mru-2.total,570199
L1-D.access-mru-3.c0,10755
L1-D.access-mru-3.c1,8464
L1-D.access-mru-3.c10,10081
L1-D.access-mru-3.c11,8357
L1-D.access-mru-3.c12,11676
L1-D.access-mru-3.c13,11550
L1-D.access-mru-3.c2,8506
L1-D.access-mru-3.c3,9035
L1-D.access-mru-3.c4,11494
L1-D.access-mru-3.c5,20639
L1-D.access-mru-3.c8,10000
L1-D.access-mru-3.c9,8419
L1-D.access-mru-3.node0,68893
L1-D.access-mru-3.node1,60083
L1-D.access-mru-3.total,128976
L1-D.access-mru-4.c0,37021
L1-D.access-mru-4.c1,31598
L1-D.access-mru-4.c10,37399
L1-D.access-mru-4.c11,31608
L1-D.access-mru-4.c12,10234
L1-D.access-mru-4.c13,10354
L1-D.access-mru-4.c2,31091
L1-D.access-mru-4.c3,30954
L1-D.access-mru-4.c4,10332
L1-D.access-mru-4.c5,16020
L1-D.access-mru-4.c8,37902
L1-D.access-mru-4.c9,31125
L1-D.access-mru-4.node0,157016
L1-D.access-mru-4.node1,158622
L1-D.access-mru-4.total,315638
L1-D.access-mru-5.c0,111990
L1-D.access-mru-5.c1,95836
L1-D.access-mru-5.c10,111598
L1-D.access-mru-5.c11,95928
L1-D.access-mru-5.c12,5105
L1-D.access-mru-5.c13,5116
L1-D.access-mru-5.c2,93124
L1-D.access-mru-5.c3,93834
L1-D.access-mru-5.c4,5015
L1-D.access-mru-5.c5,7418
L1-D.access-mru-5.c8,114898
L1-D.access-mru-5.c9,93256
L1-D.access-mru-5.node0,407217
L1-D.access-mru-5.node1,425901
L1-D.access-mru-5.total,833118
L1-D.access-mru-6.c0,131373
L1-D.access-mru-6.c1,106689
L1-D.access-mru-6.c10,133446
L1-D.access-mru-6.c11,106398
L1-D.access-mru-6.c12,36799
L1-D.access-mru-6.c13,36651
L1-D.access-mru-6.c2,110960
L1-D.access-mru-6.c3,109619
L1-D.access-mru-6.c4,36715
L1-D.access-mru-6.c5,42137
L1-D.access-mru-6.c8,127709
L1-D.access-mru-6.c9,110961
L1-D.access-mru-6.node0,537493
L1-D.access-mru-6.node1,551964
L1-D.access-mru-6.total,1089457
L1-D.access-mru-7.c0,221994
L1-D.access-mru-7.c1,184138
L1-D.access-mru-7.c10,218762
L1-D.access-mru-7.c11,183778
L1-D.access-mru-7.c12,72471
L1-D.access-mru-7.c13,72338
L1-D.access-mru-7.c2,181847
L1-D.access-mru-7.c3,185551
L1-D.access-mru-7.c4,72384
L1-D.access-mru-7.c5,88408
