                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    5550198 |    5473897 |    6297715 |    6330449 |    4699179 |    4740214 |          0 |          0 |    5356336 |    5204599 |    5181975 |    5511473 |    5633453 |    5573392 |          0 |          0
  Cycles                             |    4761510 |    4761510 |    4761510 |    4761510 |    3612180 |    3612180 |    3612180 |    3612180 |    4761510 |    4761510 |    4761510 |    4761510 |    3612180 |    3612180 |    3612180 |    3612180
  IPC                                |       1.17 |       1.15 |       1.32 |       1.33 |       1.30 |       1.31 |       0.00 |       0.00 |       1.12 |       1.09 |       1.09 |       1.16 |       1.56 |       1.54 |       0.00 |       0.00
  Time (ns)                          |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900 |    1641900
  Idle time (ns)                     |     461773 |     460266 |     464803 |     463289 |     459523 |        356 |    1641900 |    1641900 |     458759 |     457987 |     455692 |     461027 |     464046 |     462538 |    1641900 |    1641900
  Idle time (%)                      |      28.1% |      28.0% |      28.3% |      28.2% |      28.0% |       0.0% |     100.0% |     100.0% |      27.9% |      27.9% |      27.8% |      28.1% |      28.3% |      28.2% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     894549 |     872274 |    1324785 |    1329923 |     622288 |     387207 |          0 |          0 |     754722 |     709216 |     701409 |     884254 |    1135970 |    1106292 |          0 |          0
  num incorrect                      |       4047 |       3981 |       3336 |       3594 |       4355 |      21027 |          0 |          0 |       4803 |       4847 |       4742 |       3958 |       3276 |       3710 |          0 |          0
  misprediction rate                 |      0.45% |      0.45% |      0.25% |      0.27% |      0.69% |      5.15% |      0.00% |      0.00% |      0.63% |      0.68% |      0.67% |      0.45% |      0.29% |      0.33% |      0.00% |      0.00%
  mpki                               |       0.73 |       0.73 |       0.53 |       0.57 |       0.93 |       4.44 |       0.00 |       0.00 |       0.90 |       0.93 |       0.92 |       0.72 |       0.58 |       0.67 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     334618 |     335915 |     230061 |     234940 |     347435 |     521756 |          0 |          0 |     370730 |     371495 |     372919 |     334617 |     230548 |     237642 |          0 |          0
    num misses                       |         35 |         28 |         36 |         35 |         35 |        266 |          0 |          0 |         35 |         35 |         35 |         35 |         28 |         35 |          0 |          0
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.05% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.06 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1962877 |    1951317 |    1704959 |    1717867 |    1887895 |    2430432 |          0 |          0 |    2074024 |    2056876 |    2054900 |    1954914 |    1607256 |    1620828 |          0 |          0
    num misses                       |        302 |        390 |        152 |        207 |        461 |       2254 |          0 |          0 |        441 |        440 |        388 |        372 |        202 |        274 |          0 |          0
    miss rate                        |      0.02% |      0.02% |      0.01% |      0.01% |      0.02% |      0.09% |      0.00% |      0.00% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.02% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.07 |       0.02 |       0.03 |       0.10 |       0.48 |       0.00 |       0.00 |       0.08 |       0.08 |       0.07 |       0.07 |       0.04 |       0.05 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        337 |        418 |        188 |        242 |        496 |       2520 |          0 |          0 |        476 |        475 |        423 |        407 |        230 |        309 |          0 |          0
    num misses                       |        166 |        170 |        142 |        155 |        179 |        603 |          0 |          0 |        180 |        175 |        169 |        171 |        138 |        154 |          0 |          0
    miss rate                        |     49.26% |     40.67% |     75.53% |     64.05% |     36.09% |     23.93% |      0.00% |      0.00% |     37.82% |     36.84% |     39.95% |     42.01% |     60.00% |     49.84% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.03 |       0.02 |       0.02 |       0.04 |       0.13 |       0.00 |       0.00 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     334618 |     335915 |     230061 |     234940 |     347435 |     521756 |          0 |          0 |     370730 |     371495 |     372919 |     334617 |     230548 |     237642 |          0 |          0
    num cache misses                 |        444 |        374 |        455 |        449 |        453 |       7262 |          0 |          0 |        440 |        460 |        463 |        456 |        371 |        448 |          0 |          0
