metric,value
timestamp,2026-07-11T09:21:28
workload,MG
strategy,Packed
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/MG_S_Packed_12TH_20260711_032936
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,1.5925
total_instructions,64724413
avg_ipc,1.6047
avg_ipc_p,0.8911
avg_ipc_e,3.0321
total_power_W,23.7156
dynamic_W,18.805
leakage_W,4.8
dram_W,0.1105
energy_J,0.037767
node0_reads,22587
node1_reads,4880
node0_pct,82.2332
node0_writes,43
node1_writes,9
dram_local,6740
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.8137
l2_miss_pct,31.2205
l3_miss_pct,6.1209
l1d_mpki,5.4492
l2_mpki,1.7013
l3_mpki,0.1041
l3_miss_count,6740
cpi_base_frac,0.8599
cpi_branch_frac,0.0471
cpi_l2_frac,0.0
cpi_l3_frac,0.0837
cpi_dram_local_frac,0.0092
cpi_dram_remote_frac,0.0
futex_wake_count,517
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,104.9239
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2227801
L1-D.access-mru-0.c1,1902330
L1-D.access-mru-0.c10,1599081
L1-D.access-mru-0.c11,1595270
L1-D.access-mru-0.c2,1871473
L1-D.access-mru-0.c3,1875478
L1-D.access-mru-0.c4,1731120
L1-D.access-mru-0.c5,1685730
L1-D.access-mru-0.c6,1686180
L1-D.access-mru-0.c7,1717871
L1-D.access-mru-0.c8,1606165
L1-D.access-mru-0.c9,1609955
L1-D.access-mru-0.node0,14697983
L1-D.access-mru-0.node1,6410471
L1-D.access-mru-0.total,21108454
L1-D.access-mru-1.c0,102887
L1-D.access-mru-1.c1,76532
L1-D.access-mru-1.c10,51570
L1-D.access-mru-1.c11,47747
L1-D.access-mru-1.c2,86607
L1-D.access-mru-1.c3,76978
L1-D.access-mru-1.c4,91733
L1-D.access-mru-1.c5,103988
L1-D.access-mru-1.c6,99093
L1-D.access-mru-1.c7,90008
L1-D.access-mru-1.c8,49997
L1-D.access-mru-1.c9,47678
L1-D.access-mru-1.node0,727826
L1-D.access-mru-1.node1,196992
L1-D.access-mru-1.total,924818
L1-D.access-mru-2.c0,31147
L1-D.access-mru-2.c1,19188
L1-D.access-mru-2.c10,13346
L1-D.access-mru-2.c11,12844
L1-D.access-mru-2.c2,20569
L1-D.access-mru-2.c3,18920
L1-D.access-mru-2.c4,9675
L1-D.access-mru-2.c5,9638
