                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   25942226 |   25193110 |   25251325 |   26287449 |   25567258 |   24985199 |   24663408 |   24200548 |   26292379 |   25386759 |   25510663 |   25515259 |   25692322 |   25373552 |   23882968 |   24748695
  Cycles                             |   24934200 |   24934200 |   24934200 |   24934200 |   18915600 |   18915600 |   18915600 |   18915600 |   24934200 |   24934200 |   24934200 |   24934200 |   18915600 |   18915600 |   18915600 |   18915600
  IPC                                |       1.04 |       1.01 |       1.01 |       1.05 |       1.35 |       1.32 |       1.30 |       1.28 |       1.05 |       1.02 |       1.02 |       1.02 |       1.36 |       1.34 |       1.26 |       1.31
  Time (ns)                          |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000 |    8598000
  Idle time (ns)                     |     350655 |     685288 |     601801 |     518746 |     423470 |     424955 |     426441 |     427927 |     725474 |     642962 |     559957 |     477045 |     424197 |     425683 |     428169 |     452619
  Idle time (%)                      |       4.1% |       8.0% |       7.0% |       6.0% |       4.9% |       4.9% |       5.0% |       5.0% |       8.4% |       7.5% |       6.5% |       5.5% |       4.9% |       5.0% |       5.0% |       5.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4567970 |    4616115 |    4584517 |    4985463 |    4728390 |    4539857 |    4381348 |    4243430 |    4917067 |    4570714 |    4656059 |    4629035 |    4701040 |    4594926 |    4051884 |    4492839
  num incorrect                      |     137091 |     124940 |     126221 |     130160 |     132758 |     135168 |     132085 |     130029 |     119652 |     125447 |     128494 |     132838 |     131369 |     130211 |     134420 |     121800
  misprediction rate                 |      2.91% |      2.64% |      2.68% |      2.54% |      2.73% |      2.89% |      2.93% |      2.97% |      2.38% |      2.67% |      2.69% |      2.79% |      2.72% |      2.76% |      3.21% |      2.64%
  mpki                               |       5.28 |       4.96 |       5.00 |       4.95 |       5.19 |       5.41 |       5.36 |       5.37 |       4.55 |       4.94 |       5.04 |       5.21 |       5.11 |       5.13 |       5.63 |       4.92
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     939118 |     752717 |     771788 |     731893 |     770382 |     793112 |     824306 |     875128 |     735579 |     784361 |     773528 |     806007 |     801982 |     842023 |     901600 |     762983
    num misses                       |        350 |         29 |         29 |         29 |         29 |         29 |         29 |         29 |         29 |         29 |         29 |         29 |         29 |         29 |         29 |         29
    miss rate                        |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    9052476 |    8355310 |    8451263 |    8354074 |    8355139 |    8306605 |    8393818 |    8344945 |    8549506 |    8588199 |    8481320 |    8527865 |    8505438 |    8490429 |    8509302 |    8208426
    num misses                       |       4181 |        256 |        253 |        247 |        237 |        223 |       1896 |        256 |        231 |        236 |       3147 |        219 |        244 |        242 |        221 |       1495
    miss rate                        |      0.05% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.02% |      0.00% |      0.00% |      0.00% |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.02%
    mpki                             |       0.16 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.08 |       0.01 |       0.01 |       0.01 |       0.12 |       0.01 |       0.01 |       0.01 |       0.01 |       0.06
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4531 |        285 |        282 |        276 |        266 |        252 |       1925 |        285 |        260 |        265 |       3176 |        248 |        273 |        271 |        250 |       1524
    num misses                       |        632 |        173 |        178 |        174 |        172 |        172 |        174 |        173 |        172 |        176 |        176 |        173 |        173 |        174 |        174 |        173
    miss rate                        |     13.95% |     60.70% |     63.12% |     63.04% |     64.66% |     68.25% |      9.04% |     60.70% |     66.15% |     66.42% |      5.54% |     69.76% |     63.37% |     64.21% |     69.60% |     11.35%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     939118 |     752717 |     771788 |     731893 |     770382 |     793112 |     824306 |     875128 |     735579 |     784361 |     773528 |     806007 |     801982 |     842023 |     901600 |     762983
    num cache misses                 |      11863 |        308 |        307 |        309 |        310 |        313 |        318 |        312 |        312 |        311 |        309 |        310 |        314 |        312 |        312 |        313
    miss rate                        |      1.26% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04%
    mpki                             |       0.46 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    9052476 |    8355310 |    8451263 |    8354074 |    8355139 |    8306605 |    8393818 |    8344945 |    8549506 |    8588199 |    8481320 |    8527865 |    8505438 |    8490429 |    8509302 |    8208426
    num cache misses                 |     520433 |     486035 |     492449 |     468726 |     479469 |     482226 |     489226 |     489507 |     489199 |     503267 |     490516 |     492917 |     491496 |     490816 |     510547 |     470764
    miss rate                        |      5.75% |      5.82% |      5.83% |      5.61% |      5.74% |      5.81% |      5.83% |      5.87% |      5.72% |      5.86% |      5.78% |      5.78% |      5.78% |      5.78% |      6.00% |      5.74%
