                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4380528 |    4093359 |    4018646 |    4014121 |    3410309 |    3356292 |    3346745 |    3319722 |    3946572 |    3887848 |    3853870 |    3838781 |    3266305 |    3229528 |    3185847 |    3130860
  Cycles                             |    5616140 |    5616140 |    5616140 |    5616140 |    4260520 |    4260520 |    4260520 |    4260520 |    5616140 |    5616140 |    5616140 |    5616140 |    4260520 |    4260520 |    4260520 |    4260520
  IPC                                |       0.78 |       0.73 |       0.72 |       0.71 |       0.80 |       0.79 |       0.79 |       0.78 |       0.70 |       0.69 |       0.69 |       0.68 |       0.77 |       0.76 |       0.75 |       0.73
  Time (ns)                          |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600 |    1936600
  Idle time (ns)                     |        176 |     316497 |     319695 |     321405 |     329849 |     331559 |     333232 |     334945 |     323079 |     324789 |     326467 |     328170 |     336611 |     338319 |     339991 |     341699
  Idle time (%)                      |       0.0% |      16.3% |      16.5% |      16.6% |      17.0% |      17.1% |      17.2% |      17.3% |      16.7% |      16.8% |      16.9% |      16.9% |      17.4% |      17.5% |      17.6% |      17.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     549666 |     567907 |     551702 |     549543 |     399708 |     388479 |     385977 |     380085 |     539074 |     525980 |     517312 |     515495 |     371077 |     359708 |     351764 |     337077
  num incorrect                      |      11320 |        912 |        965 |       1031 |        983 |       1064 |       1180 |       1237 |        924 |        978 |       1043 |       1145 |       1645 |       1820 |       1864 |       2326
  misprediction rate                 |      2.02% |      0.16% |      0.17% |      0.19% |      0.25% |      0.27% |      0.30% |      0.32% |      0.17% |      0.19% |      0.20% |      0.22% |      0.44% |      0.50% |      0.53% |      0.69%
  mpki                               |       2.58 |       0.22 |       0.24 |       0.26 |       0.29 |       0.32 |       0.35 |       0.37 |       0.23 |       0.25 |       0.27 |       0.30 |       0.50 |       0.56 |       0.59 |       0.74
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
