metric,value
timestamp,2026-07-11T03:57:53
workload,LU
strategy,EPO
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/LU_S_EPO_16TH_20260711_032936
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,7.7069
total_instructions,623007557
avg_ipc,2.7258
avg_ipc_p,2.7015
avg_ipc_e,2.7502
total_power_W,56.8065
dynamic_W,51.1911
leakage_W,5.6
dram_W,0.0154
energy_J,0.437802
node0_reads,15322
node1_reads,3084
node0_pct,83.2446
node0_writes,108
node1_writes,53
dram_local,5706
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,0.5116
l2_miss_pct,60.3645
l3_miss_pct,1.5319
l1d_mpki,0.9904
l2_mpki,0.5979
l3_mpki,0.0092
l3_miss_count,5706
cpi_base_frac,0.9513
cpi_branch_frac,0.0084
cpi_l2_frac,0.0
cpi_l3_frac,0.0392
cpi_dram_local_frac,0.001
cpi_dram_remote_frac,0.0
futex_wake_count,505
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,18.9067
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,8880961
L1-D.access-mru-0.c1,8815643
L1-D.access-mru-0.c10,7964813
L1-D.access-mru-0.c11,7959702
L1-D.access-mru-0.c12,8845487
L1-D.access-mru-0.c13,8819443
L1-D.access-mru-0.c14,8696227
L1-D.access-mru-0.c15,8470132
L1-D.access-mru-0.c2,7998037
L1-D.access-mru-0.c3,8032001
L1-D.access-mru-0.c4,9675638
L1-D.access-mru-0.c5,9161849
L1-D.access-mru-0.c6,9080216
L1-D.access-mru-0.c7,9045123
L1-D.access-mru-0.c8,7963052
L1-D.access-mru-0.c9,7964713
L1-D.access-mru-0.node0,70689468
L1-D.access-mru-0.node1,66683569
L1-D.access-mru-0.total,137373037
L1-D.access-mru-1.c0,312616
L1-D.access-mru-1.c1,316911
L1-D.access-mru-1.c10,1394
L1-D.access-mru-1.c11,6133
L1-D.access-mru-1.c12,459905
L1-D.access-mru-1.c13,426205
L1-D.access-mru-1.c14,406237
L1-D.access-mru-1.c15,465513
L1-D.access-mru-1.c2,3932
L1-D.access-mru-1.c3,2739
L1-D.access-mru-1.c4,485862
L1-D.access-mru-1.c5,450055
L1-D.access-mru-1.c6,469790
L1-D.access-mru-1.c7,397162
L1-D.access-mru-1.c8,6132
L1-D.access-mru-1.c9,2818
L1-D.access-mru-1.node0,2439067
L1-D.access-mru-1.node1,1774337
L1-D.access-mru-1.total,4213404
L1-D.access-mru-2.c0,116944
L1-D.access-mru-2.c1,117060
L1-D.access-mru-2.c10,83
L1-D.access-mru-2.c11,85
L1-D.access-mru-2.c12,142892
L1-D.access-mru-2.c13,142980
L1-D.access-mru-2.c14,144578
L1-D.access-mru-2.c15,143904
L1-D.access-mru-2.c2,2060
L1-D.access-mru-2.c3,3247
L1-D.access-mru-2.c4,161456
L1-D.access-mru-2.c5,154986
L1-D.access-mru-2.c6,131116
L1-D.access-mru-2.c7,135507
L1-D.access-mru-2.c8,86
L1-D.access-mru-2.c9,133
L1-D.access-mru-2.node0,822376
L1-D.access-mru-2.node1,574741
L1-D.access-mru-2.total,1397117
L1-D.access-mru-3.c0,68371
L1-D.access-mru-3.c1,77615
L1-D.access-mru-3.c10,41
L1-D.access-mru-3.c11,26
L1-D.access-mru-3.c12,101403
L1-D.access-mru-3.c13,84011
L1-D.access-mru-3.c14,93277
L1-D.access-mru-3.c15,88049
L1-D.access-mru-3.c2,3791
L1-D.access-mru-3.c3,7103
L1-D.access-mru-3.c4,99467
L1-D.access-mru-3.c5,93572
L1-D.access-mru-3.c6,97523
L1-D.access-mru-3.c7,87341
L1-D.access-mru-3.c8,25
L1-D.access-mru-3.c9,37
L1-D.access-mru-3.node0,534783
L1-D.access-mru-3.node1,366869
L1-D.access-mru-3.total,901652
L1-D.access-mru-4.c0,31666
L1-D.access-mru-4.c1,37575
L1-D.access-mru-4.c10,6
L1-D.access-mru-4.c11,6
L1-D.access-mru-4.c12,45605
L1-D.access-mru-4.c13,38615
L1-D.access-mru-4.c14,35909
L1-D.access-mru-4.c15,42888
L1-D.access-mru-4.c2,2214
L1-D.access-mru-4.c3,3083
L1-D.access-mru-4.c4,49379
