metric,value
timestamp,2026-07-11T09:19:20
workload,IS
strategy,Scatter
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/IS_S_Scatter_2TH_20260711_032936
cpu_map,"[0, 8]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,10.1637
total_instructions,36862282
avg_ipc,0.4534
avg_ipc_p,0.4613
avg_ipc_e,0.4454
total_power_W,1.4339
dynamic_W,0.9226
leakage_W,0.5
dram_W,0.0113
energy_J,0.014574
node0_reads,13671
node1_reads,4294
node0_pct,76.098
node0_writes,0
node1_writes,0
dram_local,6581
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.4202
l2_miss_pct,8.6343
l3_miss_pct,57.0871
l1d_mpki,3.622
l2_mpki,0.3127
l3_mpki,0.1785
l3_miss_count,6581
cpi_base_frac,0.9805
cpi_branch_frac,0.0121
cpi_l2_frac,0.0001
cpi_l3_frac,0.0024
cpi_dram_local_frac,0.0049
cpi_dram_remote_frac,0.0
futex_wake_count,54
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.8794
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,6200069
L1-D.access-mru-0.c8,5895099
L1-D.access-mru-0.node0,6200069
L1-D.access-mru-0.node1,5895099
L1-D.access-mru-0.total,12095168
L1-D.access-mru-1.c0,227868
L1-D.access-mru-1.c8,202699
L1-D.access-mru-1.node0,227868
L1-D.access-mru-1.node1,202699
L1-D.access-mru-1.total,430567
L1-D.access-mru-2.c0,76978
L1-D.access-mru-2.c8,73437
L1-D.access-mru-2.node0,76978
L1-D.access-mru-2.node1,73437
L1-D.access-mru-2.total,150415
L1-D.access-mru-3.c0,46967
L1-D.access-mru-3.c8,46753
L1-D.access-mru-3.node0,46967
L1-D.access-mru-3.node1,46753
L1-D.access-mru-3.total,93720
L1-D.access-mru-4.c0,30174
L1-D.access-mru-4.c8,30727
L1-D.access-mru-4.node0,30174
L1-D.access-mru-4.node1,30727
L1-D.access-mru-4.total,60901
L1-D.access-mru-5.c0,17778
L1-D.access-mru-5.c8,18374
L1-D.access-mru-5.node0,17778
L1-D.access-mru-5.node1,18374
L1-D.access-mru-5.total,36152
L1-D.access-mru-6.c0,9947
L1-D.access-mru-6.c8,10413
L1-D.access-mru-6.node0,9947
L1-D.access-mru-6.node1,10413
L1-D.access-mru-6.total,20360
L1-D.access-mru-7.c0,5816
L1-D.access-mru-7.c8,6080
L1-D.access-mru-7.node0,5816
L1-D.access-mru-7.node1,6080
L1-D.access-mru-7.total,11896
L1-D.coherency-downgrades.c0,86079
L1-D.coherency-downgrades.c8,85740
L1-D.coherency-downgrades.node0,86079
L1-D.coherency-downgrades.node1,85740
L1-D.coherency-downgrades.total,171819
L1-D.coherency-invalidates.c0,20278
L1-D.coherency-invalidates.c8,21111
L1-D.coherency-invalidates.node0,20278
L1-D.coherency-invalidates.node1,21111
L1-D.coherency-invalidates.total,41389
L1-D.coherency-writebacks.c0,75415
L1-D.coherency-writebacks.c8,76535
L1-D.coherency-writebacks.node0,75415
L1-D.coherency-writebacks.node1,76535
L1-D.coherency-writebacks.total,151950
L1-D.evict-E.c0,5501
L1-D.evict-E.c8,6
L1-D.evict-E.node0,5501
L1-D.evict-E.node1,6
L1-D.evict-E.total,5507
L1-D.evict-M.c0,102120
L1-D.evict-M.c8,94930
L1-D.evict-M.node0,102120
L1-D.evict-M.node1,94930
L1-D.evict-M.total,197050
L1-D.evict-S.c0,17935
L1-D.evict-S.c8,17781
L1-D.evict-S.node0,17935
L1-D.evict-S.node1,17781
L1-D.evict-S.total,35716
L1-D.load-misses-I.c0,169285
L1-D.load-misses-I.c8,160587
L1-D.load-misses-I.node0,169285
L1-D.load-misses-I.node1,160587
L1-D.load-misses-I.total,329872
L1-D.load-misses-S.c0,2
L1-D.load-misses-S.c8,11
L1-D.load-misses-S.node0,2
L1-D.load-misses-S.node1,11
L1-D.load-misses-S.total,13
L1-D.load-misses.c0,169287
L1-D.load-misses.c8,160598
L1-D.load-misses.node0,169287
L1-D.load-misses.node1,160598
L1-D.load-misses.total,329885
L1-D.loads-E.c0,68392
L1-D.loads-E.c8,106
L1-D.loads-E.node0,68392
L1-D.loads-E.node1,106
L1-D.loads-E.total,68498
L1-D.loads-I.c0,169285
L1-D.loads-I.c8,160587
L1-D.loads-I.node0,169285
L1-D.loads-I.node1,160587
L1-D.loads-I.total,329872
L1-D.loads-M.c0,3549931
L1-D.loads-M.c8,3389879
L1-D.loads-M.node0,3549931
L1-D.loads-M.node1,3389879
L1-D.loads-M.total,6939810
L1-D.loads-S.c0,1126224
L1-D.loads-S.c8,1133095
L1-D.loads-S.node0,1126224
L1-D.loads-S.node1,1133095
L1-D.loads-S.total,2259319
L1-D.loads-where-L1.c0,4744545
L1-D.loads-where-L1.c8,4523069
L1-D.loads-where-L1.node0,4744545
L1-D.loads-where-L1.node1,4523069
L1-D.loads-where-L1.total,9267614
L1-D.loads-where-L2.c0,62204
L1-D.loads-where-L2.c8,59782
L1-D.loads-where-L2.node0,62204
L1-D.loads-where-L2.node1,59782
L1-D.loads-where-L2.total,121986
L1-D.loads-where-L3.c0,2470
L1-D.loads-where-L3.c8,2477
L1-D.loads-where-L3.node0,2470
L1-D.loads-where-L3.node1,2477
L1-D.loads-where-L3.total,4947
L1-D.loads-where-cache-remote.c0,98055
L1-D.loads-where-cache-remote.c8,98316
L1-D.loads-where-cache-remote.node0,98055
L1-D.loads-where-cache-remote.node1,98316
L1-D.loads-where-cache-remote.total,196371
L1-D.loads-where-dram-local.c0,6558
L1-D.loads-where-dram-local.c8,23
L1-D.loads-where-dram-local.node0,6558
L1-D.loads-where-dram-local.node1,23
L1-D.loads-where-dram-local.total,6581
L1-D.loads.c0,4913832
L1-D.loads.c8,4683667
L1-D.loads.node0,4913832
L1-D.loads.node1,4683667
L1-D.loads.total,9597499
L1-D.store-misses-E.c0,1870
L1-D.store-misses-E.c8,9
L1-D.store-misses-E.node0,1870
L1-D.store-misses-E.node1,9
L1-D.store-misses-E.total,1879
L1-D.store-misses-I.c0,51557
L1-D.store-misses-I.c8,49149
L1-D.store-misses-I.node0,51557
L1-D.store-misses-I.node1,49149
L1-D.store-misses-I.total,100706
L1-D.store-misses-S.c0,149195
L1-D.store-misses-S.c8,148611
L1-D.store-misses-S.node0,149195
L1-D.store-misses-S.node1,148611
L1-D.store-misses-S.total,297806
L1-D.store-misses.c0,202622
L1-D.store-misses.c8,197769
L1-D.store-misses.node0,202622
L1-D.store-misses.node1,197769
L1-D.store-misses.total,400391
L1-D.stores-E.c0,1870
L1-D.stores-E.c8,9
L1-D.stores-E.node0,1870
L1-D.stores-E.node1,9
L1-D.stores-E.total,1879
L1-D.stores-I.c0,51557
L1-D.stores-I.c8,49149
L1-D.stores-I.node0,51557
L1-D.stores-I.node1,49149
L1-D.stores-I.total,100706
L1-D.stores-M.c0,1871052
L1-D.stores-M.c8,1760513
L1-D.stores-M.node0,1871052
L1-D.stores-M.node1,1760513
L1-D.stores-M.total,3631565
L1-D.stores-S.c0,149195
L1-D.stores-S.c8,148611
L1-D.stores-S.node0,149195
L1-D.stores-S.node1,148611
