                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  3938536475 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |   897399678 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  5095494300 |  5095494300 |  5095494300 |  5095494300 |  3865547400 |  3865547400 |  3865547400 |  3865547400 |  5095494300 |  5095494300 |  5095494300 |  5095494300 |  3865547400 |  3865547400 |  3865547400 |  3865547400
  IPC                                |        0.77 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.18 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000
  Idle time (ns)                     |   341048940 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1416039404 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000 |  1757067000
  Idle time (%)                      |       19.4% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |       80.6% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   169677293 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |    17365233 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |     5998935 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |      586258 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       3.41% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       3.27% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
