                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |          0 |          0 |          0 |          0 |  112259671 |  113322903 |  112966274 |  112444836 |          0 |          0 |          0 |          0 |  112089066 |  112104858 |  112309699 |  112545565
  Cycles                             |   60655820 |   60655820 |   60655820 |   60655820 |   46014760 |   46014760 |   46014760 |   46014760 |   60655820 |   60655820 |   60655820 |   60655820 |   46014760 |   46014760 |   46014760 |   46014760
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       2.44 |       2.46 |       2.46 |       2.44 |       0.00 |       0.00 |       0.00 |       0.00 |       2.44 |       2.44 |       2.44 |       2.45
  Time (ns)                          |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800 |   20915800
  Idle time (ns)                     |   20915800 |   20915800 |   20915800 |   20915800 |        364 |     323823 |     325183 |     326261 |   20915800 |   20915800 |   20915800 |   20915800 |     327296 |     328296 |     329324 |     330416
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |       0.0% |       1.5% |       1.6% |       1.6% |     100.0% |     100.0% |     100.0% |     100.0% |       1.6% |       1.6% |       1.6% |       1.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |     724653 |    1345493 |   19094581 |   18920954 |          0 |          0 |          0 |          0 |   19015427 |   19020690 |   19325734 |   19404415
  num incorrect                      |          0 |          0 |          0 |          0 |      13048 |       5228 |       3881 |       3820 |          0 |          0 |          0 |          0 |       3697 |       3698 |       3134 |       3074
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      1.77% |      0.39% |      0.02% |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.12 |       0.05 |       0.03 |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |          0 |          0 |          0 |          0 |   10655535 |   10472896 |    5345233 |    5345233 |          0 |          0 |          0 |          0 |    5274946 |    5274946 |    5210776 |    5210777
    num misses                       |          0 |          0 |          0 |          0 |        233 |         38 |         38 |         38 |          0 |          0 |          0 |          0 |         38 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |          0 |          0 |          0 |          0 |   51716780 |   51453201 |   35446692 |   35359568 |          0 |          0 |          0 |          0 |   35091608 |   35094240 |   34901388 |   34940700
    num misses                       |          0 |          0 |          0 |          0 |       5545 |       5211 |       2315 |       1768 |          0 |          0 |          0 |          0 |       1008 |       6105 |       5424 |       2776
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.05 |       0.05 |       0.02 |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.05 |       0.05 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |          0 |          0 |          0 |          0 |       5778 |       5249 |       2353 |       1806 |          0 |          0 |          0 |          0 |       1046 |       6143 |       5462 |       2814
    num misses                       |          0 |          0 |          0 |          0 |        623 |        151 |        131 |        130 |          0 |          0 |          0 |          0 |        130 |        131 |        130 |        127
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |     10.78% |      2.88% |      5.57% |      7.20% |      0.00% |      0.00% |      0.00% |      0.00% |     12.43% |      2.13% |      2.38% |      4.51%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |   10655535 |   10472896 |    5345233 |    5345233 |          0 |          0 |          0 |          0 |    5274946 |    5274946 |    5210776 |    5210777
    num cache misses                 |          0 |          0 |          0 |          0 |      76372 |      56870 |      56420 |      56359 |          0 |          0 |          0 |          0 |      56296 |      56296 |      54098 |      54099
    miss rate                        |       inf% |       inf% |       inf% |       inf% |      0.72% |      0.54% |      1.06% |      1.05% |       inf% |       inf% |       inf% |       inf% |      1.07% |      1.07% |      1.04% |      1.04%
    mpki                             |        inf |        inf |        inf |        inf |       0.68 |       0.50 |       0.50 |       0.50 |        inf |        inf |        inf |        inf |       0.50 |       0.50 |       0.48 |       0.48
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |   51716780 |   51453201 |   35446692 |   35359568 |          0 |          0 |          0 |          0 |   35091608 |   35094240 |   34901388 |   34940700
    num cache misses                 |          0 |          0 |          0 |          0 |     335368 |     293718 |     165288 |     162357 |          0 |          0 |          0 |          0 |     138201 |     147190 |     127533 |     121065
    miss rate                        |       inf% |       inf% |       inf% |       inf% |      0.65% |      0.57% |      0.47% |      0.46% |       inf% |       inf% |       inf% |       inf% |      0.39% |      0.42% |      0.37% |      0.35%
    mpki                             |        inf |        inf |        inf |        inf |       2.99 |       2.59 |       1.46 |       1.44 |        inf |        inf |        inf |        inf |       1.23 |       1.31 |       1.14 |       1.08
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |     433786 |     371790 |     230386 |     227365 |          0 |          0 |          0 |          0 |     209506 |     213100 |     194687 |     187312
    num cache misses                 |          0 |          0 |          0 |          0 |      83234 |      62544 |      43920 |      47978 |          0 |          0 |          0 |          0 |      58561 |      59753 |      54461 |      50483
    miss rate                        |       inf% |       inf% |       inf% |       inf% |     19.19% |     16.82% |     19.06% |     21.10% |       inf% |       inf% |       inf% |       inf% |     27.95% |     28.04% |     27.97% |     26.95%
    mpki                             |        inf |        inf |        inf |        inf |       0.74 |       0.55 |       0.39 |       0.43 |        inf |        inf |        inf |        inf |       0.52 |       0.53 |       0.48 |       0.45
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |     118568 |     103754 |      73652 |      73129 |          0 |          0 |          0 |          0 |      84027 |      78969 |      77247 |      65817
    num cache misses                 |          0 |          0 |          0 |          0 |      33134 |      14817 |       8328 |      20381 |          0 |          0 |          0 |          0 |      41362 |      12466 |      15515 |      18289
    miss rate                        |       inf% |       inf% |       inf% |       inf% |     27.95% |     14.28% |     11.31% |     27.87% |       inf% |       inf% |       inf% |       inf% |     49.22% |     15.79% |     20.08% |     27.79%
    mpki                             |        inf |        inf |        inf |        inf |       0.30 |       0.13 |       0.07 |       0.18 |        inf |        inf |        inf |        inf |       0.37 |       0.11 |       0.14 |       0.16
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      16650 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |       2273 |          0 |          0 |          0 |          0 |          0 |          0 |          0
