metric,value
timestamp,2026-07-11T09:29:01
workload,IS
strategy,Packed
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/IS_S_Packed_8TH_20260711_032936
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7]"
p_core_count,4
e_core_count,4
node0_threads,8
node1_threads,0
sim_time_ms,3.2334
total_instructions,45849603
avg_ipc,1.0398
avg_ipc_p,0.4885
avg_ipc_e,1.5911
total_power_W,9.1316
dynamic_W,6.2944
leakage_W,2.8
dram_W,0.0372
energy_J,0.029526
node0_reads,18785
node1_reads,0
node0_pct,100.0
node0_writes,12
node1_writes,0
dram_local,6792
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,3.0531
l2_miss_pct,67.8339
l3_miss_pct,2.8802
l1d_mpki,7.5822
l2_mpki,5.1433
l3_mpki,0.1481
l3_miss_count,6792
cpi_base_frac,0.7259
cpi_branch_frac,0.0091
cpi_l2_frac,0.0002
cpi_l3_frac,0.2611
cpi_dram_local_frac,0.0036
cpi_dram_remote_frac,0.0
futex_wake_count,54
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,8.1473
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2085886
L1-D.access-mru-0.c1,1809849
L1-D.access-mru-0.c2,1851757
L1-D.access-mru-0.c3,1845305
L1-D.access-mru-0.c4,1622865
L1-D.access-mru-0.c5,1610184
L1-D.access-mru-0.c6,1625521
L1-D.access-mru-0.c7,1577593
L1-D.access-mru-0.node0,14028960
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,14028960
L1-D.access-mru-1.c0,95734
L1-D.access-mru-1.c1,108054
L1-D.access-mru-1.c2,97981
L1-D.access-mru-1.c3,86693
L1-D.access-mru-1.c4,115598
L1-D.access-mru-1.c5,124526
L1-D.access-mru-1.c6,113582
L1-D.access-mru-1.c7,127369
L1-D.access-mru-1.node0,869537
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,869537
L1-D.access-mru-2.c0,22666
L1-D.access-mru-2.c1,23770
L1-D.access-mru-2.c2,22525
L1-D.access-mru-2.c3,21604
L1-D.access-mru-2.c4,31665
L1-D.access-mru-2.c5,29805
L1-D.access-mru-2.c6,29766
L1-D.access-mru-2.c7,28904
L1-D.access-mru-2.node0,210705
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,210705
L1-D.access-mru-3.c0,12690
L1-D.access-mru-3.c1,10809
L1-D.access-mru-3.c2,10901
L1-D.access-mru-3.c3,10393
L1-D.access-mru-3.c4,14171
L1-D.access-mru-3.c5,14530
L1-D.access-mru-3.c6,13166
L1-D.access-mru-3.c7,13004
L1-D.access-mru-3.node0,99664
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,99664
L1-D.access-mru-4.c0,7616
L1-D.access-mru-4.c1,6402
L1-D.access-mru-4.c2,6495
L1-D.access-mru-4.c3,6381
L1-D.access-mru-4.c4,9110
L1-D.access-mru-4.c5,9288
L1-D.access-mru-4.c6,9558
L1-D.access-mru-4.c7,9446
L1-D.access-mru-4.node0,64296
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,64296
L1-D.access-mru-5.c0,4320
L1-D.access-mru-5.c1,3761
L1-D.access-mru-5.c2,3626
L1-D.access-mru-5.c3,3536
L1-D.access-mru-5.c4,6368
L1-D.access-mru-5.c5,6351
L1-D.access-mru-5.c6,6864
L1-D.access-mru-5.c7,6653
L1-D.access-mru-5.node0,41479
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,41479
L1-D.access-mru-6.c0,2272
L1-D.access-mru-6.c1,1950
L1-D.access-mru-6.c2,2052
L1-D.access-mru-6.c3,1814
L1-D.access-mru-6.c4,4235
L1-D.access-mru-6.c5,4393
L1-D.access-mru-6.c6,4781
L1-D.access-mru-6.c7,4723
L1-D.access-mru-6.node0,26220
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,26220
L1-D.access-mru-7.c0,1423
L1-D.access-mru-7.c1,1137
L1-D.access-mru-7.c2,1190
L1-D.access-mru-7.c3,990
L1-D.access-mru-7.c4,2451
L1-D.access-mru-7.c5,2751
L1-D.access-mru-7.c6,3087
L1-D.access-mru-7.c7,3104
L1-D.access-mru-7.node0,16133
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,16133
L1-D.coherency-downgrades.c0,46897
L1-D.coherency-downgrades.c1,38560
L1-D.coherency-downgrades.c2,38562
L1-D.coherency-downgrades.c3,38954
L1-D.coherency-downgrades.c4,33821
L1-D.coherency-downgrades.c5,31936
L1-D.coherency-downgrades.c6,33086
L1-D.coherency-downgrades.c7,32908
L1-D.coherency-downgrades.node0,294724
L1-D.coherency-downgrades.node1,0
