                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  485521879 |   44553281 |   63427940 |   82301909 |  101183437 |  120064455 |  138936517 |  157810361 |  176671067 |  195551536 |  214425394 |  233297888 |  252176490 |  271054033 |  289927227 |  306999604
  Cycles                             |  652220800 |  652220800 |  652220800 |  652220800 |  859745600 |  859745600 |  859745600 |  859745600 |  652220800 |  652220800 |  652220800 |  652220800 |  859745600 |  859745600 |  859745600 |  859745600
  IPC                                |       0.74 |       0.07 |       0.10 |       0.13 |       0.12 |       0.14 |       0.16 |       0.18 |       0.27 |       0.30 |       0.33 |       0.36 |       0.29 |       0.32 |       0.34 |       0.36
  Time (ns)                          |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000 |  296464000
  Idle time (ns)                     |   68786891 |  279309135 |  274466896 |  269596703 |  267781691 |  262958055 |  258213185 |  253742711 |  246405896 |  241235833 |  236279690 |  231434038 |  229609891 |  224815736 |  220087066 |  215654736
  Idle time (%)                      |      23.2% |      94.2% |      92.6% |      90.9% |      90.3% |      88.7% |      87.1% |      85.6% |      83.1% |      81.4% |      79.7% |      78.1% |      77.4% |      75.8% |      74.2% |      72.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   75731328 |    7073003 |    9169796 |   11263588 |   13368749 |   15460535 |   17559062 |   19653939 |   21755377 |   23845728 |   25943249 |   28038544 |   30140877 |   32234792 |   34332832 |   35829458
  num incorrect                      |     422933 |     439622 |     439474 |     442092 |     437720 |     443459 |     441984 |     443759 |     436757 |     443408 |     442893 |     444286 |     441531 |     444636 |     443482 |     443420
  misprediction rate                 |      0.56% |      5.85% |      4.57% |      3.78% |      3.17% |      2.79% |      2.46% |      2.21% |      1.97% |      1.83% |      1.68% |      1.56% |      1.44% |      1.36% |      1.28% |      1.22%
  mpki                               |       0.87 |       9.87 |       6.93 |       5.37 |       4.33 |       3.69 |       3.18 |       2.81 |       2.47 |       2.27 |       2.07 |       1.90 |       1.75 |       1.64 |       1.53 |       1.44
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      43261 |    4194755 |    8389187 |   12583353 |   16777667 |   20971834 |   25166138 |   29360442 |   33554746 |   37749050 |   41943354 |   46137658 |   50331962 |   54526266 |   58720570 |   62914875
    num misses                       |        109 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.25% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   42397662 |    4806128 |    4806210 |    4805496 |    4807322 |    4807112 |    4807062 |    4806812 |    4805454 |    4805379 |    4805306 |    4805074 |    4806287 |    4806221 |    4806088 |    4505802
    num misses                       |   35337937 |    2069808 |    2077733 |    2084724 |    2080425 |    2086507 |    2088625 |    2083277 |    2075344 |    2084451 |    2084340 |    2087845 |    2088544 |    2089392 |    2089363 |    2083102
    miss rate                        |     83.35% |     43.07% |     43.23% |     43.38% |     43.28% |     43.40% |     43.45% |     43.34% |     43.19% |     43.38% |     43.38% |     43.45% |     43.45% |     43.47% |     43.47% |     46.23%
    mpki                             |      72.78 |      46.46 |      32.76 |      25.33 |      20.56 |      17.38 |      15.03 |      13.20 |      11.75 |      10.66 |       9.72 |       8.95 |       8.28 |       7.71 |       7.21 |       6.79
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35338046 |    2069824 |    2077749 |    2084740 |    2080441 |    2086523 |    2088641 |    2083293 |    2075360 |    2084467 |    2084356 |    2087861 |    2088560 |    2089408 |    2089379 |    2083118
