                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  236784962 |   28032518 |   37814555 |   47601867 |   57395216 |   67163303 |   76948058 |   86732567 |   96517608 |  106303332 |  116104693 |  123778919
  Cycles                             |  283749050 |  283749050 |  215257900 |  283749050 |  283749050 |  215257900 |  215257900 |  215257900 |  215257900 |  215257900 |  283749050 |  283749050
  IPC                                |       0.83 |       0.10 |       0.18 |       0.17 |       0.20 |       0.31 |       0.36 |       0.40 |       0.45 |       0.49 |       0.41 |       0.44
  Time (ns)                          |   97844500 |   97844500 |   97844500 |   97844500 |   97844500 |   97844500 |   97844500 |   97844500 |   97844500 |   97844500 |   97844500 |   97844500
  Idle time (ns)                     |   20973104 |   90026636 |   86153237 |   86130355 |   84174350 |   80540026 |   78960028 |   77303327 |   75408944 |   73361734 |   72954135 |   71179612
  Idle time (%)                      |      21.4% |      92.0% |      88.1% |      88.0% |      86.0% |      82.3% |      80.7% |      79.0% |      77.1% |      75.0% |      74.6% |      72.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   20948565 |    4014552 |    5411442 |    6809340 |    8209592 |    9602217 |   10999760 |   12397108 |   13794859 |   15192549 |   16595122 |   17389645
  num incorrect                      |       8679 |         63 |         28 |         89 |         61 |         80 |         80 |         89 |         79 |         90 |         61 |         62
  misprediction rate                 |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   37800107 |        154 |         75 |        312 |        154 |        233 |        233 |        312 |        233 |        314 |        154 |        159
    num misses                       |        115 |         16 |         10 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |     10.39% |     13.33% |      5.13% |     10.39% |      6.87% |      6.87% |      5.13% |      6.87% |      5.10% |     10.39% |     10.06%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
