metric,value
timestamp,2026-07-09T06:15:20
workload,dedup
strategy,AKARIN_a060_6
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/dedup_S_AKARIN_a060_6_12TH_20260708_223450
cpu_map,"[12, 1, 0, 13, 10, 15, 8, 6, 3, 14, 11, 9]"
p_core_count,7
e_core_count,5
node0_threads,4
node1_threads,8
sim_time_ms,154.9538
total_instructions,2282346586
avg_ipc,0.7969
avg_ipc_p,0.4398
avg_ipc_e,1.2967
total_power_W,13.1181
dynamic_W,8.589
leakage_W,4.5
dram_W,0.029
energy_J,2.032696
node0_reads,297692
node1_reads,297110
node0_pct,50.0489
node0_writes,76793
node1_writes,76825
dram_local,178571
dram_remote,356937
dram_remote_pct,66.6539
l1d_miss_pct,0.973
l2_miss_pct,9.2489
l3_miss_pct,77.7481
l1d_mpki,3.2629
l2_mpki,0.3018
l3_mpki,0.2346
l3_miss_count,535508
cpi_base_frac,0.8189
cpi_branch_frac,0.1615
cpi_l2_frac,0.0
cpi_l3_frac,0.0017
cpi_dram_local_frac,0.0063
cpi_dram_remote_frac,0.0116
futex_wake_count,445
futex_wait_count,392
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,45.9963
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4325028
L1-D.access-mru-0.c1,3013506
L1-D.access-mru-0.c10,217530732
L1-D.access-mru-0.c11,2421182
L1-D.access-mru-0.c2,170621810
L1-D.access-mru-0.c3,56572843
L1-D.access-mru-0.c4,56075320
L1-D.access-mru-0.c5,30188500
L1-D.access-mru-0.c6,31191790
L1-D.access-mru-0.c7,30267666
L1-D.access-mru-0.c8,221805646
L1-D.access-mru-0.c9,203093562
L1-D.access-mru-0.node0,425708628
L1-D.access-mru-0.node1,601398957
L1-D.access-mru-0.total,1027107585
L1-D.access-mru-1.c0,247167
L1-D.access-mru-1.c1,488961
L1-D.access-mru-1.c10,12068830
L1-D.access-mru-1.c11,57530
L1-D.access-mru-1.c2,1836995
L1-D.access-mru-1.c3,236086
L1-D.access-mru-1.c4,563192
L1-D.access-mru-1.c5,98677
L1-D.access-mru-1.c6,73388
L1-D.access-mru-1.c7,100082
L1-D.access-mru-1.c8,12162600
L1-D.access-mru-1.c9,12681284
L1-D.access-mru-1.node0,14588638
L1-D.access-mru-1.node1,26026154
L1-D.access-mru-1.total,40614792
L1-D.access-mru-2.c0,9477
L1-D.access-mru-2.c1,251
L1-D.access-mru-2.c10,2025149
L1-D.access-mru-2.c11,8526
L1-D.access-mru-2.c2,41841
L1-D.access-mru-2.c3,2508
L1-D.access-mru-2.c4,12103
L1-D.access-mru-2.c5,7681
L1-D.access-mru-2.c6,6500
L1-D.access-mru-2.c7,7830
L1-D.access-mru-2.c8,1837247
L1-D.access-mru-2.c9,2099241
L1-D.access-mru-2.node0,1887169
L1-D.access-mru-2.node1,4171185
L1-D.access-mru-2.total,6058354
L1-D.access-mru-3.c0,2967
L1-D.access-mru-3.c1,52
L1-D.access-mru-3.c10,779143
L1-D.access-mru-3.c11,2602
L1-D.access-mru-3.c2,8987
L1-D.access-mru-3.c3,671
L1-D.access-mru-3.c4,2686
L1-D.access-mru-3.c5,3312
L1-D.access-mru-3.c6,1657
L1-D.access-mru-3.c7,3526
L1-D.access-mru-3.c8,656862
L1-D.access-mru-3.c9,735939
L1-D.access-mru-3.node0,669427
L1-D.access-mru-3.node1,1528977
L1-D.access-mru-3.total,2198404
L1-D.access-mru-4.c0,1530
L1-D.access-mru-4.c1,20
L1-D.access-mru-4.c10,555953
L1-D.access-mru-4.c11,1781
L1-D.access-mru-4.c2,3244
L1-D.access-mru-4.c3,223
L1-D.access-mru-4.c4,986
L1-D.access-mru-4.c5,1304
L1-D.access-mru-4.c6,378
L1-D.access-mru-4.c7,1299
L1-D.access-mru-4.c8,485264
L1-D.access-mru-4.c9,483711
L1-D.access-mru-4.node0,489827
L1-D.access-mru-4.node1,1045866
L1-D.access-mru-4.total,1535693
L1-D.access-mru-5.c0,835
L1-D.access-mru-5.c1,2
L1-D.access-mru-5.c10,460403
L1-D.access-mru-5.c11,1452
L1-D.access-mru-5.c2,1275
L1-D.access-mru-5.c3,53
L1-D.access-mru-5.c4,405
L1-D.access-mru-5.c5,522
L1-D.access-mru-5.c6,110
L1-D.access-mru-5.c7,527
L1-D.access-mru-5.c8,430401
L1-D.access-mru-5.c9,385133
L1-D.access-mru-5.node0,432205
L1-D.access-mru-5.node1,848913
L1-D.access-mru-5.total,1281118
L1-D.access-mru-6.c0,594
L1-D.access-mru-6.c1,4
L1-D.access-mru-6.c10,405085
L1-D.access-mru-6.c11,1287
L1-D.access-mru-6.c2,529
L1-D.access-mru-6.c3,56
L1-D.access-mru-6.c4,161
L1-D.access-mru-6.c5,201
L1-D.access-mru-6.c6,95
L1-D.access-mru-6.c7,194
L1-D.access-mru-6.c8,399340
L1-D.access-mru-6.c9,328492
L1-D.access-mru-6.node0,400067
L1-D.access-mru-6.node1,735971
L1-D.access-mru-6.total,1136038
L1-D.access-mru-7.c0,533
L1-D.access-mru-7.c10,371277
L1-D.access-mru-7.c11,1026
L1-D.access-mru-7.c2,175
L1-D.access-mru-7.c3,43
L1-D.access-mru-7.c4,62
L1-D.access-mru-7.c5,61
L1-D.access-mru-7.c6,69
L1-D.access-mru-7.c7,68
L1-D.access-mru-7.c8,378714
L1-D.access-mru-7.c9,292184
L1-D.access-mru-7.node0,378957
L1-D.access-mru-7.node1,665255
L1-D.access-mru-7.total,1044212
L1-D.backinval-E.c0,94
L1-D.backinval-E.c1,64
L1-D.backinval-E.c2,51
L1-D.backinval-E.c3,16
L1-D.backinval-E.c5,3
L1-D.backinval-E.c7,1
L1-D.backinval-E.c9,3
L1-D.backinval-E.node0,116
L1-D.backinval-E.node1,116
L1-D.backinval-E.total,232
L1-D.backinval-M.c0,529
L1-D.backinval-M.c1,310
L1-D.backinval-M.c10,5
L1-D.backinval-M.c11,61
L1-D.backinval-M.c2,635
L1-D.backinval-M.c3,158
L1-D.backinval-M.c4,153
L1-D.backinval-M.c5,138
L1-D.backinval-M.c6,60
L1-D.backinval-M.c7,145
L1-D.backinval-M.c8,7
L1-D.backinval-M.c9,8
L1-D.backinval-M.node0,1097
L1-D.backinval-M.node1,1112
L1-D.backinval-M.total,2209
L1-D.backinval-S.c0,150
L1-D.backinval-S.c1,16
L1-D.backinval-S.c10,12
L1-D.backinval-S.c11,6
L1-D.backinval-S.c2,207
L1-D.backinval-S.c3,87
L1-D.backinval-S.c4,36
L1-D.backinval-S.c5,90
L1-D.backinval-S.c6,34
L1-D.backinval-S.c7,97
L1-D.backinval-S.c8,2
L1-D.backinval-S.c9,2
L1-D.backinval-S.node0,322
L1-D.backinval-S.node1,417
L1-D.backinval-S.total,739
L1-D.coherency-downgrades.c0,379
L1-D.coherency-downgrades.c1,813
L1-D.coherency-downgrades.c10,730
L1-D.coherency-downgrades.c11,1405
L1-D.coherency-downgrades.c2,12413
L1-D.coherency-downgrades.c3,13384
L1-D.coherency-downgrades.c4,6257
L1-D.coherency-downgrades.c5,641
L1-D.coherency-downgrades.c6,562
L1-D.coherency-downgrades.c7,581
L1-D.coherency-downgrades.c8,632
L1-D.coherency-downgrades.c9,636
