                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   57553920 |   57997406 |   68036813 |   67984266 |   67813155 |   68057298 |   59518491 |   59236434 |   58938721 |   69080635 |   72601752 |   72847588 |   73040342 |   62865021 |   62858560 |   62843299
  Cycles                             |   25322660 |   25322660 |   33379870 |   33379870 |   33379870 |   33379870 |   25322660 |   25322660 |   25322660 |   33379870 |   33379870 |   33379870 |   33379870 |   25322660 |   25322660 |   25322660
  IPC                                |       2.27 |       2.29 |       2.04 |       2.04 |       2.03 |       2.04 |       2.35 |       2.34 |       2.33 |       2.07 |       2.18 |       2.18 |       2.19 |       2.48 |       2.48 |       2.48
  Time (ns)                          |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300 |   11510300
  Idle time (ns)                     |        240 |     324521 |     325828 |     326909 |     327988 |     329017 |     330013 |     331081 |     332035 |     333053 |     334070 |     335088 |     336107 |     337125 |     338143 |     339209
  Idle time (%)                      |       0.0% |       2.8% |       2.8% |       2.8% |       2.8% |       2.9% |       2.9% |       2.9% |       2.9% |       2.9% |       2.9% |       2.9% |       2.9% |       2.9% |       2.9% |       2.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     506268 |     983902 |    4330927 |    4313232 |    4256371 |    4337690 |    1728107 |    1633915 |    1534760 |    4915632 |   23970406 |   24052353 |   24331062 |   20939261 |   20937107 |   20932018
  num incorrect                      |      11680 |       3861 |       3769 |       3760 |       3770 |       3833 |       3248 |       3270 |       3259 |       3204 |       1009 |       1007 |       1004 |       1004 |       1004 |       1005
  misprediction rate                 |      2.26% |      0.39% |      0.09% |      0.09% |      0.09% |      0.09% |      0.19% |      0.20% |      0.21% |      0.07% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.20 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.05 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5481760 |    5275534 |    5275343 |    5275490 |    5275343 |    5275343 |    5211173 |    5211173 |    5211173 |    5211173 |      81842 |      81842 |      11453 |      11453 |      11453 |      11454
    num misses                       |        223 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         31 |         31 |         31 |         31 |         31 |         31
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.04% |      0.04% |      0.27% |      0.27% |      0.27% |      0.27%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   26579178 |   26076507 |   27748992 |   27740541 |   27711721 |   27752410 |   26102394 |   26055635 |   26005903 |   27695970 |   12328728 |   12369700 |   12193378 |   10497477 |   10496401 |   10493858
    num misses                       |       5299 |       3675 |       1009 |        956 |       2411 |       1138 |       6832 |       1281 |       3080 |       4119 |         50 |         55 |         37 |         42 |         37 |         42
    miss rate                        |      0.02% |      0.01% |      0.00% |      0.00% |      0.01% |      0.00% |      0.03% |      0.00% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.09 |       0.06 |       0.01 |       0.01 |       0.04 |       0.02 |       0.11 |       0.02 |       0.05 |       0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       5522 |       3713 |       1047 |        994 |       2449 |       1176 |       6870 |       1319 |       3118 |       4157 |         81 |         86 |         68 |         73 |         68 |         73
    num misses                       |        585 |        146 |        133 |        133 |        134 |        134 |        131 |        130 |        132 |        128 |         78 |         83 |         62 |         62 |         62 |         62
    miss rate                        |     10.59% |      3.93% |     12.70% |     13.38% |      5.47% |     11.39% |      1.91% |      9.86% |      4.23% |      3.08% |     96.30% |     96.51% |     91.18% |     84.93% |     91.18% |     84.93%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5481760 |    5275534 |    5275343 |    5275490 |    5275343 |    5275343 |    5211173 |    5211173 |    5211173 |    5211173 |      81842 |      81842 |      11453 |      11453 |      11453 |      11454
    num cache misses                 |      76131 |      56888 |      56844 |      56844 |      56845 |      56845 |      54679 |      54704 |      54686 |      54646 |        222 |        222 |        146 |        146 |        146 |        147
    miss rate                        |      1.39% |      1.08% |      1.08% |      1.08% |      1.08% |      1.08% |      1.05% |      1.05% |      1.05% |      1.05% |      0.27% |      0.27% |      1.27% |      1.27% |      1.27% |      1.28%
    mpki                             |       1.32 |       0.98 |       0.84 |       0.84 |       0.84 |       0.84 |       0.92 |       0.92 |       0.93 |       0.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   26579178 |   26076507 |   27748992 |   27740541 |   27711721 |   27752410 |   26102394 |   26055635 |   26005903 |   27695970 |   12328728 |   12369700 |   12193378 |   10497477 |   10496401 |   10493858
    num cache misses                 |     201286 |     152591 |     114357 |     114741 |     114922 |     114153 |     119662 |     128143 |     126521 |      96721 |      12084 |       7421 |       3328 |       3354 |       3365 |       3448
    miss rate                        |      0.76% |      0.59% |      0.41% |      0.41% |      0.41% |      0.41% |      0.46% |      0.49% |      0.49% |      0.35% |      0.10% |      0.06% |      0.03% |      0.03% |      0.03% |      0.03%
