metric,value
timestamp,2026-07-09T21:46:26
workload,MG
strategy,EPO
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/MG_S_EPO_2TH_20260709_195844
cpu_map,"[4, 5]"
p_core_count,0
e_core_count,2
node0_threads,2
node1_threads,0
sim_time_ms,4.7149
total_instructions,35144266
avg_ipc,3.7269
avg_ipc_p,0.0
avg_ipc_e,3.7269
total_power_W,3.2309
dynamic_W,2.7952
leakage_W,0.4
dram_W,0.0358
energy_J,0.015234
node0_reads,26331
node1_reads,0
node0_pct,100.0
node0_writes,20
node1_writes,0
dram_local,5882
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,2.9761
l2_miss_pct,10.6308
l3_miss_pct,12.3134
l1d_mpki,12.7858
l2_mpki,1.3592
l3_mpki,0.1674
l3_miss_count,5882
cpi_base_frac,0.923
cpi_branch_frac,0.0382
cpi_l2_frac,0.0001
cpi_l3_frac,0.0263
cpi_dram_local_frac,0.0124
cpi_dram_remote_frac,0.0
futex_wake_count,500
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,28.5179
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,8377082
L1-D.access-mru-0.c1,7966051
L1-D.access-mru-0.node0,16343133
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,16343133
L1-D.access-mru-1.c0,566293
L1-D.access-mru-1.c1,619853
L1-D.access-mru-1.node0,1186146
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,1186146
L1-D.access-mru-2.c0,33278
L1-D.access-mru-2.c1,45687
L1-D.access-mru-2.node0,78965
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,78965
L1-D.access-mru-3.c0,9837
L1-D.access-mru-3.c1,4066
L1-D.access-mru-3.node0,13903
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,13903
L1-D.access-mru-4.c0,5426
L1-D.access-mru-4.c1,1763
L1-D.access-mru-4.node0,7189
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,7189
L1-D.access-mru-5.c0,4485
L1-D.access-mru-5.c1,2737
L1-D.access-mru-5.node0,7222
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,7222
L1-D.access-mru-6.c0,4634
L1-D.access-mru-6.c1,3576
L1-D.access-mru-6.node0,8210
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,8210
L1-D.access-mru-7.c0,6797
L1-D.access-mru-7.c1,4837
L1-D.access-mru-7.node0,11634
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,11634
L1-D.backinval-M.c0,42
L1-D.backinval-M.c1,9
L1-D.backinval-M.node0,51
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,51
L1-D.coherency-downgrades.c0,3449
L1-D.coherency-downgrades.c1,2513
L1-D.coherency-downgrades.node0,5962
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,5962
L1-D.coherency-invalidates,1
