                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   92669675 |   91699492 |   92370939 |   92336071 |   92269057 |   92258091 |   92271541 |   92247896
  Cycles                             |   37398900 |   37398900 |   37398900 |   37398900 |   37398900 |   37398900 |   37398900 |   37398900
  IPC                                |       2.48 |       2.45 |       2.47 |       2.47 |       2.47 |       2.47 |       2.47 |       2.47
  Time (ns)                          |   16999500 |   16999500 |   16999500 |   16999500 |   16999500 |   16999500 |   16999500 |   16999500
  Idle time (ns)                     |        216 |     457854 |     460135 |     460906 |     461674 |     462415 |     463175 |     463920
  Idle time (%)                      |       0.0% |       2.7% |       2.7% |       2.7% |       2.7% |       2.7% |       2.7% |       2.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    4827693 |    4696427 |    4888138 |    4878121 |    4859048 |    4855898 |    4859602 |    4853008
  num incorrect                      |     133640 |     122175 |     122194 |     122210 |     122182 |     122176 |     122203 |     122177
  misprediction rate                 |      2.69% |      2.54% |      2.44% |      2.44% |      2.45% |      2.45% |      2.45% |      2.46%
  mpki                               |       1.44 |       1.33 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32 |       1.32
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    8200852 |    8064262 |    8064354 |    8064378 |    8064353 |    8064365 |    8064459 |    8064350
    num misses                       |        327 |         28 |         28 |         28 |         28 |         28 |         28 |         28
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   28761571 |   28305140 |   28401366 |   28396466 |   28386795 |   28385265 |   28387492 |   28383766
    num misses                       |      31359 |      26841 |      27392 |      27636 |      27668 |      27665 |      26911 |      27829
    miss rate                        |      0.11% |      0.09% |      0.10% |      0.10% |      0.10% |      0.10% |      0.09% |      0.10%
    mpki                             |       0.34 |       0.29 |       0.30 |       0.30 |       0.30 |       0.30 |       0.29 |       0.30
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      31686 |      26869 |      27420 |      27664 |      27696 |      27693 |      26939 |      27857
    num misses                       |       6142 |       4955 |       4995 |       5069 |       5005 |       4989 |       4978 |       5008
    miss rate                        |     19.38% |     18.44% |     18.22% |     18.32% |     18.07% |     18.02% |     18.48% |     17.98%
    mpki                             |       0.07 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    8200852 |    8064262 |    8064354 |    8064378 |    8064353 |    8064365 |    8064459 |    8064350
    num cache misses                 |      12955 |       2957 |       2974 |       2999 |       2996 |       3177 |       2987 |       2980
    miss rate                        |      0.16% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.14 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   28761571 |   28305140 |   28401366 |   28396466 |   28386795 |   28385265 |   28387492 |   28383766
    num cache misses                 |    3297356 |    3280879 |    3280908 |    3280755 |    3280826 |    3280916 |    3280884 |    3280857
    miss rate                        |     11.46% |     11.59% |     11.55% |     11.55% |     11.56% |     11.56% |     11.56% |     11.56%
    mpki                             |      35.58 |      35.78 |      35.52 |      35.53 |      35.56 |      35.56 |      35.56 |      35.57
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    3315722 |    3288025 |    3288067 |    3287955 |    3288039 |    3288324 |    3288089 |    3288059
    num cache misses                 |     412104 |     392598 |     393124 |     392749 |     392969 |     392814 |     392715 |     393451
    miss rate                        |     12.43% |     11.94% |     11.96% |     11.95% |     11.95% |     11.95% |     11.94% |     11.97%
    mpki                             |       4.45 |       4.28 |       4.26 |       4.25 |       4.26 |       4.26 |       4.26 |       4.27
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     467545 |     446722 |     447239 |     447286 |     447131 |     446980 |     446865 |     447987
    num cache misses                 |      98487 |      88684 |      88726 |      89276 |      89233 |      89073 |      89077 |      89448
    miss rate                        |     21.06% |     19.85% |     19.84% |     19.96% |     19.96% |     19.93% |     19.93% |     19.97%
    mpki                             |       1.06 |       0.97 |       0.96 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      92691 |          0 |          0 |          0 |      92575 |          0 |          0 |          0
  average dram access latency (ns)   |   12855.36 |        inf |        inf |        inf |   12874.98 |        inf |        inf |        inf
  average dram queueing delay        |   12794.11 |       0.00 |       0.00 |       0.00 |   12813.73 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       5674 |        288 |        411 |        318 |        232 |        212 |        268 |        415
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      62424 |      62515 |      62580 |      63050 |      62953 |      62858 |      62889 |      63273
