                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  3938547631 |   128514972 |   128188397 |   128020603 |   127690970 |   127998050 |   128541397 |   128141298
  Cycles                             |  3455841400 |  3455841400 |  4555427300 |  4555427300 |  3455841400 |  4555427300 |  3455841400 |  4555427300
  IPC                                |        1.14 |        0.04 |        0.03 |        0.03 |        0.04 |        0.03 |        0.04 |        0.03
  Time (ns)                          |  1570837000 |  1570837000 |  1570837000 |  1570837000 |  1570837000 |  1570837000 |  1570837000 |  1570837000
  Idle time (ns)                     |    55410312 |  1516124473 |  1519669224 |  1519688678 |  1516560922 |  1519748790 |  1516183165 |  1519669351
  Idle time (%)                      |        3.5% |       96.5% |       96.7% |       96.7% |       96.5% |       96.7% |       96.5% |       96.7%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   169516416 |     2488034 |     2484899 |     2478078 |     2481752 |     2474677 |     2487483 |     2476938
  num incorrect                      |     6161595 |       84442 |       84142 |       84158 |       84953 |       83692 |       84092 |       83642
  misprediction rate                 |       3.51% |       3.28% |       3.28% |       3.28% |       3.31% |       3.27% |       3.27% |       3.27%
  mpki                               |        1.56 |        0.66 |        0.66 |        0.66 |        0.67 |        0.65 |        0.65 |        0.65
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   773980825 |    19902208 |    19851661 |    19827629 |    19776410 |    19825722 |    19907314 |    19846256
    num misses                       |         201 |          50 |          47 |          47 |          47 |          43 |          47 |          43
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  2331212685 |    81232036 |    81010163 |    80927889 |    80677534 |    80923078 |    81251137 |    81013519
    num misses                       |    13246344 |      821057 |      827795 |      825063 |      822862 |      836174 |      838580 |      838174
    miss rate                        |       0.57% |       1.01% |       1.02% |       1.02% |       1.02% |       1.03% |       1.03% |       1.03%
    mpki                             |        3.36 |        6.39 |        6.46 |        6.44 |        6.44 |        6.53 |        6.52 |        6.54
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |    13246545 |      821107 |      827842 |      825110 |      822909 |      836217 |      838627 |      838217
    num misses                       |     6432943 |      441879 |      441195 |      440043 |      438405 |      441197 |      442180 |      440334
    miss rate                        |      48.56% |      53.82% |      53.29% |      53.33% |      53.28% |      52.76% |      52.73% |      52.53%
    mpki                             |        1.63 |        3.44 |        3.44 |        3.44 |        3.43 |        3.45 |        3.44 |        3.44
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   773980825 |    19902208 |    19851661 |    19827629 |    19776410 |    19825722 |    19907314 |    19846256
    num cache misses                 |     1868913 |        7563 |        2954 |        2888 |        7531 |        2826 |        7502 |        2767
    miss rate                        |       0.24% |       0.04% |       0.01% |       0.01% |       0.04% |       0.01% |       0.04% |       0.01%
    mpki                             |        0.47 |        0.06 |        0.02 |        0.02 |        0.06 |        0.02 |        0.06 |        0.02
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  2331212685 |    81232036 |    81010163 |    80927889 |    80677534 |    80923078 |    81251137 |    81013519
    num cache misses                 |    22228645 |      829327 |      816549 |      816055 |      821942 |      815954 |      828635 |      816050
    miss rate                        |       0.95% |       1.02% |       1.01% |       1.01% |       1.02% |       1.01% |       1.02% |       1.01%
    mpki                             |        5.64 |        6.45 |        6.37 |        6.37 |        6.44 |        6.37 |        6.45 |        6.37
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    25315842 |      837709 |      820162 |      819833 |      830051 |      819672 |      836757 |      819512
    num cache misses                 |    15664598 |      706993 |      587611 |      587194 |      699991 |      586468 |      705389 |      586789
    miss rate                        |      61.88% |      84.40% |      71.65% |      71.62% |      84.33% |      71.55% |      84.30% |      71.60%
    mpki                             |        3.98 |        5.50 |        4.58 |        4.59 |        5.48 |        4.58 |        5.49 |        4.58
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |    16883956 |      707812 |      588270 |      588084 |      700568 |      587360 |      706006 |      587483
    num cache misses                 |     4118961 |      127855 |      127425 |      127575 |      126129 |      127288 |      127111 |      127468
    miss rate                        |      24.40% |      18.06% |      21.66% |      21.69% |      18.00% |      21.67% |      18.00% |      21.70%
    mpki                             |        1.05 |        0.99 |        0.99 |        1.00 |        0.99 |        0.99 |        0.99 |        0.99
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     7484538 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       61.28 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.03 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     3433659 |      112643 |      109965 |      110099 |      111080 |      110025 |      112468 |      109952
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
