                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  492855113 |   58168130 |   83344064 |  108496746 |  133674671 |  158835413 |  183995309 |  209172221 |  234339048 |  259501496 |  284669155 |  308025895
  Cycles                             |  749450770 |  568548860 |  749450770 |  568548860 |  749450770 |  568548860 |  568548860 |  749450770 |  749450770 |  749450770 |  749450770 |  568548860
  IPC                                |       0.66 |       0.10 |       0.11 |       0.19 |       0.18 |       0.28 |       0.32 |       0.28 |       0.31 |       0.35 |       0.38 |       0.54
  Time (ns)                          |  258431300 |  258431300 |  258431300 |  258431300 |  258431300 |  258431300 |  258431300 |  258431300 |  258431300 |  258431300 |  258431300 |  258431300
  Idle time (ns)                     |   73647627 |  235684392 |  233092314 |  222865081 |  220363437 |  210148304 |  204069260 |  201660284 |  195511740 |  188715682 |  182227591 |  172481140
  Idle time (%)                      |      28.5% |      91.2% |      90.2% |      86.2% |      85.3% |      81.3% |      79.0% |      78.0% |      75.7% |      73.0% |      70.5% |      66.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   76984960 |    9017063 |   11813388 |   14609998 |   17404861 |   20197292 |   23000991 |   25791662 |   28587380 |   31386083 |   34179046 |   36373243
  num incorrect                      |     567318 |     587160 |     589551 |     585388 |     589824 |     591640 |     583997 |     591124 |     592150 |     589441 |     592178 |     591371
  misprediction rate                 |      0.73% |      6.11% |      4.75% |      3.85% |      3.28% |      2.85% |      2.48% |      2.24% |      2.03% |      1.84% |      1.70% |      1.60%
  mpki                               |       1.15 |      10.09 |       7.07 |       5.40 |       4.41 |       3.72 |       3.17 |       2.83 |       2.53 |       2.27 |       2.08 |       1.92
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      42714 |    5592855 |   11185259 |   16777791 |   22370067 |   27962334 |   33554738 |   39147142 |   44739546 |   50331950 |   55924354 |   61516759
    num misses                       |        109 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.26% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
