metric,value
timestamp,2026-07-07T18:54:40
workload,GUPS
strategy,AKARIN_a060_8
bench_class,W
num_threads,12
output_dir,Outputs/SID/sizeW/12TH/GUPS_W_AKARIN_a060_8_12TH_20260707_143005
cpu_map,"[0, 8, 9, 10, 2, 4, 7, 1, 5, 6, 11, 3]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,254.7509
total_instructions,2515111360
avg_ipc,0.411
avg_ipc_p,0.2059
avg_ipc_e,0.8211
total_power_W,11.1529
dynamic_W,4.5259
leakage_W,4.8
dram_W,1.827
energy_J,2.841217
node0_reads,26939653
node1_reads,26824805
node0_pct,50.1068
node0_writes,13512152
node1_writes,13454406
dram_local,26406854
dram_remote,26305209
dram_remote_pct,49.9036
l1d_miss_pct,90.3092
l2_miss_pct,97.7786
l3_miss_pct,81.7943
l1d_mpki,26.2051
l2_mpki,25.623
l3_mpki,20.9581
l3_miss_count,52712063
cpi_base_frac,0.744
cpi_branch_frac,0.0078
cpi_l2_frac,0.0012
cpi_l3_frac,0.0158
cpi_dram_local_frac,0.1145
cpi_dram_remote_frac,0.1167
futex_wake_count,6
futex_wait_count,22
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0122
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4377004
L1-D.access-mru-0.c1,1197991
L1-D.access-mru-0.c10,1134354
L1-D.access-mru-0.c11,868366
L1-D.access-mru-0.c2,1156428
L1-D.access-mru-0.c3,1162872
L1-D.access-mru-0.c4,1139514
L1-D.access-mru-0.c5,1155422
L1-D.access-mru-0.c6,1179796
L1-D.access-mru-0.c7,1146583
L1-D.access-mru-0.c8,1112032
L1-D.access-mru-0.c9,1140958
L1-D.access-mru-0.node0,12119675
L1-D.access-mru-0.node1,4651645
L1-D.access-mru-0.total,16771320
L1-D.access-mru-1.c0,45300
L1-D.access-mru-1.c1,2885
L1-D.access-mru-1.c10,297
L1-D.access-mru-1.c11,1071
L1-D.access-mru-1.c2,687
L1-D.access-mru-1.c3,755
L1-D.access-mru-1.c4,445
L1-D.access-mru-1.c5,903
L1-D.access-mru-1.c6,1333
L1-D.access-mru-1.c7,744
L1-D.access-mru-1.c8,467
L1-D.access-mru-1.c9,283
L1-D.access-mru-1.node0,50546
L1-D.access-mru-1.node1,4624
L1-D.access-mru-1.total,55170
L1-D.access-mru-2.c0,23367
L1-D.access-mru-2.c1,1923
L1-D.access-mru-2.c10,252
L1-D.access-mru-2.c11,814
L1-D.access-mru-2.c2,540
L1-D.access-mru-2.c3,568
L1-D.access-mru-2.c4,468
L1-D.access-mru-2.c5,823
L1-D.access-mru-2.c6,935
L1-D.access-mru-2.c7,597
L1-D.access-mru-2.c8,391
L1-D.access-mru-2.c9,279
L1-D.access-mru-2.node0,27674
L1-D.access-mru-2.node1,3283
L1-D.access-mru-2.total,30957
L1-D.access-mru-3.c0,19508
L1-D.access-mru-3.c1,1775
L1-D.access-mru-3.c10,261
L1-D.access-mru-3.c11,555
L1-D.access-mru-3.c2,461
L1-D.access-mru-3.c3,474
L1-D.access-mru-3.c4,507
L1-D.access-mru-3.c5,650
L1-D.access-mru-3.c6,809
L1-D.access-mru-3.c7,463
L1-D.access-mru-3.c8,361
L1-D.access-mru-3.c9,311
L1-D.access-mru-3.node0,23164
L1-D.access-mru-3.node1,2971
L1-D.access-mru-3.total,26135
L1-D.access-mru-4.c0,17357
L1-D.access-mru-4.c1,1580
L1-D.access-mru-4.c10,250
L1-D.access-mru-4.c11,523
L1-D.access-mru-4.c2,515
L1-D.access-mru-4.c3,432
L1-D.access-mru-4.c4,449
L1-D.access-mru-4.c5,470
L1-D.access-mru-4.c6,798
L1-D.access-mru-4.c7,399
L1-D.access-mru-4.c8,371
L1-D.access-mru-4.c9,297
L1-D.access-mru-4.node0,20664
L1-D.access-mru-4.node1,2777
L1-D.access-mru-4.total,23441
L1-D.access-mru-5.c0,15674
L1-D.access-mru-5.c1,1416
L1-D.access-mru-5.c10,252
L1-D.access-mru-5.c11,519
L1-D.access-mru-5.c2,510
L1-D.access-mru-5.c3,382
L1-D.access-mru-5.c4,387
L1-D.access-mru-5.c5,388
L1-D.access-mru-5.c6,745
L1-D.access-mru-5.c7,385
L1-D.access-mru-5.c8,381
L1-D.access-mru-5.c9,290
L1-D.access-mru-5.node0,18769
L1-D.access-mru-5.node1,2560
L1-D.access-mru-5.total,21329
L1-D.access-mru-6.c0,14564
L1-D.access-mru-6.c1,1340
L1-D.access-mru-6.c10,273
L1-D.access-mru-6.c11,465
L1-D.access-mru-6.c2,525
L1-D.access-mru-6.c3,357
L1-D.access-mru-6.c4,370
L1-D.access-mru-6.c5,335
L1-D.access-mru-6.c6,731
L1-D.access-mru-6.c7,378
L1-D.access-mru-6.c8,399
L1-D.access-mru-6.c9,274
L1-D.access-mru-6.node0,17516
L1-D.access-mru-6.node1,2495
L1-D.access-mru-6.total,20011
L1-D.access-mru-7.c0,13454
L1-D.access-mru-7.c1,1340
L1-D.access-mru-7.c10,285
L1-D.access-mru-7.c11,438
L1-D.access-mru-7.c2,519
L1-D.access-mru-7.c3,343
L1-D.access-mru-7.c4,346
L1-D.access-mru-7.c5,290
L1-D.access-mru-7.c6,685
L1-D.access-mru-7.c7,372
L1-D.access-mru-7.c8,333
L1-D.access-mru-7.c9,287
L1-D.access-mru-7.node0,16205
L1-D.access-mru-7.node1,2487
L1-D.access-mru-7.total,18692
L1-D.backinval-E.c0,426
L1-D.backinval-E.c1,3
L1-D.backinval-E.c11,6
L1-D.backinval-E.c2,46
L1-D.backinval-E.c3,3
L1-D.backinval-E.c4,3
L1-D.backinval-E.c5,3
L1-D.backinval-E.c6,6
L1-D.backinval-E.c7,1
L1-D.backinval-E.node0,445
L1-D.backinval-E.node1,52
L1-D.backinval-E.total,497
L1-D.backinval-M.c0,1174
L1-D.backinval-M.c1,689
L1-D.backinval-M.c10,593
L1-D.backinval-M.c11,55
L1-D.backinval-M.c2,579
L1-D.backinval-M.c3,861
L1-D.backinval-M.c4,670
L1-D.backinval-M.c5,630
L1-D.backinval-M.c6,1120
L1-D.backinval-M.c7,55
L1-D.backinval-M.c8,639
L1-D.backinval-M.c9,657
L1-D.backinval-M.node0,5000
L1-D.backinval-M.node1,2722
L1-D.backinval-M.total,7722
L1-D.backinval-S.c0,677
L1-D.backinval-S.c1,260
L1-D.backinval-S.c10,270
L1-D.backinval-S.c11,73
L1-D.backinval-S.c2,185
L1-D.backinval-S.c3,181
L1-D.backinval-S.c4,214
L1-D.backinval-S.c5,161
L1-D.backinval-S.c6,138
L1-D.backinval-S.c7,72
L1-D.backinval-S.c8,139
L1-D.backinval-S.c9,213
L1-D.backinval-S.node0,1687
L1-D.backinval-S.node1,896
L1-D.backinval-S.total,2583
L1-D.coherency-downgrades.c0,1391
L1-D.coherency-downgrades.c1,1997
L1-D.coherency-downgrades.c10,2189
L1-D.coherency-downgrades.c11,1825
L1-D.coherency-downgrades.c2,2131
L1-D.coherency-downgrades.c3,2259
L1-D.coherency-downgrades.c4,2422
L1-D.coherency-downgrades.c5,2315
L1-D.coherency-downgrades.c6,2666
L1-D.coherency-downgrades.c7,3490
L1-D.coherency-downgrades.c8,2465
L1-D.coherency-downgrades.c9,2297
L1-D.coherency-downgrades.node0,18871
L1-D.coherency-downgrades.node1,8576
L1-D.coherency-downgrades.total,27447
L1-D.coherency-invalidates.c0,25
L1-D.coherency-invalidates.c1,6
L1-D.coherency-invalidates.c10,11
L1-D.coherency-invalidates.c11,20
L1-D.coherency-invalidates.c2,4
L1-D.coherency-invalidates.c3,4
L1-D.coherency-invalidates.c4,4
L1-D.coherency-invalidates.c5,4
L1-D.coherency-invalidates.c6,507
L1-D.coherency-invalidates.c7,1768
L1-D.coherency-invalidates.c8,1458
L1-D.coherency-invalidates.c9,12
L1-D.coherency-invalidates.node0,3798
L1-D.coherency-invalidates.node1,25
L1-D.coherency-invalidates.total,3823
L1-D.coherency-upgrades.c0,3
L1-D.coherency-upgrades.c1,9
L1-D.coherency-upgrades.c10,3
L1-D.coherency-upgrades.c11,2
L1-D.coherency-upgrades.c2,11
L1-D.coherency-upgrades.c3,11
L1-D.coherency-upgrades.c4,12
L1-D.coherency-upgrades.c5,8
L1-D.coherency-upgrades.c6,9
L1-D.coherency-upgrades.c7,9
L1-D.coherency-upgrades.c8,4
L1-D.coherency-upgrades.c9,3
L1-D.coherency-upgrades.node0,50
L1-D.coherency-upgrades.node1,34
L1-D.coherency-upgrades.total,84
L1-D.coherency-writebacks.c0,84
L1-D.coherency-writebacks.c1,78
L1-D.coherency-writebacks.c10,44
L1-D.coherency-writebacks.c11,34
L1-D.coherency-writebacks.c2,43
L1-D.coherency-writebacks.c3,49
L1-D.coherency-writebacks.c4,46
L1-D.coherency-writebacks.c5,40
L1-D.coherency-writebacks.c6,71
L1-D.coherency-writebacks.c7,40
L1-D.coherency-writebacks.c8,32
L1-D.coherency-writebacks.c9,58
L1-D.coherency-writebacks.node0,405
L1-D.coherency-writebacks.node1,214
L1-D.coherency-writebacks.total,619
L1-D.evict-E,26883119
L1-D.evict-M.c0,3778052
L1-D.evict-M.c1,2776189
L1-D.evict-M.c10,2791416
L1-D.evict-M.c11,2788413
L1-D.evict-M.c2,2788704
L1-D.evict-M.c3,2788075
L1-D.evict-M.c4,2789883
L1-D.evict-M.c5,2787517
L1-D.evict-M.c6,2782034
L1-D.evict-M.c7,2788225
L1-D.evict-M.c8,2789883
L1-D.evict-M.c9,2790993
L1-D.evict-M.node0,23295000
L1-D.evict-M.node1,11144384
L1-D.evict-M.total,34439384
L1-D.evict-S.c0,6534613
L1-D.evict-S.c1,1626
L1-D.evict-S.c10,1926
L1-D.evict-S.c11,1038
L1-D.evict-S.c2,1915
L1-D.evict-S.c3,2073
L1-D.evict-S.c4,2190
L1-D.evict-S.c5,2170
L1-D.evict-S.c6,2032
L1-D.evict-S.c7,1690
L1-D.evict-S.c8,897
