                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |  3938556840 |    74983455 |    74854063 |    74998461 |    74459843 |    75026241 |    75210037 |    74518201 |    75173642 |   149094266 |    75142386 |    74259579
  Cycles                             |  4295931530 |  4295931530 |  4295931530 |  4295931530 |  4295931530 |  3258982540 |  4295931530 |  3258982540 |  4295931530 |  3258982540 |  4295931530 |  3258982540
  IPC                                |        0.92 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.05 |        0.02 |        0.02
  Time (ns)                          |  1481355700 |  1481355700 |  1481355700 |  1481355700 |  1481355700 |  1481355700 |  1481355700 |  1481355700 |  1481355700 |  1481355700 |  1481355700 |  1481355700
  Idle time (ns)                     |    61986780 |  1451636927 |  1451746611 |  1451720625 |  1452136066 |  1450025081 |  1451848628 |  1450236127 |  1452111700 |  1419467237 |  1452018749 |  1450450972
  Idle time (%)                      |        4.2% |       98.0% |       98.0% |       98.0% |       98.0% |       97.9% |       98.0% |       97.9% |       98.0% |       95.8% |       98.0% |       97.9%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   169443449 |     1448441 |     1446805 |     1449019 |     1441957 |     1459422 |     1451521 |     1442135 |     1455713 |     2884682 |     1450389 |     1438186
  num incorrect                      |     6236213 |       49103 |       48695 |       48869 |       48960 |       49694 |       48459 |       48838 |       48906 |       97540 |       48784 |       48942
  misprediction rate                 |       3.55% |       3.28% |       3.26% |       3.26% |       3.28% |       3.29% |       3.23% |       3.28% |       3.25% |       3.27% |       3.25% |       3.29%
  mpki                               |        1.58 |        0.65 |        0.65 |        0.65 |        0.66 |        0.66 |        0.64 |        0.66 |        0.65 |        0.65 |        0.65 |        0.66
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   773982375 |    11612747 |    11595147 |    11615519 |    11533460 |    11617968 |    11648061 |    11542629 |    11642581 |    23093695 |    11638008 |    11502751
    num misses                       |         205 |          44 |          44 |          44 |          44 |          51 |          44 |          44 |          48 |          48 |          44 |          44
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  2331216866 |    47402895 |    47328599 |    47414791 |    47064038 |    47395076 |    47554268 |    47107030 |    47511065 |    94252232 |    47510921 |    46941681
    num misses                       |    13603822 |      483221 |      484190 |      491532 |      473475 |      485029 |      481780 |      483911 |      493376 |      956230 |      487407 |      475750
    miss rate                        |       0.58% |       1.02% |       1.02% |       1.04% |       1.01% |       1.02% |       1.01% |       1.03% |       1.04% |       1.01% |       1.03% |       1.01%
    mpki                             |        3.45 |        6.44 |        6.47 |        6.55 |        6.36 |        6.46 |        6.41 |        6.49 |        6.56 |        6.41 |        6.49 |        6.41
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    13604027 |      483265 |      484234 |      491576 |      473519 |      485080 |      481824 |      483955 |      493424 |      956278 |      487451 |      475794
    num misses                       |     6430649 |      257573 |      257457 |      258152 |      255004 |      256765 |      258043 |      255262 |      258041 |      511664 |      258701 |      254373
    miss rate                        |      47.27% |      53.30% |      53.17% |      52.52% |      53.85% |      52.93% |      53.56% |      52.74% |      52.30% |      53.51% |      53.07% |      53.46%
    mpki                             |        1.63 |        3.44 |        3.44 |        3.44 |        3.42 |        3.42 |        3.43 |        3.43 |        3.43 |        3.43 |        3.44 |        3.43
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   773982375 |    11612747 |    11595147 |    11615519 |    11533460 |    11617968 |    11648061 |    11542629 |    11642581 |    23093695 |    11638008 |    11502751
    num cache misses                 |     1524619 |        1678 |        1679 |        1663 |        1634 |        4476 |        1692 |        4363 |        1792 |        8919 |        1656 |        4320
    miss rate                        |       0.20% |       0.01% |       0.01% |       0.01% |       0.01% |       0.04% |       0.01% |       0.04% |       0.02% |       0.04% |       0.01% |       0.04%
    mpki                             |        0.39 |        0.02 |        0.02 |        0.02 |        0.02 |        0.06 |        0.02 |        0.06 |        0.02 |        0.06 |        0.02 |        0.06
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  2331216866 |    47402895 |    47328599 |    47414791 |    47064038 |    47395076 |    47554268 |    47107030 |    47511065 |    94252232 |    47510921 |    46941681
    num cache misses                 |    20516444 |      480354 |      479529 |      479773 |      475792 |      484543 |      481785 |      481106 |      480596 |      964061 |      481281 |      479989
    miss rate                        |       0.88% |       1.01% |       1.01% |       1.01% |       1.01% |       1.02% |       1.01% |       1.02% |       1.01% |       1.02% |       1.01% |       1.02%
    mpki                             |        5.21 |        6.41 |        6.41 |        6.40 |        6.39 |        6.46 |        6.41 |        6.46 |        6.39 |        6.47 |        6.40 |        6.46
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    23260656 |      482084 |      481277 |      481514 |      477535 |      489090 |      483605 |      485551 |      482558 |      972998 |      483096 |      484425
    num cache misses                 |    12688122 |      344982 |      344111 |      344181 |      341934 |      412389 |      345884 |      409597 |      345094 |      826924 |      345753 |      408447
    miss rate                        |      54.55% |      71.56% |      71.50% |      71.48% |      71.60% |      84.32% |      71.52% |      84.36% |      71.51% |      84.99% |      71.57% |      84.32%
    mpki                             |        3.22 |        4.60 |        4.60 |        4.59 |        4.59 |        5.50 |        4.60 |        5.50 |        4.59 |        5.55 |        4.60 |        5.50
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    13908631 |      345034 |      344180 |      344258 |      342043 |      412460 |      346012 |      409679 |      345263 |      826941 |      345912 |      408563
    num cache misses                 |     4179439 |      212755 |      209897 |      210091 |      194972 |      196271 |      197200 |      194003 |      177988 |      354668 |      180721 |      178199
    miss rate                        |      30.05% |      61.66% |      60.98% |      61.03% |      57.00% |      47.59% |      56.99% |      47.35% |      51.55% |      42.89% |      52.24% |      43.62%
    mpki                             |        1.06 |        2.84 |        2.80 |        2.80 |        2.62 |        2.62 |        2.62 |        2.60 |        2.37 |        2.38 |        2.41 |        2.40
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     2268318 |           0 |           0 |           0 |     2268786 |           0 |           0 |           0 |     2268334 |           0 |           0 |           0
  average dram access latency (ns)   |       61.26 |         inf |         inf |         inf |       61.26 |         inf |         inf |         inf |       61.26 |         inf |         inf |         inf
  average dram queueing delay        |        0.01 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00
