                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  132769906 |  132724285 |  133784568 |  133791592 |  103533025 |  103486568 |  103671539 |  103519739 |  133738116 |  133998431 |  132864669 |  133573513 |  104709828 |  104769588 |  104059279 |  104551001
  Cycles                             |   55537610 |   55537610 |   55537610 |   55537610 |   42131980 |   42131980 |   42131980 |   42131980 |   55537610 |   55537610 |   55537610 |   55537610 |   42131980 |   42131980 |   42131980 |   42131980
  IPC                                |       2.39 |       2.39 |       2.41 |       2.41 |       2.46 |       2.46 |       2.46 |       2.46 |       2.41 |       2.41 |       2.39 |       2.41 |       2.49 |       2.49 |       2.47 |       2.48
  Time (ns)                          |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900 |   19150900
  Idle time (ns)                     |        502 |     424093 |     426346 |     427121 |     427875 |     428599 |     429364 |     430096 |     430854 |     431579 |     432341 |     433067 |     433826 |     434548 |     435307 |     436039
  Idle time (%)                      |       0.0% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.2% |       2.3% |       2.3% |       2.3% |       2.3% |       2.3% |       2.3% |       2.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   14332494 |   14488896 |   14792243 |   14794003 |    6148914 |    6135646 |    6188502 |    6145132 |   14778720 |   14853253 |   14529542 |   14731703 |    6485324 |    6502258 |    6299435 |    6439917
  num incorrect                      |     140342 |     122639 |     122491 |     122619 |     122476 |     122468 |     122475 |     122472 |     122621 |     122576 |     122468 |     122612 |     122422 |     122452 |     122435 |     122438
  misprediction rate                 |      0.97% |      0.84% |      0.82% |      0.82% |      1.95% |      1.96% |      1.94% |      1.95% |      0.82% |      0.82% |      0.84% |      0.83% |      1.85% |      1.85% |      1.91% |      1.87%
  mpki                               |       1.06 |       0.92 |       0.92 |       0.92 |       1.18 |       1.18 |       1.18 |       1.18 |       0.92 |       0.91 |       0.92 |       0.92 |       1.17 |       1.17 |       1.18 |       1.17
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8757268 |    8611942 |    8611748 |    8611827 |    8611757 |    8611758 |    8611754 |    8611752 |    8611831 |    8611733 |    8611659 |    8611827 |    8611658 |    8611749 |    8611657 |    8611663
    num misses                       |        313 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   37242816 |   36885548 |   37036362 |   37037649 |   32714748 |   32708117 |   32734510 |   32712823 |   37030022 |   37066892 |   36904660 |   37006495 |   32882520 |   32891357 |   32789589 |   32859858
    num misses                       |      26459 |      23067 |      23028 |      23330 |      22801 |      22505 |      22876 |      22933 |      23278 |      23249 |      23073 |      22741 |      22637 |      22826 |      23183 |      23165
    miss rate                        |      0.07% |      0.06% |      0.06% |      0.06% |      0.07% |      0.07% |      0.07% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.20 |       0.17 |       0.17 |       0.17 |       0.22 |       0.22 |       0.22 |       0.22 |       0.17 |       0.17 |       0.17 |       0.17 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      26772 |      23095 |      23056 |      23358 |      22829 |      22533 |      22904 |      22961 |      23306 |      23277 |      23101 |      22769 |      22665 |      22854 |      23211 |      23193
    num misses                       |       5694 |       4462 |       4549 |       4485 |       4761 |       4476 |       4630 |       4487 |       4569 |       4611 |       4554 |       4558 |       4603 |       4478 |       4531 |       4571
    miss rate                        |     21.27% |     19.32% |     19.73% |     19.20% |     20.86% |     19.86% |     20.21% |     19.54% |     19.60% |     19.81% |     19.71% |     20.02% |     20.31% |     19.59% |     19.52% |     19.71%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.03 |       0.05 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8757268 |    8611942 |    8611748 |    8611827 |    8611757 |    8611758 |    8611754 |    8611752 |    8611831 |    8611733 |    8611659 |    8611827 |    8611658 |    8611749 |    8611657 |    8611663
    num cache misses                 |      10052 |       1226 |       1215 |       1233 |       3159 |       3198 |       3195 |       3227 |       1213 |       1225 |       1253 |       1233 |       3141 |       3196 |       3153 |       3211
    miss rate                        |      0.11% |      0.01% |      0.01% |      0.01% |      0.04% |      0.04% |      0.04% |      0.04% |      0.01% |      0.01% |      0.01% |      0.01% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.08 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   37242816 |   36885548 |   37036362 |   37037649 |   32714748 |   32708117 |   32734510 |   32712823 |   37030022 |   37066892 |   36904660 |   37006495 |   32882520 |   32891357 |   32789589 |   32859858
    num cache misses                 |    3083273 |    3068428 |    3068565 |    3068729 |    3312686 |    3312165 |    3311792 |    3312042 |    3068260 |    3068961 |    3068843 |    3068408 |    3312321 |    3312372 |    3311761 |    3311978
    miss rate                        |      8.28% |      8.32% |      8.29% |      8.29% |     10.13% |     10.13% |     10.12% |     10.12% |      8.29% |      8.28% |      8.32% |      8.29% |     10.07% |     10.07% |     10.10% |     10.08%
    mpki                             |      23.22 |      23.12 |      22.94 |      22.94 |      32.00 |      32.01 |      31.95 |      31.99 |      22.94 |      22.90 |      23.10 |      22.97 |      31.63 |      31.62 |      31.83 |      31.68
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3108188 |    3087666 |    3082383 |    3084210 |    3328850 |    3325448 |    3327717 |    3330370 |    3085290 |    3085580 |    3084518 |    3085556 |    3327966 |    3328373 |    3327796 |    3328305
    num cache misses                 |     280006 |     253433 |     254724 |     259993 |     391205 |     389656 |     389528 |     389726 |     253082 |     250321 |     251950 |     246838 |     388988 |     390394 |     389045 |     388773
    miss rate                        |      9.01% |      8.21% |      8.26% |      8.43% |     11.75% |     11.72% |     11.71% |     11.70% |      8.20% |      8.11% |      8.17% |      8.00% |     11.69% |     11.73% |     11.69% |     11.68%
    mpki                             |       2.11 |       1.91 |       1.90 |       1.94 |       3.78 |       3.77 |       3.76 |       3.76 |       1.89 |       1.87 |       1.90 |       1.85 |       3.71 |       3.73 |       3.74 |       3.72
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     353569 |     329829 |     331870 |     336746 |     460925 |     457272 |     459972 |     458348 |     338974 |     335994 |     336215 |     331317 |     455956 |     456343 |     453023 |     452362
    num cache misses                 |     140968 |     131374 |     140487 |     143444 |     136098 |     128238 |     135816 |     137451 |     143196 |     143417 |     133778 |     142373 |     137859 |     126033 |     124734 |     126225
    miss rate                        |     39.87% |     39.83% |     42.33% |     42.60% |     29.53% |     28.04% |     29.53% |     29.99% |     42.24% |     42.68% |     39.79% |     42.97% |     30.24% |     27.62% |     27.53% |     27.90%
    mpki                             |       1.06 |       0.99 |       1.05 |       1.07 |       1.31 |       1.24 |       1.31 |       1.33 |       1.07 |       1.07 |       1.01 |       1.07 |       1.32 |       1.20 |       1.20 |       1.21
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     892978 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     893336 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   12078.47 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |   12074.05 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   12017.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |   12012.80 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      26825 |      30615 |      29336 |      30707 |      30978 |      26848 |      31579 |      35009 |      34238 |      31089 |      26304 |      30820 |      24208 |      17256 |      20166 |      21513
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      61753 |      61849 |      61703 |      60783 |      60229 |      59495 |      58212 |      54762 |      61051 |      62096 |      62247 |      62044 |      61873 |      62022 |      61242 |      60542
