metric,value
timestamp,2026-07-07T05:34:24
workload,IS
strategy,AKARIN_a015_3
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/IS_W_AKARIN_a015_3_16TH_20260706_200005
cpu_map,"[0, 8, 10, 1, 3, 11, 2, 9, 15, 7, 12, 13, 5, 6, 14, 4]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,17.763
total_instructions,648843280
avg_ipc,1.422
avg_ipc_p,0.574
avg_ipc_e,2.2699
total_power_W,21.6473
dynamic_W,15.994
leakage_W,5.6
dram_W,0.0533
energy_J,0.38452
node0_reads,73948
node1_reads,73835
node0_pct,50.0382
node0_writes,67
node1_writes,75
dram_local,3472
dram_remote,3862
dram_remote_pct,52.6588
l1d_miss_pct,1.4987
l2_miss_pct,48.2441
l3_miss_pct,0.6215
l1d_mpki,3.7696
l2_mpki,1.8186
l3_mpki,0.0113
l3_miss_count,7334
cpi_base_frac,0.9645
cpi_branch_frac,0.0018
cpi_l2_frac,0.0011
cpi_l3_frac,0.0322
cpi_dram_local_frac,0.0001
cpi_dram_remote_frac,0.0003
futex_wake_count,54
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.2213
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,13851186
L1-D.access-mru-0.c1,13458387
L1-D.access-mru-0.c10,13375672
L1-D.access-mru-0.c11,13424714
L1-D.access-mru-0.c12,12099428
L1-D.access-mru-0.c13,12097283
L1-D.access-mru-0.c14,12076829
L1-D.access-mru-0.c15,12092874
L1-D.access-mru-0.c2,13553891
L1-D.access-mru-0.c3,13525529
L1-D.access-mru-0.c4,12178277
L1-D.access-mru-0.c5,12145863
L1-D.access-mru-0.c6,12146724
L1-D.access-mru-0.c7,12189117
L1-D.access-mru-0.c8,13538053
L1-D.access-mru-0.c9,13431946
L1-D.access-mru-0.node0,101423247
L1-D.access-mru-0.node1,103762526
