                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  3938564104 |    56549247 |   112237311 |    56031260 |    56201819 |    56242027 |    55805289 |    55641143 |    56115191 |    56139173 |    55997760 |    56387630 |    55827558 |    56186726 |    56144219 |    56488893
  Cycles                             |  4267452660 |  4267452660 |  4267452660 |  4267452660 |  3237377880 |  3237377880 |  3237377880 |  3237377880 |  4267452660 |  4267452660 |  4267452660 |  4267452660 |  3237377880 |  3237377880 |  3237377880 |  3237377880
  IPC                                |        0.92 |        0.01 |        0.03 |        0.01 |        0.02 |        0.02 |        0.02 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.02 |        0.02 |        0.02 |        0.02
  Time (ns)                          |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400 |  1471535400
  Idle time (ns)                     |    44350788 |  1449198892 |  1427404689 |  1449479708 |  1447921655 |  1447925202 |  1448137396 |  1448217561 |  1449313329 |  1449345715 |  1449353954 |  1449178862 |  1447987304 |  1447826850 |  1447843954 |  1447749784
  Idle time (%)                      |        3.0% |       98.5% |       97.0% |       98.5% |       98.4% |       98.4% |       98.4% |       98.4% |       98.5% |       98.5% |       98.5% |       98.5% |       98.4% |       98.4% |       98.4% |       98.4%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   169463301 |     1091100 |     2169548 |     1084955 |     1086857 |     1087880 |     1081868 |     1081554 |     1088735 |     1086100 |     1083668 |     1091499 |     1084299 |     1085852 |     1086444 |     1101497
  num incorrect                      |     6217660 |       37031 |       73427 |       36874 |       36580 |       36681 |       36555 |       37352 |       37159 |       36559 |       36462 |       37263 |       37060 |       36657 |       36878 |       37440
  misprediction rate                 |       3.54% |       3.28% |       3.27% |       3.29% |       3.26% |       3.26% |       3.27% |       3.34% |       3.30% |       3.26% |       3.26% |       3.30% |       3.30% |       3.27% |       3.28% |       3.29%
  mpki                               |        1.58 |        0.65 |        0.65 |        0.66 |        0.65 |        0.65 |        0.66 |        0.67 |        0.66 |        0.65 |        0.65 |        0.66 |        0.66 |        0.65 |        0.66 |        0.66
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   773983608 |     8757148 |    17384067 |     8678413 |     8704308 |     8710651 |     8643789 |     8618266 |     8690782 |     8695880 |     8673768 |     8732688 |     8645873 |     8703011 |     8696909 |     8747176
    num misses                       |         199 |          43 |          43 |          44 |          43 |          43 |          43 |          47 |          47 |          43 |          43 |          47 |          47 |          43 |          43 |          47
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  2331220158 |    35756453 |    70953676 |    35415832 |    35528443 |    35551100 |    35268394 |    35155338 |    35461267 |    35488994 |    35404055 |    35641438 |    35274401 |    35522142 |    35490228 |    35672418
    num misses                       |    15864795 |      386884 |      763710 |      386780 |      377420 |      374405 |      371485 |      368196 |      383218 |      383194 |      380424 |      390001 |      374175 |      375059 |      375301 |      377213
    miss rate                        |       0.68% |       1.08% |       1.08% |       1.09% |       1.06% |       1.05% |       1.05% |       1.05% |       1.08% |       1.08% |       1.07% |       1.09% |       1.06% |       1.06% |       1.06% |       1.06%
    mpki                             |        4.03 |        6.84 |        6.80 |        6.90 |        6.72 |        6.66 |        6.66 |        6.62 |        6.83 |        6.83 |        6.79 |        6.92 |        6.70 |        6.68 |        6.68 |        6.68
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    15864994 |      386927 |      763753 |      386824 |      377463 |      374448 |      371528 |      368243 |      383265 |      383237 |      380467 |      390048 |      374222 |      375102 |      375344 |      377260
    num misses                       |     6536812 |      195073 |      386617 |      192468 |      193075 |      192686 |      191278 |      190146 |      192694 |      192985 |      192243 |      194108 |      191556 |      193123 |      192598 |      193655
    miss rate                        |      41.20% |      50.42% |      50.62% |      49.76% |      51.15% |      51.46% |      51.48% |      51.64% |      50.28% |      50.36% |      50.53% |      49.77% |      51.19% |      51.49% |      51.31% |      51.33%
    mpki                             |        1.66 |        3.45 |        3.44 |        3.44 |        3.44 |        3.43 |        3.43 |        3.42 |        3.43 |        3.44 |        3.43 |        3.44 |        3.43 |        3.44 |        3.43 |        3.43
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   773983608 |     8757148 |    17384067 |     8678413 |     8704308 |     8710651 |     8643789 |     8618266 |     8690782 |     8695880 |     8673768 |     8732688 |     8645873 |     8703011 |     8696909 |     8747176
    num cache misses                 |     2648584 |        1210 |        2472 |        1234 |        3119 |        3157 |        3096 |        3162 |        1294 |        1217 |        1152 |        1314 |        3159 |        3090 |        3027 |        3331
    miss rate                        |       0.34% |       0.01% |       0.01% |       0.01% |       0.04% |       0.04% |       0.04% |       0.04% |       0.01% |       0.01% |       0.01% |       0.02% |       0.04% |       0.04% |       0.03% |       0.04%
    mpki                             |        0.67 |        0.02 |        0.02 |        0.02 |        0.06 |        0.06 |        0.06 |        0.06 |        0.02 |        0.02 |        0.02 |        0.02 |        0.06 |        0.05 |        0.05 |        0.06
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  2331220158 |    35756453 |    70953676 |    35415832 |    35528443 |    35551100 |    35268394 |    35155338 |    35461267 |    35488994 |    35404055 |    35641438 |    35274401 |    35522142 |    35490228 |    35672418
    num cache misses                 |    20507009 |      362921 |      719228 |      357498 |      364116 |      363886 |      360509 |      359166 |      359301 |      359056 |      358277 |      361218 |      361293 |      364428 |      363249 |      365573
    miss rate                        |       0.88% |       1.01% |       1.01% |       1.01% |       1.02% |       1.02% |       1.02% |       1.02% |       1.01% |       1.01% |       1.01% |       1.01% |       1.02% |       1.03% |       1.02% |       1.02%
    mpki                             |        5.21 |        6.42 |        6.41 |        6.38 |        6.48 |        6.47 |        6.46 |        6.46 |        6.40 |        6.40 |        6.40 |        6.41 |        6.47 |        6.49 |        6.47 |        6.47
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    24377176 |      365909 |      724977 |      360484 |      368971 |      368796 |      365366 |      364079 |      362308 |      362011 |      361206 |      364296 |      366216 |      369281 |      368047 |      370678
    num cache misses                 |    12680607 |      261988 |      520418 |      257886 |      311363 |      310947 |      308554 |      307022 |      259571 |      259319 |      258218 |      260619 |      308956 |      311379 |      310344 |      312891
    miss rate                        |      52.02% |      71.60% |      71.78% |      71.54% |      84.39% |      84.31% |      84.45% |      84.33% |      71.64% |      71.63% |      71.49% |      71.54% |      84.36% |      84.32% |      84.32% |      84.41%
    mpki                             |        3.22 |        4.63 |        4.64 |        4.60 |        5.54 |        5.53 |        5.53 |        5.52 |        4.63 |        4.62 |        4.61 |        4.62 |        5.53 |        5.54 |        5.53 |        5.54
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    13903092 |      263766 |      523695 |      259637 |      313099 |      312700 |      310315 |      308772 |      261283 |      261056 |      259994 |      262382 |      310720 |      313142 |      312115 |      314663
    num cache misses                 |     4163559 |      123283 |      239875 |      121166 |      121908 |      122379 |      120920 |      119312 |      122281 |      121583 |      123726 |      124423 |      123138 |      123608 |      123499 |      123688
    miss rate                        |      29.95% |      46.74% |      45.80% |      46.67% |      38.94% |      39.14% |      38.97% |      38.64% |      46.80% |      46.57% |      47.59% |      47.42% |      39.63% |      39.47% |      39.57% |      39.31%
    mpki                             |        1.06 |        2.18 |        2.14 |        2.16 |        2.17 |        2.18 |        2.17 |        2.14 |        2.18 |        2.17 |        2.21 |        2.21 |        2.21 |        2.20 |        2.20 |        2.19
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     3467615 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |     3468715 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       61.26 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |       61.26 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |     3371728 |       31122 |       59719 |       30396 |       31180 |       31185 |       30804 |       30220 |       29822 |       29717 |       30670 |       30789 |       30747 |       31067 |       30618 |       30445
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
