                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  142558510 |  149801534 |  192346343 |   51755614 |  114247431 |  198373417 |  187569570 |  204605496 |  191275085 |   45501266 |   40629388 |  165715307 |  166313856 |  102245578 |  162668519 |  166984903
  Cycles                             |  252372500 |  191455000 |  252372500 |  191455000 |  252372500 |  191455000 |  252372500 |  191455000 |  252372500 |  252372500 |  252372500 |  191455000 |  191455000 |  191455000 |  252372500 |  191455000
  IPC                                |       0.56 |       0.78 |       0.76 |       0.27 |       0.45 |       1.04 |       0.74 |       1.07 |       0.76 |       0.18 |       0.16 |       0.87 |       0.87 |       0.53 |       0.64 |       0.87
  Time (ns)                          |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000 |   87025000
  Idle time (ns)                     |   49135389 |   45130021 |   12341042 |   77658761 |   33870752 |   29899897 |   32705883 |   24937227 |    9039477 |   80352592 |   81056441 |   16678039 |   43609238 |   61192148 |   19816330 |   43576779
  Idle time (%)                      |      56.5% |      51.9% |      14.2% |      89.2% |      38.9% |      34.4% |      37.6% |      28.7% |      10.4% |      92.3% |      93.1% |      19.2% |      50.1% |      70.3% |      22.8% |      50.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   17107088 |   17694986 |   13028016 |      77799 |    4732904 |   18327991 |   20193616 |   22038398 |   14658718 |      76548 |      65135 |   12171076 |   17948814 |    9609407 |   11273769 |   17613883
  num incorrect                      |     651133 |     722453 |     361545 |       1491 |       9753 |    1061562 |    1152370 |    1200890 |     507440 |       1416 |       1360 |     335513 |     739629 |     389585 |     294600 |     709086
  misprediction rate                 |      3.67% |      3.92% |      2.70% |      1.88% |      0.21% |      5.47% |      5.40% |      5.17% |      3.35% |      1.82% |      2.05% |      2.68% |      3.96% |      3.90% |      2.55% |      3.87%
  mpki                               |       4.57 |       4.82 |       1.88 |       0.03 |       0.09 |       5.35 |       6.14 |       5.87 |       2.65 |       0.03 |       0.03 |       2.02 |       4.45 |       3.81 |       1.81 |       4.25
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   16674692 |   16795344 |   16810904 |    2909454 |    8410615 |   20222236 |   20371221 |   22273815 |   17524329 |    2569657 |    2288405 |   14707157 |   17837680 |   10453246 |   14075283 |   17795877
    num misses                       |        125 |         48 |         50 |         37 |         45 |         49 |         49 |         47 |         47 |         39 |         37 |         47 |         48 |         41 |         48 |         41
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   71400047 |   76552778 |  102592059 |   12092568 |   65210847 |   81061618 |   80622420 |   92137247 |  103803276 |   10683649 |    9514569 |   92870163 |   78620781 |   46053006 |   90542991 |   79415897
    num misses                       |      23855 |      14707 |       6163 |       1195 |       5721 |       9531 |      11315 |      19818 |       6473 |       1104 |       1061 |       5862 |       9055 |       5889 |       4698 |       9259
    miss rate                        |      0.03% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.17 |       0.10 |       0.03 |       0.02 |       0.05 |       0.05 |       0.06 |       0.10 |       0.03 |       0.02 |       0.03 |       0.04 |       0.05 |       0.06 |       0.03 |       0.06
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      23980 |      14755 |       6213 |       1232 |       5766 |       9580 |      11364 |      19865 |       6520 |       1143 |       1098 |       5909 |       9103 |       5930 |       4746 |       9300
    num misses                       |      10652 |       6495 |       1719 |        981 |       3264 |       1696 |       1214 |       1345 |       1575 |        913 |        856 |       1394 |       1768 |        986 |       1455 |       1737
    miss rate                        |     44.42% |     44.02% |     27.67% |     79.63% |     56.61% |     17.70% |     10.68% |      6.77% |     24.16% |     79.88% |     77.96% |     23.59% |     19.42% |     16.63% |     30.66% |     18.68%
    mpki                             |       0.07 |       0.04 |       0.01 |       0.02 |       0.03 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16674692 |   16795344 |   16810904 |    2909454 |    8410615 |   20222236 |   20371221 |   22273815 |   17524329 |    2569657 |    2288405 |   14707157 |   17837680 |   10453246 |   14075283 |   17795877
    num cache misses                 |       8073 |      10425 |       6587 |       1162 |       1483 |      16003 |      11933 |      15464 |       7871 |       1161 |        536 |       8121 |      12490 |       7165 |       5596 |      12454
    miss rate                        |      0.05% |      0.06% |      0.04% |      0.04% |      0.02% |      0.08% |      0.06% |      0.07% |      0.04% |      0.05% |      0.02% |      0.06% |      0.07% |      0.07% |      0.04% |      0.07%
    mpki                             |       0.06 |       0.07 |       0.03 |       0.02 |       0.01 |       0.08 |       0.06 |       0.08 |       0.04 |       0.03 |       0.01 |       0.05 |       0.08 |       0.07 |       0.03 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   71400047 |   76552778 |  102592059 |   12092568 |   65210847 |   81061618 |   80622420 |   92137247 |  103803276 |   10683649 |    9514569 |   92870163 |   78620781 |   46053006 |   90542991 |   79415897
    num cache misses                 |    1167341 |    1727210 |     657424 |      25395 |      72000 |    1276982 |     959400 |    1517662 |     648154 |      22918 |      20457 |     663343 |    1435699 |     812484 |     476065 |    1442942
