                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  247804445 |  250420813 |  251348760 |  251979002 |  253400232 |  251862883 |  251180865 |  250419881
  Cycles                             |  253643280 |  253643280 |  253643280 |  253643280 |  253643280 |  253643280 |  253643280 |  253643280
  IPC                                |       0.98 |       0.99 |       0.99 |       0.99 |       1.00 |       0.99 |       0.99 |       0.99
  Time (ns)                          |   87463200 |   87463200 |   87463200 |   87463200 |   87463200 |   87463200 |   87463200 |   87463200
  Idle time (ns)                     |      23330 |     458745 |     461138 |     461623 |     440148 |     416301 |     417849 |     417379
  Idle time (%)                      |       0.0% |       0.5% |       0.5% |       0.5% |       0.5% |       0.5% |       0.5% |       0.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   15222042 |   16638039 |   16934128 |   17116372 |   17529580 |   17093175 |   16898960 |   16681108
  num incorrect                      |      42034 |      25357 |      24701 |      24615 |      24292 |      24216 |      24329 |      24375
  misprediction rate                 |      0.28% |      0.15% |      0.15% |      0.14% |      0.14% |      0.14% |      0.14% |      0.15%
  mpki                               |       0.17 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   25598876 |   25209098 |   25199901 |   25198702 |   25196283 |   25195040 |   25194643 |   25192857
    num misses                       |        293 |         29 |         29 |         28 |         29 |         30 |         29 |         30
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  132544117 |  131791099 |  131854635 |  131940616 |  132131903 |  131908566 |  131809231 |  131701580
    num misses                       |      76614 |      73098 |      72761 |      72773 |      74482 |      72822 |      72833 |      73394
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.31 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      76907 |      73127 |      72790 |      72801 |      74511 |      72852 |      72862 |      73424
    num misses                       |      49825 |      48153 |      48157 |      48004 |      48195 |      47883 |      47896 |      47876
    miss rate                        |     64.79% |     65.85% |     66.16% |     65.94% |     64.68% |     65.73% |     65.74% |     65.20%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   25598876 |   25209098 |   25199901 |   25198702 |   25196283 |   25195040 |   25194643 |   25192857
    num cache misses                 |      15916 |       6633 |       6610 |       6566 |       6565 |       6618 |       6437 |       6648
    miss rate                        |      0.06% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.06 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  132544117 |  131791099 |  131854635 |  131940616 |  132131903 |  131908566 |  131809231 |  131701580
    num cache misses                 |    4115626 |    4063999 |    4045384 |    4045096 |    4045053 |    4044869 |    4044566 |    4043670
    miss rate                        |      3.11% |      3.08% |      3.07% |      3.07% |      3.06% |      3.07% |      3.07% |      3.07%
    mpki                             |      16.61 |      16.23 |      16.09 |      16.05 |      15.96 |      16.06 |      16.10 |      16.15
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4515283 |    4432345 |    4410164 |    4410171 |    4413742 |    4409799 |    4409352 |    4408220
    num cache misses                 |    2645278 |    2611037 |    2595203 |    2596220 |    2595973 |    2595263 |    2595344 |    2588013
    miss rate                        |     58.58% |     58.91% |     58.85% |     58.87% |     58.82% |     58.85% |     58.86% |     58.71%
    mpki                             |      10.67 |      10.43 |      10.33 |      10.30 |      10.24 |      10.30 |      10.33 |      10.33
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    3031029 |    2973515 |    2953957 |    2955312 |    2958801 |    2954159 |    2954288 |    2946035
    num cache misses                 |    2079863 |    2022515 |    2006989 |    2035143 |    2097669 |    2003050 |    1999107 |    2015991
    miss rate                        |     68.62% |     68.02% |     67.94% |     68.86% |     70.90% |     67.80% |     67.67% |     68.43%
    mpki                             |       8.39 |       8.08 |       7.98 |       8.08 |       8.28 |       7.95 |       7.96 |       8.05
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   11777255 |          0 |          0 |          0 |   11777239 |          0 |          0 |          0
  average dram access latency (ns)   |    2534.76 |        inf |        inf |        inf |    2543.38 |        inf |        inf |        inf
  average dram queueing delay        |    2473.50 |       0.00 |       0.00 |       0.00 |    2482.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     16.00% |      0.00% |      0.00% |      0.00% |     16.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |    1452207 |    1454243 |    1451617 |    1451751 |    1451415 |    1453523 |    1450091 |    1452221
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      35957 |       7215 |       6779 |      28509 |      77010 |       4520 |       4370 |      15985
