metric,value
timestamp,2026-07-07T06:31:10
workload,x264
strategy,AKARIN_a000_0
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/x264_W_AKARIN_a000_0_8TH_20260706_200005
cpu_map,"[12, 1, 10, 2, 11, 0, 9, 8]"
p_core_count,7
e_core_count,1
node0_threads,3
node1_threads,5
sim_time_ms,177.7051
total_instructions,2418507422
avg_ipc,0.8937
avg_ipc_p,0.8752
avg_ipc_e,1.0238
total_power_W,16.3459
dynamic_W,12.6362
leakage_W,3.7
dram_W,0.0097
energy_J,2.904745
node0_reads,129965
node1_reads,129939
node0_pct,50.005
node0_writes,6352
node1_writes,6356
dram_local,38441
dram_remote,77273
dram_remote_pct,66.7793
l1d_miss_pct,0.595
l2_miss_pct,20.3084
l3_miss_pct,15.104
l1d_mpki,1.5598
l2_mpki,0.3168
l3_mpki,0.0478
l3_miss_count,115714
cpi_base_frac,0.8953
cpi_branch_frac,0.0968
cpi_l2_frac,0.0026
cpi_l3_frac,0.0028
cpi_dram_local_frac,0.0008
cpi_dram_remote_frac,0.0017
futex_wake_count,111
futex_wait_count,100
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.6101
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,60111757
L1-D.access-mru-0.c1,64593396
L1-D.access-mru-0.c2,72927611
L1-D.access-mru-0.c3,206587423
L1-D.access-mru-0.c4,118923020
L1-D.access-mru-0.c5,139628230
L1-D.access-mru-0.c6,53081587
L1-D.access-mru-0.c7,85095567
L1-D.access-mru-0.node0,410809049
L1-D.access-mru-0.node1,390139542
L1-D.access-mru-0.total,800948591
L1-D.access-mru-1.c0,3679890
L1-D.access-mru-1.c1,3124770
L1-D.access-mru-1.c2,2244008
L1-D.access-mru-1.c3,8618013
L1-D.access-mru-1.c4,5424178
L1-D.access-mru-1.c5,7007834
L1-D.access-mru-1.c6,2854164
L1-D.access-mru-1.c7,4266941
L1-D.access-mru-1.node0,18750617
L1-D.access-mru-1.node1,18469181
L1-D.access-mru-1.total,37219798
L1-D.access-mru-2.c0,336087
L1-D.access-mru-2.c1,303722
L1-D.access-mru-2.c2,244092
L1-D.access-mru-2.c3,1050535
L1-D.access-mru-2.c4,557340
L1-D.access-mru-2.c5,740473
L1-D.access-mru-2.c6,284601
L1-D.access-mru-2.c7,383206
L1-D.access-mru-2.node0,2094730
L1-D.access-mru-2.node1,1805326
