metric,value
timestamp,2026-07-07T06:18:34
workload,x264
strategy,Scatter
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/x264_W_Scatter_8TH_20260706_200005
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,134.598
total_instructions,2418492881
avg_ipc,0.9131
avg_ipc_p,0.9131
avg_ipc_e,0.0
total_power_W,18.6282
dynamic_W,14.6102
leakage_W,4.0
dram_W,0.018
energy_J,2.507314
node0_reads,165205
node1_reads,165126
node0_pct,50.012
node0_writes,33731
node1_writes,33620
dram_local,29325
dram_remote,29641
dram_remote_pct,50.268
l1d_miss_pct,0.5903
l2_miss_pct,17.3041
l3_miss_pct,9.1042
l1d_mpki,1.5476
l2_mpki,0.2678
l3_mpki,0.0244
l3_miss_count,58966
cpi_base_frac,0.8892
cpi_branch_frac,0.1015
cpi_l2_frac,0.0028
cpi_l3_frac,0.0055
cpi_dram_local_frac,0.0004
cpi_dram_remote_frac,0.0006
futex_wake_count,96
futex_wait_count,86
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.5277
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,59801947
L1-D.access-mru-0.c1,271394879
L1-D.access-mru-0.c2,72192428
L1-D.access-mru-0.c3,139024403
L1-D.access-mru-0.c4,118807449
L1-D.access-mru-0.c5,7909
L1-D.access-mru-0.c6,138127986
L1-D.access-mru-0.c7,6962
L1-D.access-mru-0.node0,388929810
L1-D.access-mru-0.node1,410434153
L1-D.access-mru-0.total,799363963
L1-D.access-mru-1.c0,4020784
L1-D.access-mru-1.c1,12027126
L1-D.access-mru-1.c2,2965722
L1-D.access-mru-1.c3,7334657
L1-D.access-mru-1.c4,5539997
L1-D.access-mru-1.c5,179
L1-D.access-mru-1.c6,7101339
L1-D.access-mru-1.c7,140
L1-D.access-mru-1.node0,19627842
L1-D.access-mru-1.node1,19362102
L1-D.access-mru-1.total,38989944
L1-D.access-mru-2.c0,294947
L1-D.access-mru-2.c1,1141987
L1-D.access-mru-2.c2,262943
L1-D.access-mru-2.c3,991321
L1-D.access-mru-2.c4,559560
L1-D.access-mru-2.c5,154
L1-D.access-mru-2.c6,717316
L1-D.access-mru-2.c7,131
L1-D.access-mru-2.node0,1834766
L1-D.access-mru-2.node1,2133593
L1-D.access-mru-2.total,3968359
L1-D.access-mru-3.c0,84304
L1-D.access-mru-3.c1,373850
L1-D.access-mru-3.c2,97204
L1-D.access-mru-3.c3,203593
L1-D.access-mru-3.c4,222963
L1-D.access-mru-3.c5,30
L1-D.access-mru-3.c6,245130
L1-D.access-mru-3.c7,39
L1-D.access-mru-3.node0,649601
L1-D.access-mru-3.node1,577512
L1-D.access-mru-3.total,1227113
L1-D.access-mru-4.c0,38013
L1-D.access-mru-4.c1,199275
L1-D.access-mru-4.c2,52452
L1-D.access-mru-4.c3,95721
L1-D.access-mru-4.c4,160810
L1-D.access-mru-4.c5,13
L1-D.access-mru-4.c6,168579
L1-D.access-mru-4.c7,9
L1-D.access-mru-4.node0,419854
L1-D.access-mru-4.node1,295018
L1-D.access-mru-4.total,714872
L1-D.access-mru-5.c0,16467
L1-D.access-mru-5.c1,141074
L1-D.access-mru-5.c2,24515
L1-D.access-mru-5.c3,51786
L1-D.access-mru-5.c4,139099
L1-D.access-mru-5.c5,3
L1-D.access-mru-5.c6,150720
L1-D.access-mru-5.c7,5
L1-D.access-mru-5.node0,330801
L1-D.access-mru-5.node1,192868
L1-D.access-mru-5.total,523669
L1-D.access-mru-6.c0,7990
L1-D.access-mru-6.c1,111419
L1-D.access-mru-6.c2,8921
L1-D.access-mru-6.c3,29100
L1-D.access-mru-6.c4,124647
L1-D.access-mru-6.c5,1
L1-D.access-mru-6.c6,139535
L1-D.access-mru-6.node0,281093
L1-D.access-mru-6.node1,140520
L1-D.access-mru-6.total,421613
L1-D.access-mru-7.c0,4387
L1-D.access-mru-7.c1,88405
L1-D.access-mru-7.c2,3085
L1-D.access-mru-7.c3,21860
L1-D.access-mru-7.c4,104707
L1-D.access-mru-7.c6,128554
L1-D.access-mru-7.node0,240733
L1-D.access-mru-7.node1,110265
L1-D.access-mru-7.total,350998
L1-D.backinval-M.c0,62
L1-D.backinval-M.c1,379
L1-D.backinval-M.c2,233
L1-D.backinval-M.c3,263
L1-D.backinval-M.c6,2
L1-D.backinval-M.node0,297
L1-D.backinval-M.node1,642
L1-D.backinval-M.total,939
L1-D.backinval-S.c0,6
L1-D.backinval-S.c1,26
L1-D.backinval-S.c2,8
L1-D.backinval-S.c3,99
L1-D.backinval-S.c4,3
L1-D.backinval-S.c5,10
L1-D.backinval-S.c6,4
L1-D.backinval-S.c7,23
L1-D.backinval-S.node0,21
L1-D.backinval-S.node1,158
L1-D.backinval-S.total,179
L1-D.coherency-downgrades.c0,524
L1-D.coherency-downgrades.c1,917
L1-D.coherency-downgrades.c2,260
L1-D.coherency-downgrades.c3,940
L1-D.coherency-downgrades.c4,416
L1-D.coherency-downgrades.c5,460
L1-D.coherency-downgrades.c6,559
L1-D.coherency-downgrades.c7,388
L1-D.coherency-downgrades.node0,1759
L1-D.coherency-downgrades.node1,2705
L1-D.coherency-downgrades.total,4464
L1-D.coherency-invalidates.c0,92
L1-D.coherency-invalidates.c1,274
L1-D.coherency-invalidates.c2,18
L1-D.coherency-invalidates.c3,150
L1-D.coherency-invalidates.c4,79
L1-D.coherency-invalidates.c5,148
L1-D.coherency-invalidates.c6,49
L1-D.coherency-invalidates.c7,23
L1-D.coherency-invalidates.node0,238
L1-D.coherency-invalidates.node1,595
L1-D.coherency-invalidates.total,833
L1-D.coherency-upgrades.c0,2
L1-D.coherency-upgrades.c1,9
L1-D.coherency-upgrades.c2,15
L1-D.coherency-upgrades.c3,13
L1-D.coherency-upgrades.c4,6
L1-D.coherency-upgrades.c5,48
L1-D.coherency-upgrades.c6,12
L1-D.coherency-upgrades.c7,172
L1-D.coherency-upgrades.node0,35
L1-D.coherency-upgrades.node1,242
L1-D.coherency-upgrades.total,277
L1-D.coherency-writebacks.c0,175
L1-D.coherency-writebacks.c1,110
L1-D.coherency-writebacks.c2,15
L1-D.coherency-writebacks.c3,115
L1-D.coherency-writebacks.c4,47
L1-D.coherency-writebacks.c5,22
L1-D.coherency-writebacks.c6,70
L1-D.coherency-writebacks.c7,22
L1-D.coherency-writebacks.node0,307
L1-D.coherency-writebacks.node1,269
L1-D.coherency-writebacks.total,576
L1-D.evict-E.c0,47137
L1-D.evict-E.c1,16135
L1-D.evict-E.c2,514
L1-D.evict-E.c3,8489
L1-D.evict-E.c4,1179
L1-D.evict-E.c6,1409
L1-D.evict-E.node0,50239
L1-D.evict-E.node1,24624
L1-D.evict-E.total,74863
L1-D.evict-M.c0,216991
L1-D.evict-M.c1,385238
L1-D.evict-M.c2,41891
L1-D.evict-M.c3,429947
L1-D.evict-M.c4,147694
L1-D.evict-M.c6,260383
L1-D.evict-M.node0,666959
L1-D.evict-M.node1,815185
L1-D.evict-M.total,1482144
L1-D.evict-S.c0,2504
L1-D.evict-S.c1,1408777
L1-D.evict-S.c2,3285
L1-D.evict-S.c3,948243
L1-D.evict-S.c4,288869
L1-D.evict-S.c6,374783
L1-D.evict-S.node0,669441
L1-D.evict-S.node1,2357020
L1-D.evict-S.total,3026461
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,148190
L1-D.load-misses-I.c1,1614176
L1-D.load-misses-I.c2,19175
L1-D.load-misses-I.c3,1250230
L1-D.load-misses-I.c4,333797
L1-D.load-misses-I.c5,117
L1-D.load-misses-I.c6,510852
L1-D.load-misses-I.c7,117
L1-D.load-misses-I.node0,1012014
L1-D.load-misses-I.node1,2864640
L1-D.load-misses-I.total,3876654
L1-D.load-misses-S.c0,13
L1-D.load-misses-S.c1,97
L1-D.load-misses-S.c2,21
L1-D.load-misses-S.c3,53
L1-D.load-misses-S.c4,60
L1-D.load-misses-S.c5,2
L1-D.load-misses-S.c6,119
L1-D.load-misses-S.node0,213
L1-D.load-misses-S.node1,152
L1-D.load-misses-S.total,365
L1-D.load-misses.c0,148205
L1-D.load-misses.c1,1614273
L1-D.load-misses.c2,19196
L1-D.load-misses.c3,1250283
L1-D.load-misses.c4,333857
L1-D.load-misses.c5,119
L1-D.load-misses.c6,510971
L1-D.load-misses.c7,117
L1-D.load-misses.node0,1012229
L1-D.load-misses.node1,2864792
L1-D.load-misses.total,3877021
L1-D.loads-E.c0,455342
L1-D.loads-E.c1,7207
L1-D.loads-E.c2,652516
L1-D.loads-E.c3,19613
L1-D.loads-E.c4,4342
L1-D.loads-E.c6,5345
L1-D.loads-E.node0,1117545
L1-D.loads-E.node1,26820
L1-D.loads-E.total,1144365
L1-D.loads-I.c0,148190
L1-D.loads-I.c1,1614176
L1-D.loads-I.c2,19175
L1-D.loads-I.c3,1250230
L1-D.loads-I.c4,333797
L1-D.loads-I.c5,117
L1-D.loads-I.c6,510852
L1-D.loads-I.c7,117
L1-D.loads-I.node0,1012014
L1-D.loads-I.node1,2864640
L1-D.loads-I.total,3876654
