                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   43091508 |    5201697 |    4705559 |    4951223 |    4212693 |    4198418 |    4098493 |    5078319 |    6250065 |    5815194 |    5802567 |    6359236
  Cycles                             |   28865700 |   28865700 |   28865700 |   28865700 |  115462800 |  115462800 |  115462800 |  115462800 |   28865700 |   28865700 |   28865700 |   28865700
  IPC                                |       1.49 |       0.18 |       0.16 |       0.17 |       0.04 |       0.04 |       0.04 |       0.04 |       0.22 |       0.20 |       0.20 |       0.22
  Time (ns)                          |   28865700 |   28865700 |   28865700 |   28865700 |   28865700 |   28865700 |   28865700 |   28865700 |   28865700 |   28865700 |   28865700 |   28865700
  Idle time (ns)                     |       1263 |   25754507 |   25723589 |   25724116 |   25754526 |   25754517 |   25755844 |   25755107 |   25725110 |   25725416 |   25725732 |   25726123
  Idle time (%)                      |       0.0% |      89.2% |      89.1% |      89.1% |      89.2% |      89.2% |      89.2% |      89.2% |      89.1% |      89.1% |      89.1% |      89.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4486579 |    1584613 |    1370137 |    1473023 |    1159430 |    1143262 |    1106118 |    1518620 |    1916438 |    1731426 |    1731672 |    1965132
  num incorrect                      |     344845 |      11670 |      19917 |      16541 |      27988 |      28641 |      29748 |      15950 |      14757 |      20881 |      21127 |      12892
  misprediction rate                 |      7.14% |      0.73% |      1.43% |      1.11% |      2.36% |      2.44% |      2.62% |      1.04% |      0.76% |      1.19% |      1.21% |      0.65%
  mpki                               |       8.00 |       2.24 |       4.23 |       3.34 |       6.64 |       6.82 |       7.26 |       3.14 |       2.36 |       3.59 |       3.64 |       2.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5783370 |     123914 |     178376 |     155205 |     225721 |     241273 |     244133 |     151540 |     145025 |     191682 |     182204 |     131488
    num misses                       |        169 |         28 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    9867059 |    1103418 |    1061042 |    1083438 |    1015595 |    1014609 |    1005989 |    1101535 |    1292460 |    1252389 |    1246776 |    1299759
    num misses                       |       7715 |       6177 |       6212 |       6263 |       6224 |       6264 |       6270 |       6313 |       6137 |       6348 |       6238 |       6210
    miss rate                        |      0.08% |      0.56% |      0.59% |      0.58% |      0.61% |      0.62% |      0.62% |      0.57% |      0.47% |      0.51% |      0.50% |      0.48%
    mpki                             |       0.18 |       1.19 |       1.32 |       1.26 |       1.48 |       1.49 |       1.53 |       1.24 |       0.98 |       1.09 |       1.08 |       0.98
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       7884 |       6205 |       6238 |       6289 |       6250 |       6290 |       6296 |       6339 |       6163 |       6374 |       6264 |       6236
    num misses                       |        866 |        300 |        307 |        306 |        314 |        300 |        299 |        291 |        282 |        281 |        277 |        282
    miss rate                        |     10.98% |      4.83% |      4.92% |      4.87% |      5.02% |      4.77% |      4.75% |      4.59% |      4.58% |      4.41% |      4.42% |      4.52%
    mpki                             |       0.02 |       0.06 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.05 |       0.05 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5783370 |     123914 |     178376 |     155205 |     225721 |     241273 |     244133 |     151540 |     145025 |     191682 |     182204 |     131488
    num cache misses                 |       3318 |        181 |        181 |        183 |        172 |        169 |        170 |        170 |        169 |        171 |        172 |        171
    miss rate                        |      0.06% |      0.15% |      0.10% |      0.12% |      0.08% |      0.07% |      0.07% |      0.11% |      0.12% |      0.09% |      0.09% |      0.13%
    mpki                             |       0.08 |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    9867059 |    1103418 |    1061042 |    1083438 |    1015595 |    1014609 |    1005989 |    1101535 |    1292460 |    1252389 |    1246776 |    1299759
    num cache misses                 |      69798 |      35690 |      36208 |      36173 |      36615 |      37037 |      36816 |      35879 |      35195 |      35839 |      35744 |      35297
    miss rate                        |      0.71% |      3.23% |      3.41% |      3.34% |      3.61% |      3.65% |      3.66% |      3.26% |      2.72% |      2.86% |      2.87% |      2.72%
    mpki                             |       1.62 |       6.86 |       7.69 |       7.31 |       8.69 |       8.82 |       8.98 |       7.07 |       5.63 |       6.16 |       6.16 |       5.55
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      75499 |      35959 |      36540 |      36483 |      36956 |      37320 |      37159 |      36157 |      36501 |      37298 |      37181 |      36548
    num cache misses                 |      59612 |      32386 |      32739 |      32792 |      33104 |      33016 |      33197 |      32625 |      31895 |      32318 |      32365 |      31993
    miss rate                        |     78.96% |     90.06% |     89.60% |     89.88% |     89.58% |     88.47% |     89.34% |     90.23% |     87.38% |     86.65% |     87.05% |     87.54%
    mpki                             |       1.38 |       6.23 |       6.96 |       6.62 |       7.86 |       7.86 |       8.10 |       6.42 |       5.10 |       5.56 |       5.58 |       5.03
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      62523 |      32499 |      32913 |      32944 |      33299 |      33150 |      33392 |      32753 |      33050 |      33609 |      33630 |      33074
    num cache misses                 |      32923 |      10826 |      10880 |      11067 |      10970 |      11270 |      11350 |      11017 |      21425 |      21739 |      21803 |      21390
    miss rate                        |     52.66% |     33.31% |     33.06% |     33.59% |     32.94% |     34.00% |     33.99% |     33.64% |     64.83% |     64.68% |     64.83% |     64.67%
    mpki                             |       0.76 |       2.08 |       2.31 |       2.24 |       2.60 |       2.68 |       2.77 |       2.17 |       3.43 |       3.74 |       3.76 |       3.36
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      19107 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      19056 |          0 |          0 |          0
  average dram access latency (ns)   |      61.33 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.33 |        inf |        inf |        inf
  average dram queueing delay        |       0.08 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.08 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10761 |        442 |        457 |        423 |        428 |        496 |        458 |        472 |        297 |        289 |        249 |        309
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3998 |       3705 |       3776 |       3728 |       3816 |       3732 |       3831 |       3752 |       5716 |       5891 |       5871 |       5658
