                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   43177395 |    5122994 |    4748069 |    4947240 |    4031650 |    3970491 |    4011251 |    5037417 |    5142219 |    4647788 |    4580768 |    5117929
  Cycles                             |  119127200 |  119127200 |  119127200 |  119127200 |   29781800 |   29781800 |  119127200 |  119127200 |  119127200 |  119127200 |   29781800 |   29781800
  IPC                                |       0.36 |       0.04 |       0.04 |       0.04 |       0.14 |       0.13 |       0.03 |       0.04 |       0.04 |       0.04 |       0.15 |       0.17
  Time (ns)                          |   29781800 |   29781800 |   29781800 |   29781800 |   29781800 |   29781800 |   29781800 |   29781800 |   29781800 |   29781800 |   29781800 |   29781800
  Idle time (ns)                     |       1619 |   27011715 |   26946767 |   26947121 |   26916719 |   26916868 |   26948178 |   26947173 |   26947788 |   26948044 |   26918441 |   26918859
  Idle time (%)                      |       0.0% |      90.7% |      90.5% |      90.5% |      90.4% |      90.4% |      90.5% |      90.5% |      90.5% |      90.5% |      90.4% |      90.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4514357 |    1558132 |    1384342 |    1471828 |    1100051 |    1069684 |    1076064 |    1505454 |    1546210 |    1344427 |    1324869 |    1551643
  num incorrect                      |     344741 |      11876 |      19691 |      16720 |      28185 |      28637 |      30018 |      16066 |      14688 |      21421 |      20797 |      12804
  misprediction rate                 |      7.09% |      0.76% |      1.40% |      1.12% |      2.50% |      2.61% |      2.71% |      1.06% |      0.94% |      1.57% |      1.55% |      0.82%
  mpki                               |       7.98 |       2.32 |       4.15 |       3.38 |       6.99 |       7.21 |       7.48 |       3.19 |       2.86 |       4.61 |       4.54 |       2.50
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5785938 |     124289 |     178964 |     152609 |     223461 |     234394 |     245637 |     150828 |     145823 |     185978 |     183327 |     132054
    num misses                       |        172 |         26 |         26 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    9881833 |    1090310 |    1068001 |    1083628 |     984505 |     977628 |     991660 |    1094943 |    1108230 |    1057401 |    1042480 |    1092923
    num misses                       |       8050 |       6105 |       6162 |       6137 |       6096 |       6155 |       6164 |       6195 |       6048 |       6117 |       6096 |       6138
    miss rate                        |      0.08% |      0.56% |      0.58% |      0.57% |      0.62% |      0.63% |      0.62% |      0.57% |      0.55% |      0.58% |      0.58% |      0.56%
    mpki                             |       0.19 |       1.19 |       1.30 |       1.24 |       1.51 |       1.55 |       1.54 |       1.23 |       1.18 |       1.32 |       1.33 |       1.20
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       8222 |       6131 |       6188 |       6163 |       6122 |       6181 |       6190 |       6223 |       6074 |       6143 |       6122 |       6164
    num misses                       |        877 |        308 |        307 |        296 |        280 |        280 |        284 |        279 |        281 |        280 |        276 |        282
    miss rate                        |     10.67% |      5.02% |      4.96% |      4.80% |      4.57% |      4.53% |      4.59% |      4.48% |      4.63% |      4.56% |      4.51% |      4.57%
    mpki                             |       0.02 |       0.06 |       0.06 |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5785938 |     124289 |     178964 |     152609 |     223461 |     234394 |     245637 |     150828 |     145823 |     185978 |     183327 |     132054
    num cache misses                 |       2965 |        170 |        170 |        170 |        180 |        180 |        170 |        175 |        169 |        169 |        171 |        172
    miss rate                        |      0.05% |      0.14% |      0.09% |      0.11% |      0.08% |      0.08% |      0.07% |      0.12% |      0.12% |      0.09% |      0.09% |      0.13%
    mpki                             |       0.07 |       0.03 |       0.04 |       0.03 |       0.04 |       0.05 |       0.04 |       0.03 |       0.03 |       0.04 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    9881833 |    1090310 |    1068001 |    1083628 |     984505 |     977628 |     991660 |    1094943 |    1108230 |    1057401 |    1042480 |    1092923
    num cache misses                 |      69837 |      35717 |      36301 |      36201 |      36663 |      37026 |      36899 |      36037 |      35897 |      36470 |      36412 |      35894
    miss rate                        |      0.71% |      3.28% |      3.40% |      3.34% |      3.72% |      3.79% |      3.72% |      3.29% |      3.24% |      3.45% |      3.49% |      3.28%
    mpki                             |       1.62 |       6.97 |       7.65 |       7.32 |       9.09 |       9.33 |       9.20 |       7.15 |       6.98 |       7.85 |       7.95 |       7.01
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      75473 |      36127 |      36835 |      36663 |      37293 |      37646 |      38227 |      37189 |      37016 |      37676 |      37630 |      37002
    num cache misses                 |      57767 |      32429 |      32901 |      32816 |      33250 |      33100 |      33312 |      32817 |      32674 |      33021 |      33070 |      32664
    miss rate                        |     76.54% |     89.76% |     89.32% |     89.51% |     89.16% |     87.92% |     87.14% |     88.24% |     88.27% |     87.64% |     87.88% |     88.28%
    mpki                             |       1.34 |       6.33 |       6.93 |       6.63 |       8.25 |       8.34 |       8.30 |       6.51 |       6.35 |       7.10 |       7.22 |       6.38
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      60957 |      32691 |      33286 |      33129 |      33720 |      33568 |      34491 |      33810 |      33642 |      34060 |      34121 |      33603
    num cache misses                 |      40135 |      17489 |      18003 |      17891 |      18239 |      17874 |      19051 |      18946 |      18849 |      19015 |      18962 |      18497
    miss rate                        |     65.84% |     53.50% |     54.09% |     54.00% |     54.09% |     53.25% |     55.23% |     56.04% |     56.03% |     55.83% |     55.57% |     55.05%
    mpki                             |       0.93 |       3.41 |       3.79 |       3.62 |       4.52 |       4.50 |       4.75 |       3.76 |       3.67 |       4.09 |       4.14 |       3.61
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      19190 |          0 |          0 |          0 |          0 |          0 |      19129 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.35 |        inf |        inf |        inf |        inf |        inf |      61.34 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10583 |        414 |        366 |        380 |        402 |        367 |        303 |        295 |        320 |        297 |        297 |        310
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       5655 |       5139 |       5319 |       5229 |       5416 |       5382 |       6261 |       6251 |       6068 |       6189 |       6253 |       6059
