metric,value
timestamp,2026-07-04T09:36:18
workload,lavaMD
strategy,Packed
bench_class,A
num_threads,12
output_dir,Outputs/sizeA/12TH/lavaMD_A_Packed_12TH_20260703_174340
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,0.3451
total_instructions,387370
avg_ipc,0.2806
avg_ipc_p,0.2806
avg_ipc_e,0.0
total_power_W,1.2333
dynamic_W,0.5611
leakage_W,0.5
dram_W,0.1722
energy_J,0.000426
node0_reads,4668
node1_reads,4618
node0_pct,50.2692
dram_local,3082
dram_remote,3071
dram_remote_pct,49.9106
l1d_miss_pct,7.5968
l2_miss_pct,79.2288
l3_miss_pct,99.8215
l1d_mpki,20.0842
l2_mpki,15.9124
l3_mpki,15.884
l3_miss_count,6153
cpi_base_frac,0.5249
cpi_branch_frac,0.2195
cpi_l2_frac,0.0
cpi_l3_frac,0.0
cpi_dram_local_frac,0.1039
cpi_dram_remote_frac,0.1517
futex_wake_count,1
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.5829
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0,119819
L1-D.access-mru-1,19266
L1-D.access-mru-2,3691
L1-D.access-mru-3,1873
L1-D.access-mru-4,962
L1-D.access-mru-5,545
L1-D.access-mru-6,363
L1-D.access-mru-7,274
L1-D.evict-E,5084
L1-D.evict-M,4586
L1-D.load-misses,7780
L1-D.load-misses-I,7780
L1-D.loads,102411
L1-D.loads-E,47877
L1-D.loads-I,7780
L1-D.loads-M,46754
L1-D.loads-where-L1,94631
L1-D.loads-where-L2,1616
L1-D.loads-where-L3,11
L1-D.loads-where-dram-local,3082
L1-D.loads-where-dram-remote,3071
L1-D.store-misses,4023
L1-D.store-misses-E,1877
L1-D.store-misses-I,2146
L1-D.stores,56185
L1-D.stores-E,1877
L1-D.stores-I,2146
L1-D.stores-M,52162
L1-D.stores-where-L1,52162
L1-D.stores-where-L2,123
L1-D.stores-where-L3,3900
L1-D.total-latency,609492107900
L1-I.access-mru-0,42727
L1-I.access-mru-1,1246
L1-I.access-mru-2,231
L1-I.access-mru-3,47
L1-I.backinval-E,123
L1-I.coherency-downgrades,1
L1-I.evict-E,573
L1-I.load-misses,1173
L1-I.load-misses-I,1173
L1-I.loads,45424
L1-I.loads-E,44250
L1-I.loads-I,1173
L1-I.loads-S,1
L1-I.loads-where-L1I,44251
L1-I.loads-where-L2,28
L1-I.loads-where-L3,28
L1-I.loads-where-dram-local,562
L1-I.loads-where-dram-remote,555
L1-I.total-latency,80064660510
L2.access-mru-0,758
L2.access-mru-1,470
L2.access-mru-2,176
L2.access-mru-3,54
L2.access-mru-4,154
L2.access-mru-5,85
L2.access-mru-6,44
L2.access-mru-7,26
L2.evict-E,1008
L2.evict-M,386
L2.load-misses,7309
L2.load-misses-I,7309
L2.loads,8953
L2.loads-E,853
L2.loads-I,7309
L2.loads-M,791
L2.store-misses,3900
L2.store-misses-E,1882
L2.store-misses-I,2018
L2.stores,4023
L2.stores-E,1882
L2.stores-I,2018
L2.stores-M,123
L3.access-mru-0,2
L3.access-mru-1,6
L3.access-mru-2,11
L3.access-mru-3,10
L3.access-mru-4,10
L3.access-mru-5,2
L3.load-misses,7269
L3.load-misses-I,7269
L3.loads,7309
L3.loads-E,33
L3.loads-I,7269
L3.loads-M,7
L3.store-misses,3899
L3.store-misses-E,1882
L3.store-misses-I,2017
L3.store-overlapping-misses,20
L3.stores,3900
L3.stores-E,1882
L3.stores-I,2017
L3.stores-M,1
L3.uncore-requests,9286
L3.uncore-time-dram-bus,11618828920
L3.uncore-time-dram-device,557160000000
L3.uncore-time-dram-queue,655022260
L3.uncore-time-noc-base,7937187500
L3.uncore-time-noc-queue,4229730
L3.uncore-time-td-access,23215000000
L3.uncore-totaltime,600590268410
barrier.global_time,345100000000
branch_predictor.num-correct,56303
branch_predictor.num-incorrect,3546
bus-queue.num-requests,9236
bus-queue.requests-out-of-order,3555
bus-queue.total-delay,4229730
core.bbv-0,10299816772
core.bbv-1,11638980134
core.bbv-10,12342013666
core.bbv-11,11598836116
core.bbv-12,13479899056
core.bbv-13,13746176378
core.bbv-14,11867853636
core.bbv-15,13640803598
core.bbv-2,13268730120
core.bbv-3,13987464170
core.bbv-4,12910883302
core.bbv-5,12229720096
core.bbv-6,12648119898
core.bbv-7,13091488916
core.bbv-8,13570287998
core.bbv-9,11791969328
core.instructions,387370
directory.entries-allocated.c0,68384
directory.entries-allocated.c8,67824
directory.entries-allocated.node0,68384
directory.entries-allocated.node1,67824
directory.entries-allocated.total,136208
dram-queue.num-requests.c0,4668
dram-queue.num-requests.c8,4618
dram-queue.num-requests.node0,4668
dram-queue.num-requests.node1,4618
dram-queue.num-requests.total,9286
dram-queue.total-queue-delay.c0,366917240
dram-queue.total-queue-delay.c8,288105020
dram-queue.total-queue-delay.node0,366917240
dram-queue.total-queue-delay.node1,288105020
dram-queue.total-queue-delay.total,655022260
dram-queue.total-time-used.c0,5840694960
dram-queue.total-time-used.c8,5778133960
dram-queue.total-time-used.node0,5840694960
dram-queue.total-time-used.node1,5778133960
dram-queue.total-time-used.total,11618828920
dram.reads.c0,4668
dram.reads.c8,4618
dram.reads.node0,4668
dram.reads.node1,4618
dram.reads.total,9286
dram.total-access-latency.c0,286287612200
dram.total-access-latency.c8,283146238980
dram.total-access-latency.node0,286287612200
dram.total-access-latency.node1,283146238980
dram.total-access-latency.total,569433851180
dram.total-queueing-delay.c0,366917240
dram.total-queueing-delay.c8,288105020
dram.total-queueing-delay.node0,366917240
dram.total-queueing-delay.node1,288105020
dram.total-queueing-delay.total,655022260
dtlb.access,158596
dtlb.miss,347
dtlb_cache.access-mru-0,151296
dtlb_cache.access-mru-1,5692
dtlb_cache.access-mru-2,972
dtlb_cache.access-mru-3,289
futex.futex_wait_bitset_count,1
futex.futex_wake_count,1
interval_timer.cpContr_branch,25319882160
interval_timer.cpContr_generic,39338375779
interval_timer.cpContr_load_l1,27210300430
interval_timer.cpContr_load_l2,4967123536
interval_timer.cpContr_load_l3,126433593
interval_timer.cpContr_load_other,4089132
interval_timer.cpContr_port015,12644388996
interval_timer.cpContr_port1,25657560
interval_timer.cpContr_port2,28776147055
interval_timer.cpContr_port34,5752925971
interval_timer.cpContr_port5,2198409179
interval_timer.cpContr_store,9374086297
interval_timer.cpiBase,155964000000
interval_timer.cpiBranchPredictor,65227000000
interval_timer.cpiDataCachedram-local,30873000000
interval_timer.cpiDataCachedram-remote,45070000000
interval_timer.cpiInstructionCacheL2,189000000
interval_timer.cpiInstructionCacheL3,276000000
interval_timer.cpiInstructionCachedram-local,24057000000
interval_timer.cpiInstructionCachedram-remote,23094000000
interval_timer.cpiSerialization,142000000
interval_timer.detailed-cpiBase-DispatchRate,128173
interval_timer.detailed-cpiBase-DispatchWidth,226
interval_timer.detailed-cpiBase-DispatchWidth+DispatchRate,27565
interval_timer.loadstore_contention.num-requests,53077
interval_timer.loadstore_contention.requests-out-of-order,24957
interval_timer.loadstore_contention.requests-simultaneous,11597
interval_timer.loadstore_contention.total-delay,921000000
interval_timer.numBPredOverlapped,20577
interval_timer.numDCacheOverlapped,45669
interval_timer.numHiddenLongerDCacheLatency,566
interval_timer.numICacheOverlapped,231717
interval_timer.numLongLatencyLoads,1045
interval_timer.numSerializationInsns,15
interval_timer.numTotalLongLatencyLoadLatency,75943
interval_timer.outstandingLongLatencyCycles,99113
interval_timer.outstandingLongLatencyInsns,455254
interval_timer.totalHiddenDCacheLatency,543987
interval_timer.totalHiddenLongerDCacheLatency,3924
interval_timer.totalSerializationLatency,142
interval_timer.uop_branch,70101
interval_timer.uop_generic,197494
interval_timer.uop_load,98824
interval_timer.uop_store,56172
interval_timer.uops_total,422591
itlb.access,45424
itlb.miss,94
itlb_cache.access-mru-0,45201
itlb_cache.access-mru-1,112
itlb_cache.access-mru-2,16
itlb_cache.access-mru-3,1
network.shmem-1.bus.num-bytes,424856
network.shmem-1.bus.num-packets,9236
network.shmem-1.bus.num-packets-delayed,9
network.shmem-1.bus.time-used,7937187500
network.shmem-1.bus.total-delay,4229730
performance_model.cpiSyncSyscall,274000000
performance_model.elapsed_time,345166000000
performance_model.idle_elapsed_time,274000000
performance_model.instruction_count,387167
stlb.access,441
stlb.miss,296
stlb_cache.access-mru-0,96
stlb_cache.access-mru-1,27
stlb_cache.access-mru-2,15
stlb_cache.access-mru-3,7
thread.bottle_contrib_time,344892000000
thread.bottle_runtime_time,344892000000
thread.elapsed_time,345100000000
thread.instruction_count,387145
thread.instructions_by_core[0],387145
thread.nonidle_elapsed_time,344846000000
thread.time_by_core[0],344846000000
thread.unscheduled_time,274000000
thread.waiting_cost,3504000000
time.walltime,1783125376560285
