metric,value
timestamp,2026-07-03T17:44:35
workload,BFS
strategy,Packed
bench_class,A
num_threads,2
output_dir,Outputs/sizeA/2TH/BFS_A_Packed_2TH_20260703_174340
cpu_map,"[0, 1]"
p_core_count,2
e_core_count,0
node0_threads,2
node1_threads,0
sim_time_ms,10.1182
total_instructions,59295426
avg_ipc,0.7325
avg_ipc_p,0.7325
avg_ipc_e,0.0
total_power_W,3.9553
dynamic_W,2.9301
leakage_W,1.0
dram_W,0.0252
energy_J,0.04002
node0_reads,38921
node1_reads,0
node0_pct,100.0
dram_local,17721
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,2.0885
l2_miss_pct,68.468
l3_miss_pct,11.0768
l1d_mpki,3.9406
l2_mpki,2.6981
l3_mpki,0.2989
l3_miss_count,17721
cpi_base_frac,0.4896
cpi_branch_frac,0.2714
cpi_l2_frac,0.0001
cpi_l3_frac,0.2079
cpi_dram_local_frac,0.0311
cpi_dram_remote_frac,0.0
futex_wake_count,34
futex_wait_count,1
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.7
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,11300339
L1-D.access-mru-0.c1,3075433
L1-D.access-mru-0.node0,14375772
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,14375772
L1-D.access-mru-1.c0,405630
L1-D.access-mru-1.c1,91111
L1-D.access-mru-1.node0,496741
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,496741
L1-D.access-mru-2.c0,168026
L1-D.access-mru-2.c1,25447
L1-D.access-mru-2.node0,193473
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,193473
L1-D.access-mru-3.c0,41086
L1-D.access-mru-3.c1,17120
L1-D.access-mru-3.node0,58206
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,58206
L1-D.access-mru-4.c0,17108
L1-D.access-mru-4.c1,13165
L1-D.access-mru-4.node0,30273
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,30273
L1-D.access-mru-5.c0,12317
L1-D.access-mru-5.c1,10111
L1-D.access-mru-5.node0,22428
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,22428
L1-D.access-mru-6.c0,9040
L1-D.access-mru-6.c1,7702
L1-D.access-mru-6.node0,16742
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,16742
L1-D.access-mru-7.c0,6603
L1-D.access-mru-7.c1,5404
L1-D.access-mru-7.node0,12007
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,12007
L1-D.backinval-E,1
L1-D.backinval-M.c0,83
L1-D.backinval-M.c1,7
L1-D.backinval-M.node0,90
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,90
L1-D.backinval-S,6
L1-D.coherency-downgrades.c0,272
L1-D.coherency-downgrades.c1,391
L1-D.coherency-downgrades.node0,663
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,663
L1-D.coherency-writebacks.c0,67720
L1-D.coherency-writebacks.c1,67781
L1-D.coherency-writebacks.node0,135501
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,135501
L1-D.evict-E.c0,13561
L1-D.evict-E.c1,90
L1-D.evict-E.node0,13651
L1-D.evict-E.node1,0
L1-D.evict-E.total,13651
L1-D.evict-M.c0,111846
L1-D.evict-M.c1,91275
L1-D.evict-M.node0,203121
L1-D.evict-M.node1,0
L1-D.evict-M.total,203121
L1-D.evict-S.c0,1548
L1-D.evict-S.c1,2573
L1-D.evict-S.node0,4121
L1-D.evict-S.node1,0
L1-D.evict-S.total,4121
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,127094
