metric,value
timestamp,2026-07-03T19:03:46
workload,IS
strategy,EPO
bench_class,A
num_threads,2
output_dir,Outputs/sizeA/2TH/IS_A_EPO_2TH_20260703_174340
cpu_map,"[4, 5]"
p_core_count,0
e_core_count,2
node0_threads,2
node1_threads,0
sim_time_ms,2894.8048
total_instructions,4519617187
avg_ipc,0.7806
avg_ipc_p,0.0
avg_ipc_e,0.7806
total_power_W,1.0553
dynamic_W,0.5855
leakage_W,0.4
dram_W,0.0698
energy_J,3.054976
node0_reads,26123591
node1_reads,0
node0_pct,100.0
dram_local,18424406
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.8899
l2_miss_pct,84.9177
l3_miss_pct,97.1852
l1d_mpki,4.9396
l2_mpki,4.1946
l3_mpki,4.0765
l3_miss_count,18424406
cpi_base_frac,0.7752
cpi_branch_frac,0.0
cpi_l2_frac,0.0
cpi_l3_frac,0.0042
cpi_dram_local_frac,0.2206
cpi_dram_remote_frac,0.0
futex_wake_count,55
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0244
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,711913487
L1-D.access-mru-0.c1,711569407
L1-D.access-mru-0.node0,1423482894
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,1423482894
L1-D.access-mru-1.c0,49641273
L1-D.access-mru-1.c1,50220426
L1-D.access-mru-1.node0,99861699
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,99861699
L1-D.access-mru-2.c0,11332803
L1-D.access-mru-2.c1,11427870
L1-D.access-mru-2.node0,22760673
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,22760673
L1-D.access-mru-3.c0,6115218
L1-D.access-mru-3.c1,6133900
L1-D.access-mru-3.node0,12249118
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,12249118
L1-D.access-mru-4.c0,4401004
L1-D.access-mru-4.c1,4404168
L1-D.access-mru-4.node0,8805172
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,8805172
L1-D.access-mru-5.c0,3546766
L1-D.access-mru-5.c1,3536299
L1-D.access-mru-5.node0,7083065
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,7083065
L1-D.access-mru-6.c0,3058312
L1-D.access-mru-6.c1,3048731
L1-D.access-mru-6.node0,6107043
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,6107043
L1-D.access-mru-7.c0,2753056
L1-D.access-mru-7.c1,2746975
L1-D.access-mru-7.node0,5500031
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,5500031
L1-D.backinval-E.c0,968
L1-D.backinval-E.c1,901
