                                     | Core 0      | Core 1     
  Instructions                       |  7175344490 |  7186795598
  Cycles                             |  8343995900 |  8343995900
  IPC                                |        0.86 |        0.86
  Time (ns)                          |  8343995900 |  8343995900
  Idle time (ns)                     |      325011 |    20554799
  Idle time (%)                      |        0.0% |        0.2%
Branch predictor stats               |             |            
  num correct                        |   335815600 |   342018305
  num incorrect                      |       67716 |       61307
  misprediction rate                 |       0.02% |       0.02%
  mpki                               |        0.01 |        0.01
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   796534219 |   795484482
    num misses                       |         233 |          29
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  4021919387 |  4021119701
    num misses                       |     2317033 |     2315358
    miss rate                        |       0.06% |       0.06%
    mpki                             |        0.32 |        0.32
  L2 TLB                             |             |            
    num accesses                     |     2317266 |     2315387
    num misses                       |     1832268 |     1829496
    miss rate                        |      79.07% |      79.01%
    mpki                             |        0.26 |        0.25
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   796534219 |   795484482
    num cache misses                 |      678513 |      655015
    miss rate                        |       0.09% |       0.08%
    mpki                             |        0.09 |        0.09
  Cache L1-D                         |             |            
    num cache accesses               |  4021919387 |  4021119701
    num cache misses                 |   294272698 |   294070149
    miss rate                        |       7.32% |       7.31%
    mpki                             |       41.01 |       40.92
  Cache L2                           |             |            
    num cache accesses               |   308647228 |   308319730
    num cache misses                 |   126921008 |   126754818
    miss rate                        |      41.12% |      41.11%
    mpki                             |       17.69 |       17.64
  Cache L3                           |             |            
    num cache accesses               |   140664351 |   140392370
    num cache misses                 |   120107146 |   120094210
    miss rate                        |      85.39% |      85.54%
    mpki                             |       16.74 |       16.71
DRAM summary                         |             |            
  num dram accesses                  |   314529926 |           0
  average dram access latency (ns)   |    27138.49 |         inf
  average dram queueing delay        |    27077.24 |        0.00
  average dram bandwidth utilization |       4.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |    96678980 |    96671770
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
