                                     | Core 0     | Core 1    
  Instructions                       |   48377254 |   10659787
  Cycles                             |   36339500 |   36339500
  IPC                                |       1.33 |       0.29
  Time (ns)                          |   36339500 |   36339500
  Idle time (ns)                     |       1525 |   25219616
  Idle time (%)                      |       0.0% |      69.4%
Branch predictor stats               |            |           
  num correct                        |    5259371 |    2405627
  num incorrect                      |     438308 |     113314
  misprediction rate                 |      7.69% |      4.50%
  mpki                               |       9.06 |      10.63
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    7185751 |     437087
    num misses                       |        173 |         28
    miss rate                        |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12127549 |    3396936
    num misses                       |      37181 |      35796
    miss rate                        |      0.31% |      1.05%
    mpki                             |       0.77 |       3.36
  L2 TLB                             |            |           
    num accesses                     |      37354 |      35824
    num misses                       |        965 |        474
    miss rate                        |      2.58% |      1.32%
    mpki                             |       0.02 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    7185751 |     437087
    num cache misses                 |       4266 |        447
    miss rate                        |      0.06% |      0.10%
    mpki                             |       0.09 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |   12127549 |    3396936
    num cache misses                 |     195314 |     161925
    miss rate                        |      1.61% |      4.77%
    mpki                             |       4.04 |      15.19
  Cache L2                           |            |           
    num cache accesses               |     201688 |     162376
    num cache misses                 |     155592 |     125847
    miss rate                        |     77.14% |     77.50%
    mpki                             |       3.22 |      11.81
  Cache L3                           |            |           
    num cache accesses               |     157744 |     125851
    num cache misses                 |      30938 |       7999
    miss rate                        |     19.61% |      6.36%
    mpki                             |       0.64 |       0.75
DRAM summary                         |            |           
  num dram accesses                  |      38920 |          0
  average dram access latency (ns)   |      61.31 |        inf
  average dram queueing delay        |       0.05 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      16638 |       6610
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
