                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45115016 |    6538674 |    5513168 |    6294565 |    6493066 |    6429923
  Cycles                             |   33850800 |   33850800 |   33850800 |   33850800 |   33850800 |   33850800
  IPC                                |       1.33 |       0.19 |       0.16 |       0.19 |       0.19 |       0.19
  Time (ns)                          |    8462700 |    8462700 |    8462700 |    8462700 |    8462700 |    8462700
  Idle time (ns)                     |      53910 |    6933983 |    6891844 |    6891144 |    6936936 |    6960597
  Idle time (%)                      |       0.6% |      81.9% |      81.4% |      81.4% |      82.0% |      82.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5028496 |    1807034 |    1343101 |    1666915 |    1796869 |    1788970
  num incorrect                      |     345937 |      35889 |      57149 |      45839 |      35763 |      33066
  misprediction rate                 |      6.44% |      1.95% |      4.08% |      2.68% |      1.95% |      1.81%
  mpki                               |       7.67 |       5.49 |      10.37 |       7.28 |       5.51 |       5.14
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    7019415 |     306552 |     423810 |     367133 |     302566 |     294731
    num misses                       |        176 |         28 |         28 |         28 |         28 |         28
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10433431 |    1623316 |    1547231 |    1625187 |    1614461 |    1589042
    num misses                       |      13748 |      11970 |      12043 |      12174 |      12036 |      12025
    miss rate                        |      0.13% |      0.74% |      0.78% |      0.75% |      0.75% |      0.76%
    mpki                             |       0.30 |       1.83 |       2.18 |       1.93 |       1.85 |       1.87
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13924 |      11998 |      12071 |      12202 |      12064 |      12053
    num misses                       |        900 |        343 |        349 |        346 |        337 |        336
    miss rate                        |      6.46% |      2.86% |      2.89% |      2.84% |      2.79% |      2.79%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    7019415 |     306552 |     423810 |     367133 |     302566 |     294731
    num cache misses                 |       2995 |        180 |        181 |        182 |        183 |        181
    miss rate                        |      0.04% |      0.06% |      0.04% |      0.05% |      0.06% |      0.06%
    mpki                             |       0.07 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10433431 |    1623316 |    1547231 |    1625187 |    1614461 |    1589042
    num cache misses                 |      99942 |      67462 |      68747 |      68336 |      67604 |      67501
    miss rate                        |      0.96% |      4.16% |      4.44% |      4.20% |      4.19% |      4.25%
    mpki                             |       2.22 |      10.32 |      12.47 |      10.86 |      10.41 |      10.50
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105831 |      68314 |      69811 |      70661 |      69789 |      69666
    num cache misses                 |      83659 |      59380 |      60022 |      60238 |      59604 |      59592
    miss rate                        |     79.05% |     86.92% |     85.98% |     85.25% |     85.41% |     85.54%
    mpki                             |       1.85 |       9.08 |      10.89 |       9.57 |       9.18 |       9.27
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      86897 |      60095 |      60950 |      62438 |      61655 |      61586
    num cache misses                 |      59295 |      35384 |      36028 |      37802 |      37392 |      37427
    miss rate                        |     68.24% |     58.88% |     59.11% |     60.54% |     60.65% |     60.77%
    mpki                             |       1.31 |       5.41 |       6.53 |       6.01 |       5.76 |       5.82
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      19718 |          0 |          0 |      19671 |          0 |          0
  average dram access latency (ns)   |      61.43 |        inf |        inf |      61.42 |        inf |        inf
  average dram queueing delay        |       0.18 |       0.00 |       0.00 |       0.16 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10832 |        697 |        674 |        514 |        522 |        482
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       9583 |       9283 |       9340 |      11311 |      11127 |      11010
